	K11_JV87_I_D	K11_JV87_IV_D	K12_KJ78_I_D	K12_KJ78_IV_D	K16_PP75_I_D	K16_PP75_IV_D	K17_SS75_I_D	K17_SS75_IV_D	K2_NL71_I_D	K2_NL71_IV_D	K20_HO76_I_D	K20_HO76_IV_D	K21_KT86_I_D	K23_JM85_I_D	K27_BA81_II_D	K28_KZ83_I_D	K3_KM78_I_D	K3_KM78_IV_D	K30_SF95_I_D	K32_KS89_I_D	K34_BI96_I_D	K34_BI96_IV_D	K39_DS96_I_D	K4_RR79_I_D	K40_WV86_IV_D	K41_NE90_I_D	K41_NE90_IV_D	K43_KZ94_I_D	K5_JZ92_I_D	K5_JZ92_IV_D	K8_KP79_I_D	K9_KM80_I_D	K9_KM80_IV_D	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
K11_JV87_I_D	0.0	0.1253294289897511	0.40292825768667645	0.5821376281112738	0.8020497803806735	0.5806734992679355	0.2342606149341142	0.3396778916544656	0.49282576866764277	0.5103953147877013	0.3985358711566618	0.45300146412884335	0.8989751098096632	0.7850658857979502	0.4035139092240117	0.4743777452415813	0.5355783308931186	0.5358711566617862	0.9065885797950219	0.4869692532942899	0.45973645680819913	0.3648609077598829	0.42020497803806733	0.5505124450951684	0.4445095168374817	0.6998535871156661	0.8008784773060029	0.7051244509516837	0.5027818448023426	0.5054172767203514	0.24773060029282576	0.18096632503660323	0.24626647144948755	0.2702781844802343	0.3308931185944363	0.6907759882869693	0.726207906295754	0.5853587115666179	0.8090775988286969	0.755783308931186	0.7748169838945828	0.9572474377745241	0.7133235724743777	0.9522693997071743	0.9019033674963397	0.6986822840409956	0.9502196193265008	0.8600292825768667	0.9062957540263543	0.40995607613469986	0.46910688140556367	0.428696925329429	0.6644216691068814	0.6907759882869693	0.6986822840409956	0.8764275256222548	0.9607613469985359	0.9086383601756954	0.9490483162518302	0.9525622254758419	0.9657393850658857	0.9174231332357248	0.922108345534407	0.9546120058565154	0.954904831625183	0.9174231332357248	0.5452415812591508	0.43660322108345534	0.9279648609077599	0.5393850658857979	0.7604685212298682	0.9569546120058565	0.9209370424597365	0.8960468521229868	0.8653001464128843	0.9048316251830161	0.799121522693997
K11_JV87_IV_D	0.1253294289897511	0.0	0.416398243045388	0.5765739385065886	0.7953147877013177	0.5745241581259151	0.2418740849194729	0.3232796486090776	0.49165446559297216	0.5103953147877013	0.40175695461200583	0.4401171303074671	0.8989751098096632	0.7838945827232796	0.39062957540263543	0.46061493411420207	0.5364568081991216	0.5469985358711567	0.9045387994143484	0.493411420204978	0.445095168374817	0.35666178623718886	0.4084919472913616	0.541727672035139	0.44216691068814057	0.7150805270863836	0.8161054172767204	0.7045387994143485	0.5007320644216691	0.497510980966325	0.272913616398243	0.19560761346998537	0.24070278184480234	0.2775988286969253	0.34699853587115664	0.6954612005856515	0.7308931185944363	0.5915080527086384	0.8087847730600293	0.7613469985358712	0.7765739385065886	0.9519765739385065	0.7121522693997072	0.9478770131771596	0.8986822840409956	0.6960468521229868	0.9423133235724743	0.8565153733528551	0.9001464128843338	0.4137628111273792	0.4732064421669107	0.420497803806735	0.673792093704246	0.6945827232796487	0.7013177159590044	0.8787701317715959	0.9481698389458272	0.8980966325036603	0.9408491947291362	0.9440702781844802	0.9569546120058565	0.9300146412884334	0.9185944363103953	0.9528550512445095	0.9537335285505124	0.9306002928257686	0.5402635431918009	0.42752562225475843	0.9387994143484627	0.5414348462664714	0.7786237188872621	0.9478770131771596	0.9241581259150805	0.8966325036603221	0.8647144948755491	0.9171303074670571	0.8061493411420205
K12_KJ78_I_D	0.40292825768667645	0.416398243045388	0.0	0.424597364568082	0.8035139092240117	0.5859443631039531	0.4380673499267936	0.5276720351390922	0.6541727672035139	0.6732064421669107	0.5232796486090776	0.5288433382137628	0.9048316251830161	0.8093704245973645	0.4775988286969253	0.5396778916544656	0.6837481698389458	0.6749633967789166	0.9329428989751098	0.5950219619326501	0.5051244509516838	0.5203513909224011	0.5669106881405563	0.6693997071742314	0.5879941434846266	0.7206442166910688	0.8427525622254758	0.7279648609077599	0.6506588579795022	0.6445095168374817	0.42752562225475843	0.43396778916544654	0.44333821376281113	0.4398243045387994	0.4746705710102489	0.738506588579795	0.747584187408492	0.641874084919473	0.8386530014641288	0.7970717423133236	0.8035139092240117	0.9704245973645681	0.7461200585651537	0.9695461200585651	0.8717423133235724	0.6714494875549049	0.96398243045388	0.8699853587115666	0.934407027818448	0.6137628111273792	0.6544655929721815	0.6178623718887262	0.7349926793557833	0.7510980966325037	0.7513909224011713	0.9232796486090776	0.9756954612005857	0.9106881405563689	0.9554904831625183	0.9669106881405564	0.9795021961932651	0.9648609077598829	0.9086383601756954	0.9783308931185944	0.9771595900439238	0.9601756954612006	0.5970717423133236	0.5434846266471449	0.9674963396778916	0.6424597364568082	0.8029282576866764	0.9777452415812592	0.9314787701317716	0.9288433382137629	0.8828696925329429	0.9604685212298683	0.821376281112738
K12_KJ78_IV_D	0.5821376281112738	0.5765739385065886	0.424597364568082	0.0	0.8020497803806735	0.6641288433382138	0.5991215226939971	0.652415812591508	0.7513909224011713	0.7648609077598829	0.6366032210834554	0.6330893118594436	0.8702781844802343	0.8506588579795022	0.6216691068814055	0.6386530014641288	0.775402635431918	0.7718887262079063	0.9399707174231332	0.669692532942899	0.6105417276720352	0.64099560761347	0.6702781844802342	0.7721815519765739	0.7004392386530015	0.7628111273792094	0.8480234260614934	0.7841874084919473	0.7710102489019034	0.7645680819912152	0.5994143484626647	0.5991215226939971	0.5900439238653001	0.6011713030746706	0.60497803806735	0.7440702781844802	0.7546120058565153	0.6758418740849195	0.8351390922401172	0.7967789165446559	0.7932650073206442	0.9329428989751098	0.7554904831625183	0.9428989751098097	0.8673499267935578	0.6869692532942899	0.8896046852122986	0.8550512445095169	0.8937042459736457	0.7338213762811128	0.750805270863836	0.7341142020497804	0.7806734992679356	0.7789165446559297	0.7464128843338214	0.9144948755490483	0.9595900439238653	0.8679355783308931	0.9420204978038067	0.9519765739385065	0.9657393850658857	0.9335285505124451	0.9016105417276721	0.9792093704245973	0.9789165446559297	0.9446559297218156	0.652415812591508	0.641874084919473	0.9103953147877013	0.7159590043923866	0.7636896046852123	0.963103953147877	0.8831625183016105	0.9282576866764275	0.8954612005856515	0.9510980966325037	0.821376281112738
K16_PP75_I_D	0.8020497803806735	0.7953147877013177	0.8035139092240117	0.8020497803806735	0.0	0.5235724743777452	0.7373352855051245	0.6445095168374817	0.7856515373352855	0.7979502196193266	0.8199121522693997	0.6257686676427525	0.7502196193265007	0.6483162518301611	0.8175695461200586	0.8158125915080527	0.771303074670571	0.6849194729136164	0.600878477306003	0.6207906295754027	0.8181551976573939	0.7894582723279648	0.6942898975109809	0.7402635431918009	0.7502196193265007	0.6881405563689604	0.7897510980966325	0.829575402635432	0.866471449487555	0.8430453879941435	0.808199121522694	0.7639824304538799	0.665592972181552	0.7387994143484626	0.6855051244509517	0.6453879941434846	0.7525622254758418	0.5355783308931186	0.6219619326500732	0.6038067349926793	0.7417276720351391	0.8796486090775988	0.6989751098096633	0.7906295754026355	0.8404099560761347	0.46617862371888724	0.8702781844802343	0.8178623718887262	0.849194729136164	0.791800878477306	0.7229868228404099	0.7947291361639824	0.750805270863836	0.734407027818448	0.7850658857979502	0.5452415812591508	0.545827232796486	0.8108345534407028	0.8778916544655929	0.8635431918008785	0.7619326500732064	0.9115666178623719	0.8840409956076135	0.8822840409956076	0.8653001464128843	0.9308931185944364	0.7563689604685212	0.6117130307467057	0.9472913616398243	0.755783308931186	0.8178623718887262	0.8316251830161054	0.8752562225475842	0.6032210834553441	0.6509516837481698	0.7932650073206442	0.7806734992679356
K16_PP75_IV_D	0.5806734992679355	0.5745241581259151	0.5859443631039531	0.6641288433382138	0.5235724743777452	0.0	0.5007320644216691	0.42079062957540264	0.6310395314787701	0.6603221083455344	0.6439238653001464	0.49019033674963397	0.7206442166910688	0.6178623718887262	0.6234260614934114	0.616398243045388	0.6073206442166911	0.5393850658857979	0.6494875549048317	0.48726207906295754	0.6436310395314788	0.5686676427525622	0.46061493411420207	0.5756954612005857	0.5850658857979503	0.5493411420204978	0.7124450951683748	0.6948755490483163	0.7095168374816984	0.6878477306002928	0.5915080527086384	0.5408491947291362	0.4310395314787701	0.526207906295754	0.4512445095168375	0.5838945827232797	0.6802342606149341	0.37745241581259154	0.6102489019033674	0.5847730600292825	0.6960468521229868	0.8980966325036603	0.60497803806735	0.8117130307467058	0.8368960468521229	0.4881405563689605	0.8778916544655929	0.8043923865300147	0.8512445095168375	0.6345534407027819	0.5718887262079063	0.6456808199121523	0.6351390922401171	0.6465592972181552	0.6863836017569546	0.6597364568081991	0.7133235724743777	0.8111273792093704	0.8925329428989751	0.88199121522694	0.7985358711566618	0.9209370424597365	0.8898975109809664	0.8878477306002929	0.8682284040995608	0.9314787701317716	0.5797950219619327	0.3874084919472914	0.9478770131771596	0.6117130307467057	0.750805270863836	0.8289897510980966	0.8752562225475842	0.6916544655929722	0.6767203513909223	0.8169838945827232	0.7765739385065886
K17_SS75_I_D	0.2342606149341142	0.2418740849194729	0.4380673499267936	0.5991215226939971	0.7373352855051245	0.5007320644216691	0.0	0.3004392386530015	0.44685212298682286	0.48726207906295754	0.4125915080527086	0.4055636896046852	0.8445095168374817	0.7285505124450952	0.42108345534407027	0.47789165446559295	0.4863836017569546	0.47613469985358714	0.8553440702781845	0.4843338213762811	0.4702781844802343	0.3786237188872621	0.37745241581259154	0.5144948755490483	0.42108345534407027	0.6644216691068814	0.7920937042459737	0.7060029282576866	0.5127379209370425	0.5013177159590044	0.28462664714494873	0.2020497803806735	0.16544655929721816	0.22108345534407028	0.2658857979502196	0.6202049780380674	0.6945827232796487	0.514787701317716	0.652415812591508	0.619619326500732	0.7346998535871156	0.9013177159590043	0.661493411420205	0.8881405563689605	0.7707174231332358	0.5856515373352855	0.8954612005856515	0.816398243045388	0.8734992679355783	0.38857979502196194	0.4032210834553441	0.37510980966325036	0.6114202049780381	0.624597364568082	0.6108345534407028	0.8392386530014642	0.8863836017569546	0.845095168374817	0.8916544655929722	0.9004392386530015	0.8951683748169839	0.926207906295754	0.9089311859443631	0.9115666178623719	0.9016105417276721	0.9247437774524158	0.5349926793557833	0.31800878477306005	0.9625183016105417	0.5519765739385066	0.7833089311859444	0.9045387994143484	0.8969253294289897	0.8313323572474378	0.812298682284041	0.8831625183016105	0.8008784773060029
K17_SS75_IV_D	0.3396778916544656	0.3232796486090776	0.5276720351390922	0.652415812591508	0.6445095168374817	0.42079062957540264	0.3004392386530015	0.0	0.40234260614934114	0.4222547584187408	0.47818448023426063	0.37071742313323575	0.7856515373352855	0.6544655929721815	0.42986822840409955	0.4796486090775988	0.43601756954612003	0.39326500732064423	0.7660322108345534	0.339385065885798	0.47584187408491946	0.30863836017569546	0.2691068814055637	0.41844802342606147	0.40029282576866765	0.5669106881405563	0.6796486090775988	0.6863836017569546	0.46178623718887263	0.43894582723279646	0.4125915080527086	0.24421669106881405	0.23777452415812592	0.3183016105417277	0.2822840409956076	0.5762811127379209	0.6790629575402636	0.4518301610541728	0.6620790629575403	0.6187408491947292	0.6878477306002928	0.8951683748169839	0.6125915080527087	0.8225475841874085	0.8310395314787701	0.5387994143484627	0.8767203513909224	0.8128843338213763	0.8389458272327965	0.3800878477306003	0.36105417276720353	0.4158125915080527	0.5733528550512446	0.5929721815519766	0.6535871156661787	0.714787701317716	0.803221083455344	0.8272327964860908	0.8878477306002929	0.8808199121522694	0.8207906295754026	0.8720351390922401	0.8910688140556369	0.8778916544655929	0.8612005856515373	0.8849194729136164	0.4957540263543192	0.24509516837481699	0.9048316251830161	0.47642752562225477	0.7139092240117131	0.832796486090776	0.8746705710102489	0.7458272327964861	0.7212298682284041	0.7797950219619326	0.7727672035139093
K2_NL71_I_D	0.49282576866764277	0.49165446559297216	0.6541727672035139	0.7513909224011713	0.7856515373352855	0.6310395314787701	0.44685212298682286	0.40234260614934114	0.0	0.1554904831625183	0.5938506588579795	0.5698389458272328	0.8638360175695461	0.7689604685212299	0.5592972181551976	0.5824304538799414	0.23689604685212298	0.289311859443631	0.8846266471449488	0.5956076134699854	0.6	0.4653001464128843	0.461493411420205	0.32474377745241584	0.4749633967789165	0.6816983894582723	0.7578330893118594	0.6957540263543192	0.28579795021961935	0.2822840409956076	0.5349926793557833	0.4295754026354319	0.42108345534407027	0.3103953147877013	0.3657393850658858	0.6456808199121523	0.7185944363103953	0.5774524158125915	0.7537335285505125	0.7051244509516837	0.7259150805270864	0.8910688140556369	0.6661786237188873	0.8925329428989751	0.8576866764275256	0.6641288433382138	0.9013177159590043	0.8149341142020498	0.8685212298682284	0.26061493411420206	0.22986822840409957	0.2682284040995608	0.5762811127379209	0.5871156661786238	0.5994143484626647	0.8480234260614934	0.8954612005856515	0.8462664714494875	0.8975109809663251	0.8928257686676427	0.91303074670571	0.930307467057101	0.9030746705710102	0.9306002928257686	0.9282576866764275	0.9423133235724743	0.6202049780380674	0.48462664714494874	0.949926793557833	0.5833089311859444	0.7748169838945828	0.9030746705710102	0.8948755490483162	0.83601756954612	0.7941434846266472	0.8869692532942899	0.7932650073206442
K2_NL71_IV_D	0.5103953147877013	0.5103953147877013	0.6732064421669107	0.7648609077598829	0.7979502196193266	0.6603221083455344	0.48726207906295754	0.4222547584187408	0.1554904831625183	0.0	0.5736456808199122	0.5563689604685212	0.8752562225475842	0.7774524158125915	0.5279648609077598	0.5584187408491947	0.2629575402635432	0.2980966325036603	0.8969253294289897	0.5718887262079063	0.5727672035139092	0.45300146412884335	0.4538799414348463	0.34084919472913616	0.5033674963396779	0.6989751098096633	0.766325036603221	0.6931185944363104	0.26266471449487555	0.24948755490483163	0.5505124450951684	0.4568081991215227	0.4512445095168375	0.3540263543191801	0.40702781844802344	0.660614934114202	0.730307467057101	0.5970717423133236	0.7680819912152269	0.7191800878477306	0.7446559297218155	0.9062957540263543	0.6714494875549049	0.8978038067349927	0.8855051244509516	0.6808199121522694	0.909809663250366	0.8196193265007321	0.8778916544655929	0.31595900439238656	0.26734992679355785	0.3109809663250366	0.5833089311859444	0.5988286969253295	0.6084919472913617	0.8588579795021962	0.9177159590043924	0.8562225475841874	0.9103953147877013	0.9171303074670571	0.9276720351390922	0.9373352855051245	0.9045387994143484	0.9434846266471449	0.9382137628111273	0.9469985358711567	0.6304538799414349	0.47789165446559295	0.950805270863836	0.6011713030746706	0.7862371888726208	0.9191800878477306	0.893411420204978	0.8579795021961932	0.8143484626647145	0.8931185944363104	0.7906295754026355
