	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P11_GT85_I_D	0	0.165153734	0.602342606	0.69136164	0.486969253	0.740263543	0.684919473	0.734992679	0.893997072	0.636310395	0.889897511	0.843045388	0.628696925	0.888726208	0.817862372	0.868228404	0.287554905	0.304538799	0.270863836	0.580966325	0.605270864	0.606734993	0.834846266	0.881405564	0.838653001	0.889311859	0.884626647	0.897218155	0.923572474	0.892240117	0.905710102	0.903953148	0.945534407	0.538506589	0.387994143	0.961639824	0.536749634	0.785358712	0.896046852	0.892532943	0.823718887	0.789751098	0.872035139	0.783016105
P11_GT85_II_D	0.165153734	0	0.5715959	0.69341142	0.439824305	0.684626647	0.63045388	0.723279649	0.909809663	0.621961933	0.842166911	0.854172767	0.571888726	0.893997072	0.823718887	0.871156662	0.351976574	0.301317716	0.346412884	0.569253294	0.585065886	0.62079063	0.785651537	0.831625183	0.837481698	0.902489019	0.894582723	0.846852123	0.929721816	0.889311859	0.890775988	0.876720351	0.942606149	0.538799414	0.343777452	0.959297218	0.555783309	0.759004392	0.852708638	0.889604685	0.78272328	0.755197657	0.844509517	0.793557833
P11_GT85_III_D	0.602342606	0.5715959	0	0.6284041	0.444509517	0.558711567	0.510102489	0.606442167	0.619912152	0.546120059	0.549048316	0.834553441	0.513030747	0.76398243	0.526793558	0.732357247	0.679062958	0.591800878	0.672620791	0.3522694	0.427232796	0.433967789	0.654172767	0.739677892	0.721229868	0.816691069	0.839531479	0.798828697	0.682284041	0.85534407	0.885505124	0.87057101	0.701610542	0.671449488	0.57920937	0.8	0.691068814	0.76749634	0.727379209	0.824304539	0.705124451	0.695168375	0.438653001	0.702781845
P11_GT85_IV_D	0.69136164	0.69341142	0.6284041	0	0.633382138	0.714787701	0.661493411	0.651830161	0.850073206	0.614055637	0.84568082	0.851537335	0.672035139	0.83601757	0.734992679	0.807906296	0.730893119	0.727086384	0.730307467	0.681991215	0.676427526	0.680527086	0.813469985	0.88374817	0.780087848	0.85329429	0.877013177	0.88374817	0.872327965	0.856808199	0.928550512	0.921229868	0.882869693	0.690190337	0.699560761	0.897803807	0.701903367	0.799414348	0.849194729	0.835139092	0.821376281	0.777452416	0.840409956	0.718887262
P11_GT85_V_D	0.486969253	0.439824305	0.444509517	0.633382138	0	0.512445095	0.462371889	0.602928258	0.797657394	0.48579795	0.695754026	0.821669107	0.388579795	0.781259151	0.718594436	0.773938507	0.604099561	0.504245974	0.59033675	0.499560761	0.50863836	0.535871157	0.542313324	0.599707174	0.736163982	0.82079063	0.824011713	0.736163982	0.843045388	0.816398243	0.883162518	0.860322108	0.861200586	0.54875549	0.420497804	0.874670571	0.609370425	0.708931186	0.755197657	0.795021962	0.585065886	0.578038067	0.715373353	0.686383602
P17_BH58_I_D	0.740263543	0.684626647	0.558711567	0.714787701	0.512445095	0	0.295168375	0.597364568	0.735578331	0.614934114	0.652415813	0.572767204	0.458272328	0.66852123	0.691654466	0.699267936	0.721229868	0.62284041	0.720937042	0.593850659	0.576281113	0.596778917	0.57510981	0.648316252	0.711566618	0.783601757	0.809077599	0.72181552	0.824597365	0.836310395	0.879355783	0.862079063	0.819033675	0.738799414	0.5522694	0.852122987	0.747877013	0.757833089	0.716837482	0.80204978	0.659736457	0.661786237	0.690190337	0.669106881
P17_BH58_II_D	0.684919473	0.63045388	0.510102489	0.661493411	0.462371889	0.295168375	0	0.561639824	0.701610542	0.532357247	0.625475842	0.592972182	0.398828697	0.598243045	0.667349927	0.674084919	0.677891654	0.589751098	0.661786237	0.556661786	0.516544656	0.543484627	0.546120059	0.609956076	0.702489019	0.742313324	0.755197657	0.653587116	0.799414348	0.807906296	0.885505124	0.868228404	0.793557833	0.703367496	0.549633968	0.826647145	0.718301611	0.721522694	0.685505124	0.803806735	0.657686676	0.661200586	0.667642753	0.671742313
P17_BH58_III_D	0.734992679	0.723279649	0.606442167	0.651830161	0.602928258	0.597364568	0.561639824	0	0.69136164	0.503660322	0.677306003	0.80761347	0.64011713	0.666178624	0.618448023	0.641288433	0.743191801	0.710980966	0.754026354	0.604099561	0.580380673	0.600585652	0.677891654	0.783601757	0.681698389	0.735871157	0.785944363	0.779502196	0.743191801	0.741434846	0.888433382	0.886676428	0.750805271	0.674084919	0.714787701	0.767789165	0.695754026	0.656222548	0.761346999	0.742020498	0.753440703	0.73909224	0.683455344	0.60556369
P17_BH58_IV_D	0.893997072	0.909809663	0.619912152	0.850073206	0.797657394	0.735578331	0.701610542	0.69136164	0	0.72942899	0.351098097	0.843923865	0.82489019	0.470863836	0.557247438	0.531185944	0.93147877	0.902489019	0.920937042	0.669692533	0.583308931	0.515666179	0.636310395	0.627525622	0.725915081	0.575695461	0.625768668	0.63806735	0.555197657	0.78272328	0.914494876	0.911273792	0.525036603	0.836310395	0.901610542	0.609077599	0.884919473	0.81522694	0.644216691	0.778038067	0.845387994	0.867349927	0.462371889	0.791508053
P17_BH58_V_D	0.636310395	0.621961933	0.546120059	0.614055637	0.48579795	0.614934114	0.532357247	0.503660322	0.72942899	0	0.689897511	0.819033675	0.570424597	0.703367496	0.682869693	0.713909224	0.698389458	0.642166911	0.692240117	0.57510981	0.546412884	0.569838946	0.698682284	0.771010249	0.681991215	0.75988287	0.795021962	0.765446559	0.795021962	0.770424597	0.887847731	0.875549048	0.795314788	0.628989751	0.633674963	0.819912152	0.687262079	0.704538799	0.743777452	0.719472914	0.729721816	0.67818448	0.719180088	0.639531479
P17_BH58_VI_D	0.889897511	0.842166911	0.549048316	0.84568082	0.695754026	0.652415813	0.625475842	0.677306003	0.351098097	0.689897511	0	0.865885798	0.729136164	0.495168375	0.585651537	0.509809663	0.929721816	0.821669107	0.921522694	0.629868228	0.525915081	0.512152269	0.520351391	0.517130307	0.728257687	0.60204978	0.632210835	0.594729136	0.560175695	0.757247438	0.883455344	0.867057101	0.548169839	0.829282577	0.818740849	0.610541728	0.87818448	0.788286969	0.635724744	0.78682284	0.740263543	0.784187408	0.407027818	0.796778917
P18_SJ75_I_D	0.843045388	0.854172767	0.834553441	0.851537335	0.821669107	0.572767204	0.592972182	0.80761347	0.843923865	0.819033675	0.865885798	0	0.710102489	0.755783309	0.842166911	0.836603221	0.829575403	0.800585652	0.828696925	0.806734993	0.802635432	0.785358712	0.850658858	0.858272328	0.841581259	0.864128843	0.877891654	0.839238653	0.931771596	0.907174231	0.912445095	0.910395315	0.925036603	0.877891654	0.754026354	0.951390922	0.871156662	0.875549048	0.796193265	0.899267936	0.864714495	0.857686676	0.884040996	0.853001464
P18_SJ75_II_D	0.628696925	0.571888726	0.513030747	0.672035139	0.388579795	0.458272328	0.398828697	0.64011713	0.82489019	0.570424597	0.729136164	0.710102489	0	0.80966325	0.749633968	0.789458272	0.631625183	0.530600293	0.629282577	0.550805271	0.532650073	0.580087848	0.499560761	0.549048316	0.769838946	0.82284041	0.829575403	0.720644217	0.867935578	0.857101025	0.878770132	0.864128843	0.869106881	0.674963397	0.462664714	0.897510981	0.672913616	0.718008785	0.791508053	0.843045388	0.588579795	0.607320644	0.749341142	0.711566618
P18_SJ75_III_D	0.888726208	0.893997072	0.76398243	0.83601757	0.781259151	0.66852123	0.598243045	0.666178624	0.470863836	0.703367496	0.495168375	0.755783309	0.80966325	0	0.703660322	0.428696925	0.913616398	0.884919473	0.911566618	0.754612006	0.667642753	0.628111274	0.65124451	0.64568082	0.709809663	0.623718887	0.667349927	0.629282577	0.655929722	0.771010249	0.903367496	0.907174231	0.598243045	0.821376281	0.882869693	0.630161054	0.87057101	0.768081991	0.62489019	0.750512445	0.829868228	0.859443631	0.619619327	0.797364568
P18_SJ75_IV_D	0.817862372	0.823718887	0.526793558	0.734992679	0.718594436	0.691654466	0.667349927	0.618448023	0.557247438	0.682869693	0.585651537	0.842166911	0.749633968	0.703660322	0	0.659443631	0.835139092	0.814641288	0.824597365	0.581844802	0.574816984	0.544070278	0.724743777	0.812298682	0.715373353	0.768081991	0.80204978	0.802928258	0.671742313	0.786530015	0.925036603	0.920644217	0.674963397	0.766617862	0.817862372	0.736749634	0.793850659	0.785065886	0.766032211	0.79033675	0.81317716	0.801464129	0.562518302	0.693704246
P18_SJ75_V_D	0.868228404	0.871156662	0.732357247	0.807906296	0.773938507	0.699267936	0.674084919	0.641288433	0.531185944	0.713909224	0.509809663	0.836603221	0.789458272	0.428696925	0.659443631	0	0.876720351	0.846852123	0.881698389	0.701610542	0.607906296	0.570424597	0.57715959	0.637188873	0.72942899	0.6284041	0.652708638	0.654172767	0.632210835	0.751390922	0.909516837	0.905417277	0.607906296	0.779502196	0.85885798	0.611713031	0.828696925	0.747291362	0.702489019	0.803513909	0.816105417	0.838653001	0.603806735	0.760175695
