	P17_BH58_I_D	P17_BH58_VI_D	P2_ZM87_I_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_VI_D
P17_BH58_I_D	0	0.652415813	0.721229868	0.596778917	0.57510981	0.72181552	0.824597365	0.862079063	0.819033675	0.757833089
P17_BH58_VI_D	0.652415813	0	0.929721816	0.512152269	0.520351391	0.594729136	0.560175695	0.867057101	0.548169839	0.788286969
P2_ZM87_I_D	0.721229868	0.929721816	0	0.577452416	0.855051245	0.932942899	0.92181552	0.943191801	0.910395315	0.744070278
P2_ZM87_VI_D	0.596778917	0.512152269	0.577452416	0	0.603806735	0.71625183	0.643338214	0.912445095	0.618448023	0.660322108
P30_KM73_I_D	0.57510981	0.520351391	0.855051245	0.603806735	0	0.529721816	0.64363104	0.861493411	0.633089312	0.713030747
P30_KM73_VI_D	0.72181552	0.594729136	0.932942899	0.71625183	0.529721816	0	0.629868228	0.874377745	0.528550512	0.811127379
P36_KJ78_I_D	0.824597365	0.560175695	0.92181552	0.643338214	0.64363104	0.629868228	0	0.922108346	0.313323572	0.719472914
P36_KJ78_VI_D	0.862079063	0.867057101	0.943191801	0.912445095	0.861493411	0.874377745	0.922108346	0	0.94670571	0.939677892
P37_SJ55_I_D	0.819033675	0.548169839	0.910395315	0.618448023	0.633089312	0.528550512	0.313323572	0.94670571	0	0.722986823
P37_SJ55_VI_D	0.757833089	0.788286969	0.744070278	0.660322108	0.713030747	0.811127379	0.719472914	0.939677892	0.722986823	0
