	K11_JV87_I_D	K11_JV87_IV_D	K12_KJ78_I_D	K12_KJ78_IV_D	K16_PP75_I_D	K16_PP75_IV_D	K17_SS75_I_D	K17_SS75_IV_D	K2_NL71_I_D	K2_NL71_IV_D	K20_HO76_I_D	K20_HO76_IV_D	K21_KT86_I_D	K23_JM85_I_D	K27_BA81_II_D	K28_KZ83_I_D	K3_KM78_I_D	K3_KM78_IV_D	K30_SF95_I_D	K32_KS89_I_D	K34_BI96_I_D	K34_BI96_IV_D	K39_DS96_I_D	K4_RR79_I_D	K40_WV86_IV_D	K41_NE90_I_D	K41_NE90_IV_D	K43_KZ94_I_D	K5_JZ92_I_D	K5_JZ92_IV_D	K8_KP79_I_D	K9_KM80_I_D	K9_KM80_IV_D	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
K11_JV87_I_D	0.0	0.7321428571428571	0.8657718120805369	0.8661971830985915	0.8702290076335878	0.8818181818181818	0.813953488372093	0.8571428571428571	0.8351648351648352	0.8354430379746836	0.8571428571428571	0.8390804597701149	0.9533678756476683	0.8	0.9152542372881356	0.918918918918919	0.8558558558558559	0.8351648351648352	0.8712871287128713	0.875	0.8877551020408163	0.7974683544303798	0.85	0.9008264462809917	0.8928571428571429	0.8861788617886179	0.9295774647887324	0.9294871794871795	0.9052631578947369	0.90625	0.8627450980392157	0.782608695652174	0.8433734939759037	0.7692307692307693	0.7868852459016393	0.8059701492537313	0.9246231155778895	0.8571428571428571	0.8526315789473684	0.8666666666666667	0.8807947019867549	0.9379310344827586	0.8897058823529411	0.9261363636363636	0.8737864077669902	0.84375	0.9261744966442953	0.9222222222222223	0.8938053097345132	0.8207547169811321	0.8082191780821918	0.8390804597701149	0.8598130841121495	0.8832116788321168	0.8596491228070176	0.8636363636363636	0.9387755102040817	0.9555555555555556	0.9186991869918699	0.9172932330827067	0.925531914893617	0.9318181818181818	0.9310344827586207	0.88	0.8714285714285714	0.9043478260869565	0.921875	0.7887323943661971	0.9455782312925171	0.8926174496644296	0.9144736842105263	0.9453125	0.9299363057324841	0.8888888888888888	0.9320987654320988	0.8481012658227848	0.9230769230769231
K11_JV87_IV_D	0.7321428571428571	0.0	0.8666666666666667	0.8670212765957447	0.8700564971751412	0.8562091503267973	0.8676470588235294	0.8450704225352113	0.8951048951048951	0.8923076923076924	0.9197080291970803	0.875	0.9444444444444444	0.864	0.9473684210526315	0.9182389937106918	0.8881987577639752	0.8794326241134752	0.8933333333333333	0.898876404494382	0.9121621621621622	0.8515625	0.9090909090909091	0.8988095238095238	0.898936170212766	0.9075144508670521	0.9484536082474226	0.9158415841584159	0.9387755102040817	0.9213483146067416	0.8947368421052632	0.847457627118644	0.8615384615384616	0.8421052631578947	0.8545454545454545	0.8620689655172413	0.9053497942386831	0.8609271523178808	0.8741258741258742	0.8823529411764706	0.8781725888324873	0.9326424870466321	0.8907103825136612	0.9192825112107623	0.8947368421052632	0.8601398601398601	0.9183673469387755	0.9210526315789473	0.9006211180124224	0.8355263157894737	0.8699186991869918	0.875	0.847682119205298	0.8797814207650273	0.8765432098765432	0.8656716417910447	0.9090909090909091	0.940959409594096	0.9117647058823529	0.9111111111111111	0.9148936170212766	0.9157303370786517	0.921875	0.9032258064516129	0.9173553719008265	0.9012345679012346	0.902542372881356	0.85	0.927461139896373	0.8871794871794871	0.8928571428571429	0.9127906976744186	0.926829268292683	0.916030534351145	0.9234449760765551	0.8650793650793651	0.9218106995884774
K12_KJ78_I_D	0.8657718120805369	0.8666666666666667	0.0	0.8235294117647058	0.8817733990147784	0.9139784946236559	0.8963414634146342	0.9085714285714286	0.9244186046511628	0.950920245398773	0.9457831325301205	0.9411764705882353	0.9545454545454546	0.930379746835443	0.9597989949748744	0.9470899470899471	0.9543147208121827	0.9488636363636364	0.9453551912568307	0.9278846153846154	0.9195402298850575	0.9125	0.937888198757764	0.9346733668341709	0.926605504587156	0.9359605911330049	0.9823788546255506	0.9576271186440678	0.936046511627907	0.9158415841584159	0.8983050847457628	0.891156462585034	0.8924050632911392	0.910958904109589	0.9148936170212766	0.9328859060402684	0.9422382671480144	0.9301075268817204	0.9378531073446328	0.9354838709677419	0.9310344827586207	0.973568281938326	0.944954128440367	0.9652509652509652	0.9106145251396648	0.9142857142857143	0.9653679653679653	0.95	0.9644670050761421	0.9090909090909091	0.9358974358974359	0.9349112426035503	0.9365079365079365	0.9454545454545454	0.9390862944162437	0.9470588235294117	0.9833333333333333	0.9636963696369637	0.9556650246305419	0.9579439252336449	0.9714285714285714	0.9622641509433962	0.926605504587156	0.9415584415584416	0.9605263157894737	0.9432989690721649	0.9485294117647058	0.9144736842105263	0.9646017699115044	0.9391304347826087	0.9527896995708155	0.9809523809523809	0.9621848739495799	0.9757575757575757	0.9543568464730291	0.9570552147239264	0.9413919413919414
K12_KJ78_IV_D	0.8661971830985915	0.8670212765957447	0.8235294117647058	0.0	0.8534031413612565	0.903954802259887	0.8766233766233766	0.8975903614457831	0.9141104294478528	0.9205298013245033	0.9363057324840764	0.925	0.9444444444444444	0.9047619047619048	0.9470899470899471	0.9447513812154696	0.9239130434782609	0.9207317073170732	0.9367816091954023	0.9030612244897959	0.8957055214723927	0.8859060402684564	0.9060402684563759	0.9206349206349206	0.9134615384615384	0.9166666666666666	0.9579439252336449	0.9375	0.9393939393939394	0.923469387755102	0.8869047619047619	0.8768115942028986	0.8716216216216216	0.8897058823529411	0.9097744360902256	0.9136690647482014	0.9163498098859315	0.9085714285714286	0.9024390243902439	0.9080459770114943	0.9090909090909091	0.933649289099526	0.9117647058823529	0.9256198347107438	0.9127906976744186	0.8765432098765432	0.8894230769230769	0.9227642276422764	0.8863636363636364	0.8863636363636364	0.9103448275862069	0.9182389937106918	0.9217877094972067	0.9230769230769231	0.8833333333333333	0.9177215189873418	0.9457831325301205	0.9225352112676056	0.9375	0.9303482587064676	0.9447852760736196	0.9072164948453608	0.9186602870813397	0.9383561643835616	0.951048951048951	0.9055555555555556	0.9098039215686274	0.8943661971830986	0.9134615384615384	0.9174311926605505	0.9223744292237442	0.9489795918367347	0.947136563876652	0.9545454545454546	0.9437229437229437	0.9271523178807947	0.9233716475095786
K16_PP75_I_D	0.8702290076335878	0.8700564971751412	0.8817733990147784	0.8534031413612565	0.0	0.8246753246753247	0.8732394366197183	0.8590604026845637	0.8843537414965986	0.8721804511278195	0.9154929577464789	0.8958333333333334	0.9403669724770642	0.8615384615384616	0.9310344827586207	0.9146341463414634	0.8922155688622755	0.8689655172413793	0.8974358974358975	0.8777777777777778	0.9225806451612903	0.8913043478260869	0.8372093023255814	0.8959537572254336	0.873015873015873	0.9044943820224719	0.9393939393939394	0.9182692307692307	0.9054054054054054	0.8938547486033519	0.8846153846153846	0.8455284552845529	0.8676470588235294	0.8688524590163934	0.8620689655172413	0.85	0.9032258064516129	0.8441558441558441	0.8482758620689655	0.8506493506493507	0.865	0.9292929292929293	0.8941798941798942	0.9213973799126638	0.9056603773584906	0.8503401360544217	0.9154228855721394	0.9137931034482759	0.8975903614457831	0.8269230769230769	0.8671875	0.8394160583941606	0.8535031847133758	0.8655913978494624	0.8606060606060606	0.8794326241134752	0.912751677852349	0.9227941176470589	0.9085714285714286	0.8961748633879781	0.8802816901408451	0.912568306010929	0.9242424242424242	0.916030534351145	0.904	0.9047619047619048	0.9004149377593361	0.8571428571428571	0.935	0.885	0.9174757281553398	0.9337016574585635	0.9389671361502347	0.9197080291970803	0.9354838709677419	0.8712121212121212	0.9061224489795918
K16_PP75_IV_D	0.8818181818181818	0.8562091503267973	0.9139784946236559	0.903954802259887	0.8246753246753247	0.0	0.8362068965517241	0.8211382113821138	0.8699186991869918	0.9035087719298246	0.9067796610169492	0.9016393442622951	0.9341463414634147	0.8173076923076923	0.9407894736842105	0.8832116788321168	0.8811188811188811	0.8699186991869918	0.8863636363636364	0.89375	0.9323308270676691	0.8672566371681416	0.8839285714285714	0.8783783783783784	0.9132947976878613	0.9102564102564102	0.9488636363636364	0.918918918918919	0.9296875	0.9254658385093167	0.9124087591240876	0.875	0.8482142857142857	0.87	0.8241758241758241	0.87	0.9022222222222223	0.8582089552238806	0.8548387096774194	0.8656716417910447	0.8777777777777778	0.943502824858757	0.8641975308641975	0.9326923076923077	0.8962962962962963	0.8837209302325582	0.9277777777777778	0.9086538461538461	0.9027777777777778	0.8714285714285714	0.8679245283018868	0.8925619834710744	0.8686131386861314	0.8994082840236687	0.8835616438356164	0.8916666666666667	0.937984496124031	0.9407114624505929	0.9290322580645162	0.9006211180124224	0.928	0.9325153374233128	0.9318181818181818	0.9363636363636364	0.9019607843137255	0.903448275862069	0.9285714285714286	0.8557692307692307	0.9438202247191011	0.875	0.9120879120879121	0.9299363057324841	0.9421052631578948	0.8715596330275229	0.91005291005291	0.9026548672566371	0.92
K17_SS75_I_D	0.813953488372093	0.8676470588235294	0.8963414634146342	0.8766233766233766	0.8732394366197183	0.8362068965517241	0.0	0.7722772277227723	0.8316831683168316	0.8695652173913043	0.8865979381443299	0.87	0.96	0.8409090909090909	0.9473684210526315	0.926829268292683	0.8319327731092437	0.7835051546391752	0.8947368421052632	0.8936170212765957	0.8899082568807339	0.8494623655913979	0.8695652173913043	0.8931297709923665	0.9013157894736842	0.8962962962962963	0.9487179487179487	0.9345238095238095	0.9056603773584906	0.9219858156028369	0.8571428571428571	0.8292682926829268	0.7727272727272727	0.7894736842105263	0.7887323943661971	0.8205128205128205	0.9134615384615384	0.8620689655172413	0.7653061224489796	0.8198198198198198	0.8827160493827161	0.9358974358974359	0.8986486486486487	0.9308510638297872	0.8256880733944955	0.8058252427184466	0.925	0.9042553191489362	0.9126984126984127	0.808695652173913	0.7777777777777778	0.8350515463917526	0.8347826086956521	0.8698630136986302	0.8360655737704918	0.8910891089108911	0.9158878504672897	0.9444444444444444	0.9097744360902256	0.9090909090909091	0.9134615384615384	0.9225352112676056	0.9363057324840764	0.896551724137931	0.9036144578313253	0.8688524590163934	0.9211822660098522	0.6933333333333334	0.949685534591195	0.879746835443038	0.9272727272727272	0.9347826086956522	0.9349112426035503	0.8913043478260869	0.9244186046511628	0.8924731182795699	0.9326923076923077
K17_SS75_IV_D	0.8571428571428571	0.8450704225352113	0.9085714285714286	0.8975903614457831	0.8590604026845637	0.8211382113821138	0.7722772277227723	0.0	0.8363636363636363	0.8484848484848485	0.8867924528301887	0.8918918918918919	0.9533169533169533	0.7956989247311828	0.9285714285714286	0.9076923076923077	0.8174603174603174	0.7924528301886793	0.8666666666666667	0.863013698630137	0.8898305084745762	0.8181818181818182	0.86	0.8257575757575758	0.9074074074074074	0.8723404255319149	0.8987341772151899	0.9075144508670521	0.9230769230769231	0.8979591836734694	0.8870967741935484	0.8089887640449438	0.82	0.8539325842696629	0.8148148148148148	0.8275862068965517	0.892018779342723	0.873015873015873	0.8407079646017699	0.8536585365853658	0.8698224852071006	0.9397590361445783	0.8838709677419355	0.9289340101522843	0.859504132231405	0.8333333333333334	0.9166666666666666	0.9090909090909091	0.8947368421052632	0.8145161290322581	0.8021978021978022	0.839622641509434	0.8292682926829268	0.8486842105263158	0.8571428571428571	0.8703703703703703	0.9230769230769231	0.9467213114754098	0.916083916083916	0.9006622516556292	0.9210526315789473	0.9060402684563759	0.9272727272727272	0.8842105263157894	0.8651685393258427	0.8702290076335878	0.8990384615384616	0.7727272727272727	0.9272727272727272	0.852760736196319	0.9064327485380117	0.9246575342465754	0.9385474860335196	0.88	0.9166666666666666	0.8585858585858586	0.9308755760368663
K2_NL71_I_D	0.8351648351648352	0.8951048951048951	0.9244186046511628	0.9141104294478528	0.8843537414965986	0.8699186991869918	0.8316831683168316	0.8363636363636363	0.0	0.7586206896551724	0.8571428571428571	0.8962264150943396	0.9526184538653366	0.8478260869565217	0.8923076923076924	0.8943089430894309	0.8373983739837398	0.8269230769230769	0.8793103448275862	0.8732394366197183	0.9035087719298246	0.84375	0.875	0.8449612403100775	0.8823529411764706	0.8913043478260869	0.9019607843137255	0.9107142857142857	0.8990825688073395	0.8857142857142857	0.9090909090909091	0.8505747126436781	0.8333333333333334	0.8292682926829268	0.8461538461538461	0.7848101265822784	0.9047619047619048	0.8666666666666667	0.8532110091743119	0.8461538461538461	0.8719512195121951	0.9240506329113924	0.8482758620689655	0.9210526315789473	0.8813559322033898	0.8558558558558559	0.9333333333333333	0.900523560209424	0.889763779527559	0.8347107438016529	0.8426966292134831	0.83	0.85	0.8657718120805369	0.8503937007874016	0.8627450980392157	0.9090909090909091	0.9319148936170213	0.8962962962962963	0.8811188811188811	0.9166666666666666	0.9097222222222222	0.93125	0.9130434782608695	0.9080459770114943	0.890625	0.9227053140096618	0.8409090909090909	0.9444444444444444	0.8895705521472392	0.9289940828402367	0.8978102189781022	0.9302325581395349	0.8723404255319149	0.888235294117647	0.8854166666666666	0.9186602870813397
K2_NL71_IV_D	0.8354430379746836	0.8923076923076924	0.950920245398773	0.9205298013245033	0.8721804511278195	0.9035087719298246	0.8695652173913043	0.8484848484848485	0.7586206896551724	0.0	0.8863636363636364	0.9042553191489362	0.9616368286445013	0.85	0.907563025210084	0.8807339449541285	0.8482142857142857	0.8131868131868132	0.8737864077669902	0.9022556390977443	0.9223300970873787	0.872093023255814	0.8674698795180723	0.875	0.8943661971830986	0.905511811023622	0.9154929577464789	0.9096774193548387	0.8723404255319149	0.8548387096774194	0.9272727272727272	0.8533333333333334	0.8470588235294118	0.8450704225352113	0.8484848484848485	0.7761194029850746	0.9035532994923858	0.8703703703703703	0.8556701030927835	0.8584905660377359	0.896774193548387	0.9387755102040817	0.8666666666666667	0.9388888888888889	0.897196261682243	0.8350515463917526	0.9342105263157895	0.9230769230769231	0.9145299145299145	0.8761061946902655	0.8133333333333334	0.8426966292134831	0.8518518518518519	0.8602941176470589	0.8620689655172413	0.8913043478260869	0.9292929292929293	0.9466666666666667	0.92	0.9104477611940298	0.9381443298969072	0.9407407407407408	0.9602649006622517	0.925	0.9054054054054054	0.9421487603305785	0.9282051282051282	0.8266666666666667	0.9533333333333334	0.8866666666666667	0.9430379746835443	0.937984496124031	0.9440993788819876	0.9047619047619048	0.90625	0.8658536585365854	0.9183673469387755
