	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P11_GT85_I_D	0	0.72	0.727272727	0.909090909	0.829787234	0.821428571	0.852631579	0.903448276	0.925373134	0.862903226	0.940828402	0.860215054	0.811764706	0.920863309	0.911242604	0.894230769	0.81443299	0.815384615	0.833333333	0.845360825	0.891472868	0.846153846	0.846153846	0.880952381	0.933649289	0.891891892	0.910569106	0.890243902	0.899159664	0.875968992	0.806451613	0.789473684	0.895238095	0.91160221	0.754098361	0.949275362	0.860294118	0.916083916	0.903508772	0.917808219	0.84057971	0.883561644	0.842857143	0.924731183
P11_GT85_II_D	0.72	0	0.79245283	0.918032787	0.857142857	0.82278481	0.855555556	0.899280576	0.946564885	0.893442623	0.951515152	0.863636364	0.827160494	0.941176471	0.921212121	0.91	0.840425532	0.775862069	0.819444444	0.835164835	0.886178862	0.86	0.864864865	0.913580247	0.942028986	0.916666667	0.905982906	0.91025641	0.949579832	0.938931298	0.885245902	0.875	0.910891089	0.938888889	0.75	0.954887218	0.888059701	0.928057554	0.927927928	0.95890411	0.878787879	0.924657534	0.880597015	0.928176796
P11_GT85_III_D	0.727272727	0.79245283	0	0.885245902	0.777777778	0.730769231	0.761363636	0.830882353	0.88372093	0.81512605	0.901840491	0.847826087	0.797619048	0.854961832	0.87804878	0.838383838	0.838383838	0.777777778	0.802631579	0.755555556	0.798319328	0.775510204	0.732394366	0.794871795	0.90776699	0.839622642	0.854700855	0.818181818	0.870689655	0.917910448	0.895522388	0.868852459	0.84	0.917582418	0.774193548	0.909774436	0.892857143	0.931034483	0.883928571	0.910344828	0.84057971	0.898648649	0.65	0.895027624
P11_GT85_IV_D	0.909090909	0.918032787	0.885245902	0	0.890909091	0.895734597	0.880184332	0.881679389	0.926640927	0.87755102	0.928082192	0.933333333	0.906976744	0.916030534	0.910958904	0.9030837	0.912663755	0.923469388	0.923444976	0.901785714	0.909448819	0.9004329	0.907317073	0.914285714	0.918674699	0.929166667	0.910569106	0.918269231	0.927125506	0.943181818	0.96	0.942708333	0.922413793	0.921824104	0.911917098	0.943181818	0.901140684	0.941391941	0.920833333	0.914498141	0.924623116	0.923913043	0.897435897	0.908496732
P11_GT85_V_D	0.829787234	0.857142857	0.777777778	0.890909091	0	0.801724138	0.826771654	0.843023256	0.891566265	0.832258065	0.905	0.868217054	0.862903226	0.882352941	0.891089109	0.868613139	0.860294118	0.86407767	0.850877193	0.830769231	0.87037037	0.814814815	0.828828829	0.86440678	0.913934426	0.883561644	0.87012987	0.850877193	0.903846154	0.898809524	0.914285714	0.852631579	0.869565217	0.897674419	0.851485149	0.930635838	0.87283237	0.910614525	0.885135135	0.912087912	0.857142857	0.89673913	0.836538462	0.894009217
P17_BH58_I_D	0.821428571	0.82278481	0.730769231	0.895734597	0.801724138	0	0.5	0.817610063	0.838926174	0.843537415	0.844444444	0.76146789	0.75	0.782312925	0.878947368	0.779661017	0.769230769	0.781609195	0.787878788	0.763157895	0.797202797	0.758333333	0.773195876	0.782178218	0.895652174	0.821705426	0.827338129	0.762886598	0.873239437	0.905660377	0.915789474	0.886363636	0.81147541	0.902912621	0.75	0.884615385	0.864197531	0.904761905	0.833333333	0.9	0.87628866	0.915254237	0.791208791	0.871921182
P17_BH58_II_D	0.852631579	0.855555556	0.761363636	0.880184332	0.826771654	0.5	0	0.807228916	0.834394904	0.815789474	0.840425532	0.781512605	0.727272727	0.764705882	0.862244898	0.777777778	0.815384615	0.816326531	0.796296296	0.782258065	0.802631579	0.748031496	0.783018868	0.768518519	0.9	0.817518248	0.781690141	0.725490196	0.866666667	0.904761905	0.933962264	0.909090909	0.816793893	0.907407407	0.776595745	0.884848485	0.865497076	0.897727273	0.820143885	0.91160221	0.877358491	0.925531915	0.787878788	0.872641509
P17_BH58_III_D	0.903448276	0.899280576	0.830882353	0.881679389	0.843023256	0.817610063	0.807228916	0	0.868932039	0.826530612	0.878661088	0.898305085	0.848484848	0.867298578	0.885714286	0.847457627	0.860335196	0.878378378	0.881987578	0.844827586	0.862745098	0.845303867	0.837662338	0.897590361	0.905923345	0.872340426	0.879396985	0.867924528	0.888888889	0.896226415	0.934640523	0.925170068	0.848314607	0.9	0.885135135	0.906542056	0.875576037	0.890909091	0.89119171	0.902222222	0.909677419	0.918454936	0.827586207	0.87109375
P17_BH58_IV_D	0.925373134	0.946564885	0.88372093	0.926640927	0.891566265	0.838926174	0.834394904	0.868932039	0	0.886010363	0.735	0.902439024	0.885350318	0.748603352	0.87826087	0.803797468	0.92	0.936619718	0.914473684	0.879518072	0.898477157	0.845238095	0.868965517	0.816901408	0.916666667	0.813253012	0.844444444	0.768656716	0.84180791	0.936893204	0.935251799	0.940740741	0.782051282	0.928853755	0.943661972	0.853403141	0.914691943	0.919811321	0.793939394	0.873786408	0.915492958	0.951327434	0.851851852	0.921259843
P17_BH58_V_D	0.862903226	0.893442623	0.81512605	0.87755102	0.832258065	0.843537415	0.815789474	0.826530612	0.886010363	0	0.878923767	0.900621118	0.875816993	0.866666667	0.891304348	0.872727273	0.899408284	0.878787879	0.897959184	0.85625	0.867724868	0.856287425	0.866197183	0.9	0.899628253	0.878612717	0.879781421	0.875	0.89010989	0.925373134	0.941605839	0.923076923	0.873493976	0.901639344	0.894736842	0.914572864	0.892156863	0.918660287	0.88	0.882926829	0.889705882	0.896226415	0.865671642	0.870833333
P17_BH58_VI_D	0.940828402	0.951515152	0.901840491	0.928082192	0.905	0.844444444	0.840425532	0.878661088	0.735	0.878923767	0	0.903061224	0.882978723	0.711442786	0.898496241	0.769230769	0.912621359	0.912280702	0.913043478	0.87244898	0.875	0.813471503	0.862857143	0.812865497	0.915584416	0.828282828	0.875	0.830409357	0.84057971	0.928270042	0.942196532	0.934131737	0.790322581	0.93006993	0.924418605	0.845454545	0.92244898	0.904564315	0.8	0.868644068	0.907514451	0.941634241	0.862275449	0.91958042
P18_SJ75_I_D	0.860215054	0.863636364	0.847826087	0.933333333	0.868217054	0.76146789	0.781512605	0.898305085	0.902439024	0.900621118	0.903061224	0	0.787610619	0.865853659	0.921568627	0.873134328	0.829457364	0.835051546	0.845454545	0.852713178	0.88125	0.852941176	0.894736842	0.869565217	0.943319838	0.88028169	0.903225806	0.855855856	0.943037975	0.928994083	0.910891089	0.928571429	0.898550725	0.931192661	0.795698925	0.947674419	0.908571429	0.938888889	0.904761905	0.945652174	0.895238095	0.935828877	0.896226415	0.936936937
P18_SJ75_II_D	0.811764706	0.827160494	0.797619048	0.906976744	0.862903226	0.75	0.727272727	0.848484848	0.885350318	0.875816993	0.882978723	0.787610619	0	0.86875	0.886010363	0.850393701	0.81300813	0.786516854	0.803921569	0.808333333	0.84	0.811023622	0.836538462	0.863636364	0.919831224	0.859259259	0.854166667	0.826923077	0.897959184	0.920245399	0.90625	0.901098901	0.8515625	0.903846154	0.726190476	0.913580247	0.858895706	0.899408284	0.893617021	0.93220339	0.900990099	0.922222222	0.845360825	0.90521327
P18_SJ75_III_D	0.920863309	0.941176471	0.854961832	0.916030534	0.882352941	0.782312925	0.764705882	0.867298578	0.748603352	0.866666667	0.711442786	0.865853659	0.86875	0	0.890756303	0.645833333	0.892045455	0.894366197	0.896774194	0.843373494	0.850515464	0.780487805	0.827586207	0.774647887	0.914590747	0.819767442	0.830601093	0.769784173	0.82122905	0.918269231	0.937931034	0.935714286	0.767295597	0.91796875	0.909090909	0.834196891	0.906976744	0.901869159	0.801169591	0.893023256	0.896551724	0.943478261	0.798507463	0.914728682
P18_SJ75_IV_D	0.911242604	0.921212121	0.87804878	0.910958904	0.891089109	0.878947368	0.862244898	0.885714286	0.87826087	0.891304348	0.898496241	0.921568627	0.886010363	0.890756303	0	0.849246231	0.914691943	0.914772727	0.909574468	0.875621891	0.892241379	0.86407767	0.879120879	0.893617021	0.923809524	0.887323944	0.892857143	0.873626374	0.896396396	0.925311203	0.94972067	0.942196532	0.87804878	0.927586207	0.926553672	0.893162393	0.902040816	0.919678715	0.903669725	0.916334661	0.922222222	0.934615385	0.885714286	0.902097902
P18_SJ75_V_D	0.894230769	0.91	0.838383838	0.9030837	0.868613139	0.779661017	0.777777778	0.847457627	0.803797468	0.872727273	0.769230769	0.873134328	0.850393701	0.645833333	0.849246231	0	0.873239437	0.880733945	0.876033058	0.819548872	0.853658537	0.795620438	0.794642857	0.780701754	0.911290323	0.833333333	0.822368421	0.774774775	0.810810811	0.908045977	0.918181818	0.903846154	0.770992366	0.9	0.9	0.819875776	0.876404494	0.870056497	0.827586207	0.902702703	0.873873874	0.93877551	0.8	0.90625
P2_ZM87_I_D	0.81443299	0.840425532	0.838383838	0.912663755	0.860294118	0.769230769	0.815384615	0.860335196	0.92	0.899408284	0.912621359	0.829457364	0.81300813	0.892045455	0.914691943	0.873239437	0	0.767676768	0.740740741	0.763779528	0.794871795	0.795620438	0.846153846	0.888	0.924302789	0.894736842	0.888198758	0.885245902	0.906832298	0.926553672	0.908256881	0.893203883	0.866197183	0.894977169	0.79	0.914285714	0.850574713	0.882681564	0.917197452	0.937172775	0.89380531	0.922279793	0.854545455	0.90625
P2_ZM87_II_D	0.815384615	0.775862069	0.777777778	0.923469388	0.86407767	0.781609195	0.816326531	0.878378378	0.936619718	0.878787879	0.912280702	0.835051546	0.786516854	0.894366197	0.914772727	0.880733945	0.767676768	0	0.727272727	0.785714286	0.80952381	0.79047619	0.845238095	0.902173913	0.945454545	0.916666667	0.906976744	0.898876404	0.930232558	0.951724138	0.905405405	0.882352941	0.891891892	0.914893617	0.723076923	0.937062937	0.875	0.92	0.935483871	0.962264151	0.884615385	0.924050633	0.826666667	0.921875
P2_ZM87_III_D	0.833333333	0.819444444	0.802631579	0.923444976	0.850877193	0.787878788	0.796296296	0.881987578	0.914473684	0.897959184	0.913043478	0.845454545	0.803921569	0.896774194	0.909574468	0.876033058	0.740740741	0.727272727	0	0.790909091	0.811594203	0.805084746	0.831578947	0.87254902	0.935064935	0.892307692	0.876811594	0.868686869	0.914285714	0.935897436	0.882352941	0.875	0.87704918	0.920792079	0.772151899	0.929032258	0.886075949	0.920245399	0.934306569	0.959302326	0.89010989	0.923976608	0.827586207	0.92195122
P2_ZM87_IV_D	0.845360825	0.835164835	0.755555556	0.901785714	0.830769231	0.763157895	0.782258065	0.844827586	0.879518072	0.85625	0.87244898	0.852713178	0.808333333	0.843373494	0.875621891	0.819548872	0.763779528	0.785714286	0.790909091	0	0.724137931	0.724409449	0.8	0.837606838	0.910204082	0.846153846	0.857142857	0.833333333	0.869281046	0.919075145	0.905660377	0.89	0.812030075	0.908675799	0.808080808	0.880239521	0.867816092	0.899441341	0.879194631	0.918918919	0.880733945	0.921052632	0.782178218	0.889908257
P2_ZM87_V_D	0.891472868	0.886178862	0.798319328	0.909448819	0.87037037	0.797202797	0.802631579	0.862745098	0.898477157	0.867724868	0.875	0.88125	0.84	0.850515464	0.892241379	0.853658537	0.794871795	0.80952381	0.811594203	0.724137931	0	0.79375	0.827338129	0.856164384	0.920289855	0.873563218	0.868852459	0.853146853	0.872928177	0.936585366	0.942446043	0.932330827	0.847560976	0.915662651	0.853846154	0.898989899	0.887804878	0.914285714	0.906077348	0.935483871	0.907142857	0.936936937	0.796875	0.903614458
P2_ZM87_VI_D	0.846153846	0.86	0.775510204	0.9004329	0.814814815	0.758333333	0.748031496	0.845303867	0.845238095	0.856287425	0.813471503	0.852941176	0.811023622	0.780487805	0.86407767	0.795620438	0.795620438	0.79047619	0.805084746	0.724409449	0.79375	0	0.793103448	0.789915966	0.908730159	0.831081081	0.842767296	0.81512605	0.85443038	0.898305085	0.892857143	0.877358491	0.797101449	0.907079646	0.811320755	0.846153846	0.867403315	0.867403315	0.848684211	0.910994764	0.859649123	0.913265306	0.787037037	0.888888889
P30_KM73_I_D	0.846153846	0.864864865	0.732394366	0.907317073	0.828828829	0.773195876	0.783018868	0.837662338	0.868965517	0.866197183	0.862857143	0.894736842	0.836538462	0.827586207	0.879120879	0.794642857	0.846153846	0.845238095	0.831578947	0.8	0.827338129	0.793103448	0	0.760869565	0.911111111	0.846774194	0.824427481	0.793478261	0.838461538	0.89261745	0.906976744	0.858974359	0.807017544	0.909547739	0.843373494	0.862068966	0.878205128	0.892405063	0.84	0.90797546	0.837209302	0.890909091	0.688311688	0.905472637
P30_KM73_II_D	0.880952381	0.913580247	0.794871795	0.914285714	0.86440678	0.782178218	0.768518519	0.897590361	0.816901408	0.9	0.812865497	0.869565217	0.863636364	0.774647887	0.893617021	0.780701754	0.888	0.902173913	0.87254902	0.837606838	0.856164384	0.789915966	0.760869565	0	0.917391304	0.804878049	0.812030075	0.67816092	0.843283582	0.916666667	0.923076923	0.905882353	0.782608696	0.927184466	0.901098901	0.880794702	0.908536585	0.93452381	0.798387097	0.910179641	0.844444444	0.949438202	0.734939759	0.923076923
P30_KM73_III_D	0.933649289	0.942028986	0.90776699	0.918674699	0.913934426	0.895652174	0.9	0.905923345	0.916666667	0.899628253	0.915584416	0.943319838	0.919831224	0.914590747	0.923809524	0.911290323	0.924302789	0.945454545	0.935064935	0.910204082	0.920289855	0.908730159	0.911111111	0.917391304	0	0.909803922	0.913533835	0.911504425	0.908396947	0.943661972	0.968468468	0.953271028	0.902834008	0.926829268	0.945205479	0.920863309	0.923611111	0.941979522	0.918918919	0.931740614	0.931818182	0.943521595	0.917431193	0.907692308
