	P17_BH58_I_D	P17_BH58_VI_D	P2_ZM87_I_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_VI_D
P17_BH58_I_D	0	0.844444444	0.769230769	0.758333333	0.773195876	0.762886598	0.873239437	0.886363636	0.81147541	0.904761905
P17_BH58_VI_D	0.844444444	0	0.912621359	0.813471503	0.862857143	0.830409357	0.84057971	0.934131737	0.790322581	0.904564315
P2_ZM87_I_D	0.769230769	0.912621359	0	0.795620438	0.846153846	0.885245902	0.906832298	0.893203883	0.866197183	0.882681564
P2_ZM87_VI_D	0.758333333	0.813471503	0.795620438	0	0.793103448	0.81512605	0.85443038	0.877358491	0.797101449	0.867403315
P30_KM73_I_D	0.773195876	0.862857143	0.846153846	0.793103448	0	0.793478261	0.838461538	0.858974359	0.807017544	0.892405063
P30_KM73_VI_D	0.762886598	0.830409357	0.885245902	0.81512605	0.793478261	0	0.839694656	0.902439024	0.808695652	0.926829268
P36_KJ78_I_D	0.873239437	0.84057971	0.906832298	0.85443038	0.838461538	0.839694656	0	0.898305085	0.744680851	0.909090909
P36_KJ78_VI_D	0.886363636	0.934131737	0.893203883	0.877358491	0.858974359	0.902439024	0.898305085	0	0.904761905	0.945205479
P37_SJ55_I_D	0.81147541	0.790322581	0.866197183	0.797101449	0.807017544	0.808695652	0.744680851	0.904761905	0	0.883333333
P37_SJ55_VI_D	0.904761905	0.904564315	0.882681564	0.867403315	0.892405063	0.926829268	0.909090909	0.945205479	0.883333333	0
