SampleID	observed_features
P2_ZM87_I_D	80
P2_ZM87_II_D	42
P2_ZM87_III_D	56
P2_ZM87_IV_D	77
P2_ZM87_V_D	108
P2_ZM87_VI_D	85
P8_LV78_II_D	45
P8_LV78_III_D	128
P8_LV78_IV_D	46
P8_LV78_V_D	165
P11_GT85_I_D	35
P11_GT85_II_D	29
P11_GT85_III_D	35
P11_GT85_IV_D	169
P11_GT85_V_D	75
P17_BH58_I_D	64
P17_BH58_II_D	74
P17_BH58_III_D	124
P17_BH58_IV_D	109
P17_BH58_V_D	106
P17_BH58_VI_D	144
P18_SJ75_I_D	71
P18_SJ75_II_D	66
P18_SJ75_III_D	115
P18_SJ75_IV_D	149
P18_SJ75_V_D	80
P30_KM73_I_D	55
P30_KM73_II_D	59
P30_KM73_III_D	190
P30_KM73_IV_D	88
P30_KM73_V_D	99
P30_KM73_VI_D	56
P36_KJ78_I_D	96
P36_KJ78_III_D	110
P36_KJ78_IV_D	39
P36_KJ78_VI_D	34
P37_SJ55_I_D	81
P37_SJ55_II_D	162
P37_SJ55_III_D	41
P37_SJ55_IV_D	110
P37_SJ55_V_D	120
P37_SJ55_VI_D	120
P43_BR63_I_D	90
P43_BR63_III_D	123
K2_NL71_I_D	61
K2_NL71_IV_D	47
K3_KM78_I_D	82
K3_KM78_IV_D	61
K4_RR79_I_D	88
K5_JZ92_I_D	59
K5_JZ92_IV_D	95
K8_KP79_I_D	71
K9_KM80_I_D	39
K9_KM80_IV_D	51
K11_JV87_I_D	45
K11_JV87_IV_D	97
K12_KJ78_I_D	124
K12_KJ78_IV_D	116
K16_PP75_I_D	103
K16_PP75_IV_D	78
K17_SS75_I_D	57
K17_SS75_IV_D	67
K20_HO76_I_D	51
K20_HO76_IV_D	56
K21_KT86_I_D	359
K23_JM85_I_D	45
K27_BA81_II_D	83
K28_KZ83_I_D	75
K30_SF95_I_D	69
K32_KS89_I_D	99
K34_BI96_I_D	64
K34_BI96_IV_D	50
K39_DS96_I_D	47
K40_WV86_IV_D	110
K41_NE90_I_D	92
K41_NE90_IV_D	107
K43_KZ94_I_D	122
