	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P11_GT85_I_D	0	0.798214626	0.870326546	0.748538216	0.765932933	0.886934346	0.870157775	0.789264014	0.860302797	0.889233172	0.859992371	0.841064654	0.741780286	0.8817577	0.873084984	0.916460459	0.749293589	0.771190731	0.755599862	0.941613555	0.900830233	0.826565484	0.924254067	0.851513788	0.874129489	0.924255656	0.936745037	0.861178497	0.901173792	0.803443962	0.629162366	0.583745191	0.866437248	0.78905284	0.647298068	0.862465084	0.723311715	0.872931991	0.852031801	0.867616884	0.83785414	0.915881421	0.815127153	0.907556405
P11_GT85_II_D	0.798214626	0	0.806437223	0.850080666	0.847167876	0.799358447	0.779049939	0.777803718	0.786803246	0.766059713	0.767542205	0.956770202	0.691531676	0.854171402	0.910599799	0.899249047	0.879296169	0.840265575	0.87642018	0.906505299	0.92676807	0.80550663	0.91541984	0.789019584	0.877495539	0.936892448	0.945718522	0.864772353	0.930792375	0.902285743	0.818805182	0.740126947	0.882049476	0.877296302	0.749449079	0.816277516	0.725386059	0.778854669	0.766790737	0.793436084	0.823086766	0.934999727	0.763798177	0.891603357
P11_GT85_III_D	0.870326546	0.806437223	0	0.847278279	0.912636907	0.84020822	0.773979406	0.861721197	0.811700574	0.848709006	0.830885361	0.953375721	0.894283787	0.848767379	0.910589812	0.893878084	0.914277029	0.900734611	0.927490222	0.942140288	0.956109852	0.907923578	0.890437435	0.809674786	0.898998793	0.94068284	0.950920907	0.815963316	0.90669314	0.940750915	0.871213685	0.876672487	0.879163485	0.930198601	0.894275011	0.859727064	0.777658964	0.792920412	0.847566028	0.797569821	0.83577728	0.930916971	0.680346752	0.902536374
P11_GT85_IV_D	0.748538216	0.850080666	0.847278279	0	0.789686276	0.834801276	0.825844791	0.678885532	0.746809894	0.7789252	0.77023823	0.904911992	0.784045542	0.820009849	0.7986515	0.882451713	0.836566581	0.790019373	0.862229852	0.930166516	0.926481902	0.829667337	0.885821274	0.808444024	0.789588509	0.916229716	0.927845773	0.863509164	0.909173685	0.866802755	0.864915376	0.706153414	0.867514547	0.854777955	0.700096192	0.769131883	0.784966066	0.727965788	0.805653245	0.711083598	0.817745274	0.87758646	0.786203174	0.817940195
P11_GT85_V_D	0.765932933	0.847167876	0.912636907	0.789686276	0	0.875351354	0.873864335	0.809725343	0.852531719	0.809850568	0.854917924	0.89769343	0.834864513	0.886305718	0.823845037	0.915281532	0.823496681	0.838074128	0.847324642	0.834016133	0.885533869	0.848995088	0.886167398	0.88214978	0.84280354	0.913538748	0.924458201	0.901659987	0.910523625	0.872606892	0.859452551	0.777486546	0.90547149	0.859562435	0.829276884	0.858918689	0.819608279	0.846007853	0.860306956	0.839673793	0.819844844	0.906820161	0.874132406	0.864418925
P17_BH58_I_D	0.886934346	0.799358447	0.84020822	0.834801276	0.875351354	0	0.633331708	0.807021578	0.760668047	0.809769634	0.77387207	0.869322995	0.856485708	0.833941982	0.899499612	0.887034079	0.937930565	0.84116921	0.910343182	0.888715464	0.923922478	0.841649259	0.847302865	0.797061701	0.880645546	0.918451156	0.927137013	0.85897698	0.925777396	0.930116732	0.930901322	0.895238693	0.868036415	0.927884467	0.890722705	0.794053765	0.819145005	0.754899283	0.784552815	0.722211751	0.778354396	0.905209774	0.739942584	0.875092673
P17_BH58_II_D	0.870157775	0.779049939	0.773979406	0.825844791	0.873864335	0.633331708	0	0.812816348	0.67111201	0.803864497	0.743983317	0.904142941	0.845958222	0.805813035	0.900372942	0.892126654	0.929578871	0.800428143	0.858328894	0.886683261	0.905052506	0.828922773	0.88625542	0.687232222	0.884362532	0.910541213	0.939853471	0.815358164	0.876979086	0.907267934	0.914931347	0.865852555	0.854486357	0.924150655	0.870782757	0.807560676	0.809868958	0.74027359	0.762671656	0.777928271	0.798315305	0.933243282	0.652466184	0.8878592
P17_BH58_III_D	0.789264014	0.777803718	0.861721197	0.678885532	0.809725343	0.807021578	0.812816348	0	0.654474619	0.771249919	0.664161821	0.924326859	0.761289614	0.773928684	0.832958151	0.818901269	0.883408711	0.871910276	0.899428747	0.931066885	0.9139056	0.795689876	0.885394882	0.754159805	0.802275661	0.895455207	0.905113491	0.815843999	0.900448415	0.851498231	0.868180324	0.809134769	0.833525989	0.845370384	0.814940897	0.723216374	0.720183497	0.680257882	0.734625092	0.707202489	0.789681608	0.895240515	0.709923963	0.817177155
P17_BH58_IV_D	0.860302797	0.786803246	0.811700574	0.746809894	0.852531719	0.760668047	0.67111201	0.654474619	0	0.765132685	0.516418221	0.935338819	0.829582465	0.70006404	0.828668758	0.818615997	0.922393015	0.876508687	0.93556465	0.917144882	0.916683603	0.81852894	0.882021624	0.549739109	0.853306778	0.869818095	0.907900797	0.74050287	0.853767118	0.867411952	0.918912269	0.876389672	0.790653413	0.893864429	0.883685587	0.687772528	0.761161483	0.629588458	0.633580789	0.67289584	0.762069367	0.902728124	0.603284378	0.846341637
P17_BH58_V_D	0.889233172	0.766059713	0.848709006	0.7789252	0.809850568	0.809769634	0.803864497	0.771249919	0.765132685	0	0.770653159	0.950341269	0.858298348	0.828475001	0.870478882	0.894486572	0.891973992	0.836291957	0.89375516	0.881581365	0.913105533	0.823010175	0.817681448	0.810318022	0.831196613	0.915719896	0.933808933	0.851495121	0.921827047	0.891128025	0.904993358	0.858448681	0.881508121	0.826206879	0.867589176	0.812978522	0.791772632	0.749783668	0.78387434	0.744692902	0.806488939	0.897862726	0.776479286	0.829775693
