	P17_BH58_I_D	P17_BH58_VI_D	P2_ZM87_I_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_VI_D
P17_BH58_I_D	0	0.77387207	0.937930565	0.841649259	0.847302865	0.85897698	0.925777396	0.895238693	0.868036415	0.754899283
P17_BH58_VI_D	0.77387207	0	0.920444027	0.814630691	0.880217442	0.633234112	0.887694091	0.860293303	0.792122355	0.606237569
P2_ZM87_I_D	0.937930565	0.920444027	0	0.750913239	0.904264591	0.929264032	0.932788059	0.731319702	0.917010431	0.933227504
P2_ZM87_VI_D	0.841649259	0.814630691	0.750913239	0	0.926417569	0.844165719	0.887988571	0.750491764	0.793384772	0.868410529
P30_KM73_I_D	0.847302865	0.880217442	0.904264591	0.926417569	0	0.898651974	0.934833477	0.930833528	0.875189587	0.880763669
P30_KM73_VI_D	0.85897698	0.633234112	0.929264032	0.844165719	0.898651974	0	0.886614953	0.868923129	0.765699707	0.819343977
P36_KJ78_I_D	0.925777396	0.887694091	0.932788059	0.887988571	0.934833477	0.886614953	0	0.909626369	0.849037993	0.90221493
P36_KJ78_VI_D	0.895238693	0.860293303	0.731319702	0.750491764	0.930833528	0.868923129	0.909626369	0	0.882812913	0.885274197
P37_SJ55_I_D	0.868036415	0.792122355	0.917010431	0.793384772	0.875189587	0.765699707	0.849037993	0.882812913	0	0.852859799
P37_SJ55_VI_D	0.754899283	0.606237569	0.933227504	0.868410529	0.880763669	0.819343977	0.90221493	0.885274197	0.852859799	0
