	K11_JV87_I_D	K11_JV87_IV_D	K12_KJ78_I_D	K12_KJ78_IV_D	K16_PP75_I_D	K16_PP75_IV_D	K17_SS75_I_D	K17_SS75_IV_D	K2_NL71_I_D	K2_NL71_IV_D	K20_HO76_I_D	K20_HO76_IV_D	K21_KT86_I_D	K23_JM85_I_D	K27_BA81_II_D	K28_KZ83_I_D	K3_KM78_I_D	K3_KM78_IV_D	K30_SF95_I_D	K32_KS89_I_D	K34_BI96_I_D	K34_BI96_IV_D	K39_DS96_I_D	K4_RR79_I_D	K40_WV86_IV_D	K41_NE90_I_D	K41_NE90_IV_D	K43_KZ94_I_D	K5_JZ92_I_D	K5_JZ92_IV_D	K8_KP79_I_D	K9_KM80_I_D	K9_KM80_IV_D	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
K11_JV87_I_D	0.0	0.06481542832051869	0.23518630180422556	0.23755420486269904	0.3335498642696708	0.23677137230917034	0.07433495282666218	0.13505962089375623	0.07256579642325028	0.07227139863795581	0.07855597391263684	0.11138026532805342	0.4539101387109218	0.2687433808039644	0.22483994168045662	0.11270882987985317	0.1392444056692675	0.1401365680570914	0.37352479603895794	0.2595268120012316	0.19905462795409293	0.061593922767782514	0.0857885701678333	0.34455846564440307	0.21387127215984328	0.2846151960223268	0.4085479208909784	0.3070136633296999	0.3766163575076517	0.23399095459389957	0.19714450814925133	0.0806178198679504	0.09218789809271566	0.06050351161502155	0.08799274991024168	0.27993457291695323	0.29793634934832736	0.2072137679984834	0.2869519596518687	0.29344374780759286	0.301319780192318	0.3292862449304644	0.25662405774486	0.3309792647693273	0.3619418137753582	0.24050463301095082	0.3203898959275139	0.33911238553693457	0.32417827716907777	0.09408609167917295	0.09752347500032765	0.08834725150088943	0.2813312680454025	0.30604948810429505	0.2044929679774922	0.3251616391534755	0.32903199922657067	0.3445055776972048	0.306272025823785	0.2787157506915912	0.2751411978448899	0.30776549665774783	0.2727049778606573	0.06927214848548767	0.08384465223313194	0.26832261677960273	0.2014444534989921	0.14852334792034205	0.29795948795890437	0.23624293576513736	0.29553137797337453	0.32533790652280364	0.33984729613651854	0.3690055105161411	0.37345771615685797	0.3418959785735304	0.33050705575717776
K11_JV87_IV_D	0.06481542832051869	0.0	0.23930559505671772	0.24094752631471347	0.33578766738236354	0.24177455819272395	0.08736512312196926	0.13357898370707594	0.09575049384711834	0.08429501259407148	0.08291230252325815	0.12181441523311182	0.4617189371580879	0.27162719983643513	0.22805836488597458	0.11351873158011251	0.14435225217603537	0.15071145442626765	0.37840537663767326	0.26814740304613643	0.20777930328733613	0.06979265676772986	0.11756925499565168	0.34209428970234956	0.22771357387840743	0.2983497756356512	0.4161946000538681	0.3086372864095205	0.3844606609179125	0.24731514663867465	0.20808259638180174	0.08932682681566587	0.09414185543453646	0.06493008777318916	0.09449112752320175	0.28464115163793363	0.3042960089565238	0.23206254622705727	0.28949570722219636	0.2953510285274812	0.30604931491663256	0.3341501646740714	0.2599191759312436	0.3357774188203775	0.3637294437853246	0.24526333807780581	0.3240677349088127	0.3434903155397624	0.3315948829243907	0.09746608966904277	0.10231675919974359	0.08685331047498535	0.28975073088988235	0.3066571762809848	0.2103945638256921	0.3261366709871528	0.3331446096879734	0.3475433604268565	0.31506653230372206	0.28981905153657656	0.2789598845415942	0.3128832273916917	0.2827338527456263	0.0764280698509922	0.09016840911325408	0.2724427573697779	0.20119091083457935	0.1548734402067984	0.3025083154747984	0.24048775125625085	0.3003547387235578	0.3293562569879863	0.3445710483709251	0.3748029186246117	0.37497394586984756	0.3464541248679102	0.3348265495803986
K12_KJ78_I_D	0.23518630180422556	0.23930559505671772	0.0	0.2827231562499244	0.45644211050704975	0.38554375825635434	0.23343759166159805	0.2850705156992029	0.23546490281353732	0.24344315890293977	0.24266499889386212	0.26562381998790124	0.5234319253100586	0.4212119029422968	0.1900502646969366	0.2386250455163716	0.28217185980258086	0.28683339965527344	0.5294191641932869	0.35672019712129777	0.1988649785064758	0.23127193640568067	0.2531334232077485	0.36970592520620565	0.2992688292840464	0.38878267772216124	0.4582714927662418	0.44691123627106677	0.37721353003648345	0.2180096507866593	0.20417984523020943	0.23136806868611262	0.24496992966190098	0.24625335007348004	0.25325119858309264	0.4347486160625981	0.4425753453973232	0.36325468261007354	0.4376124205305294	0.44359191328285563	0.45062866040500443	0.4795535740171254	0.39942926974230936	0.48377015024608194	0.5111778411656104	0.38981373212903486	0.47330363058645664	0.4774104326497858	0.4408688327232505	0.24327324312494392	0.25052494242039625	0.23882795397704717	0.3906925678208393	0.3680134963360635	0.35258167742391083	0.46884085318865987	0.48309195886692347	0.4887984668363768	0.39227572610535943	0.388555478810357	0.428878259371589	0.46045022402092783	0.3781806110744811	0.24772295232064528	0.25334822353521813	0.4204686312358934	0.33115232860555216	0.30293699660516815	0.44916150307801017	0.3856161179220029	0.4439766466403504	0.4769931946054355	0.48980062451880324	0.517163291851527	0.5111993158272616	0.495527601032682	0.46944041615579235
K12_KJ78_IV_D	0.23755420486269904	0.24094752631471347	0.2827231562499244	0.0	0.34565355735598474	0.2638354479091236	0.21341019997275534	0.22511826025450976	0.23403427145093345	0.239006620110635	0.24320520885869595	0.22732538908397773	0.4175481827716475	0.30066417978334964	0.2931421985748126	0.23136078920208786	0.23778524078605393	0.21958032253277127	0.40751594805842895	0.261601208381972	0.2776531640561644	0.2329146109212827	0.2334141582761298	0.3598194244195677	0.21002758896459484	0.2728970013960452	0.3976598558020402	0.32098851629445985	0.4662405736914388	0.31623082441893186	0.2943336731043773	0.22982505831365047	0.22827707051796656	0.24378549783753006	0.2387634952647417	0.31589344306097067	0.3238645106168189	0.24551014667845789	0.2823997375832834	0.28612931640120365	0.3123379759778471	0.31976379075748307	0.27252407586832034	0.3296064880572015	0.3325066697983964	0.2608089639437793	0.2944961316008108	0.3484490490658528	0.28901550119874153	0.23867732517679047	0.23959601774416134	0.24139965700617705	0.2799416253328714	0.2946948394826538	0.22553098933620946	0.34876106804958096	0.34540090206398183	0.3515301764018011	0.31674414064770423	0.29837453273421927	0.2824762141377525	0.3252287943367402	0.27162262783846153	0.24062301884043047	0.24427829103909904	0.2924436171257644	0.21488198939015768	0.22152392589967052	0.30995464078179613	0.256916567812192	0.2743300272894714	0.3161240377474647	0.3067004287321542	0.39339853026586713	0.3968497450151599	0.37337374889093666	0.34929722559677906
K16_PP75_I_D	0.3335498642696708	0.33578766738236354	0.45644211050704975	0.34565355735598474	0.0	0.18642849372058462	0.31235958801345165	0.25950964855753167	0.33199041659149364	0.30388744131501644	0.36411036091946175	0.2761127858623001	0.33088224213459305	0.19170483905880203	0.4533097805549192	0.32105959328433575	0.2813257230177848	0.24247623010604716	0.17752658866912352	0.3042638156185974	0.4331202026031683	0.329573748848516	0.2868255636210916	0.4497770482503147	0.2913444856968114	0.23608921050426948	0.3839428083699171	0.23177574688469849	0.6115102533351193	0.44689798600455294	0.4601086204388208	0.3013018563990264	0.2882469601669486	0.3230222871367106	0.3006241126466517	0.13349180338174174	0.22051796431230397	0.19112184875331542	0.22953810510056516	0.2187572156223569	0.2234624707507635	0.2369867569124553	0.21511606941183495	0.1679032741431453	0.33614439103188604	0.16960459377377093	0.2758664689434602	0.22054739924736638	0.32016213762713913	0.33715842708349086	0.29052865845448694	0.34534155296746294	0.2565690561684014	0.31250340525632214	0.2277733853067108	0.1433355211743064	0.1530338546257105	0.25818228474055227	0.3744236295177398	0.3607319017233934	0.2646034464192085	0.19566030630650227	0.2919438422691351	0.3141098119351716	0.30590924126087826	0.2259189191692097	0.25885363376429027	0.25887105504222085	0.2676996567425872	0.23912047882951382	0.30407502237518463	0.259583374559726	0.3061175982796578	0.1563678647678494	0.17468281020027218	0.15363625837454237	0.251071191734807
K16_PP75_IV_D	0.23677137230917034	0.24177455819272395	0.38554375825635434	0.2638354479091236	0.18642849372058462	0.0	0.20750606431035973	0.1322382093942382	0.23652894335519759	0.198053338106631	0.26326370704975177	0.1783081401311987	0.31667798159507743	0.1261668623231402	0.37662094414690284	0.19909374561483512	0.15232046297562077	0.13033492322613405	0.2036243412288776	0.21037418685259907	0.34036719070747345	0.23731086797579157	0.18830365014468659	0.3526591152326969	0.20854394759746694	0.15542011536866046	0.3150290009834325	0.14671148058361375	0.5246040659309174	0.36343695388813446	0.3799398398179951	0.21045277194393122	0.1634437285166753	0.2046683396295843	0.16204226752984863	0.11556235683430338	0.12787870501862442	0.08233887276447004	0.13187837978418948	0.1369747640298597	0.12923975024352546	0.17829174953506696	0.09193571776804792	0.15926609251216853	0.30443108902326504	0.08101770213753264	0.20450006973512827	0.1789399315984529	0.25833927008400265	0.24235531712687086	0.18431158499408423	0.2559651958037405	0.17501710139415877	0.22897026903792855	0.12801356665327207	0.16483815962061035	0.16641653823963312	0.19023049794029928	0.3171085428345864	0.30321775995064026	0.17990507499641323	0.17443577986394124	0.23284369767310387	0.20322505917841452	0.1880138708185875	0.14870548714774354	0.14873549743383896	0.12793088025265176	0.17740973516080913	0.09808816069235933	0.19733976748427706	0.18707731576386114	0.22693029067574028	0.1830587081719908	0.1946588314464508	0.1776858957042813	0.1747675254758178
K17_SS75_I_D	0.07433495282666218	0.08736512312196926	0.23343759166159805	0.21341019997275534	0.31235958801345165	0.20750606431035973	0.0	0.10337163907732376	0.08861465393877	0.06890941477654557	0.108355088828191	0.09777524820266126	0.4327474031573982	0.2406490940260948	0.22196675810313504	0.09364568943336904	0.10956280665199324	0.1061754334340479	0.3472618405982689	0.24197672467496628	0.19180691982525389	0.06783738720165108	0.07985115185608502	0.3262494939532069	0.1926886212968006	0.2590605594793997	0.39321298314820713	0.27745510641972626	0.3773123116451794	0.22381239808877057	0.20536096943654508	0.06664185220495956	0.06106920201302473	0.059544521677939985	0.0629383660007142	0.25188257654586466	0.2695222718234616	0.19850022482181054	0.24297790134097455	0.24950628239522102	0.2658983754381576	0.2920705363651231	0.2207471219199141	0.29312207377231503	0.31738057928978486	0.19890558319592394	0.27805316572609795	0.30377958074001266	0.29545863006589074	0.08290529039357084	0.0639430654820374	0.08802925415360732	0.2697404895752551	0.29257947083678115	0.16815216761413493	0.295330102393328	0.2888315275787094	0.30947053061998386	0.27924847840138145	0.25298678554784426	0.23432882651728115	0.27548761566152613	0.25221798559353065	0.05601593265769217	0.05991620272466451	0.23324195482442406	0.1625343030392103	0.10125756491672566	0.2649935435090452	0.20207501416070642	0.2590918826602666	0.2872912221162002	0.3046322178174106	0.3381054436872305	0.34610620925625674	0.3135469126554659	0.2991544307439283
K17_SS75_IV_D	0.13505962089375623	0.13357898370707594	0.2850705156992029	0.22511826025450976	0.25950964855753167	0.1322382093942382	0.10337163907732376	0.0	0.13577620932058024	0.10424000589718639	0.164625108837301	0.07363770349124404	0.38265257929452257	0.17265338096922717	0.2718686363140993	0.12379449252081974	0.07291672193027995	0.05141916402316065	0.2728915256876393	0.19143059019620914	0.24037765743434616	0.132156191458878	0.09007915929994188	0.2732520238014775	0.17358961583039306	0.21737210174216295	0.33836246925028113	0.22228033602480088	0.4226796096096897	0.25964586035097603	0.2747071331977805	0.10386001567761734	0.06190307580550174	0.10263058308075045	0.07201424088361204	0.18112228850836984	0.2075704145311955	0.14629067692329328	0.1816899022617841	0.1868600218957599	0.20019573262747267	0.2314561054160348	0.14945401859394802	0.2266475371412742	0.31384558653388794	0.13865015258065438	0.22159472328866925	0.23917427693968285	0.24952182744235926	0.13824603850667	0.07929278296637593	0.15139762958696662	0.21230296170833718	0.22557343794161927	0.11745375806324763	0.2240160732450775	0.22662048511711363	0.24719758236219555	0.27696966611875995	0.26178304367922967	0.17380296613639962	0.22623758599616883	0.22147907855467538	0.09977072382579759	0.08410625960808558	0.1713915717282886	0.12612302382366666	0.04929975936749393	0.1980379394897252	0.14483797754659575	0.22464228501237127	0.22175825987703243	0.2743108592538301	0.26840170802190605	0.2791223747376738	0.2406035406961748	0.23562763607490256
K2_NL71_I_D	0.07256579642325028	0.09575049384711834	0.23546490281353732	0.23403427145093345	0.33199041659149364	0.23652894335519759	0.08861465393877	0.13577620932058024	0.0	0.06580564928467766	0.10943505114448465	0.1263194006507597	0.4412036493332296	0.2706637698880835	0.21105886761157683	0.11962118956945104	0.13421606379130496	0.13689205612462163	0.3745442873655056	0.25293090696233056	0.19860008751105837	0.07966538788928677	0.10597281356376832	0.3241264634964012	0.20129557484986693	0.2762745817043779	0.3969846059461015	0.307056064515116	0.36088208681578215	0.21645389739168866	0.19234156003861907	0.09053697304970436	0.09458716428356978	0.08609303763933009	0.09527707169199334	0.2822594723040106	0.29791359415090074	0.22732084139356729	0.2885059555105697	0.29179253746839673	0.3001158211887527	0.32852100252159555	0.2518322004014742	0.3309409046508325	0.36383625463202274	0.2439187833747274	0.31986112122937616	0.3389728860801024	0.3139686477635855	0.09302613753887462	0.09849490787045473	0.09084211657423526	0.2720154668286371	0.2947371492841335	0.20311466477646412	0.3245975598933758	0.33018403647579553	0.34326552838189217	0.2956442281500955	0.2695364305330954	0.27657805088987597	0.30853464781421536	0.2636040973023869	0.08775321350890554	0.08980238123334401	0.2681788293427183	0.19879107820869907	0.15327457939596761	0.29851500349287846	0.23805048150186126	0.29597686874180107	0.32476408707849064	0.339613475300205	0.3699781564248955	0.37105710960769855	0.3441091566119535	0.328688291924351
K2_NL71_IV_D	0.07227139863795581	0.08429501259407148	0.24344315890293977	0.239006620110635	0.30388744131501644	0.198053338106631	0.06890941477654557	0.10424000589718639	0.06580564928467766	0.0	0.11020738273070844	0.11086369551105098	0.439611308878123	0.24224232476645852	0.21474211331366755	0.09128429858530038	0.09342684124854062	0.11107383764473	0.3439007369965259	0.2545023651010895	0.2052218053423724	0.0841344637473047	0.09156872550089898	0.3256791461241628	0.19448870918674993	0.27071198334792856	0.3937376927313106	0.27402694839774866	0.37292164979359244	0.23030305077585705	0.214500694121424	0.07193099115511395	0.06572372783252485	0.05542741306240204	0.06518224562547217	0.2529211226298601	0.26120508976589857	0.19575708792655536	0.2582268432386808	0.25609864337895105	0.2634559556611533	0.2964160648408649	0.216622407142174	0.2991127669217347	0.33571354194137737	0.2116138176192294	0.28974247865419095	0.30420134495247986	0.31072234805989307	0.08334451092884063	0.05784544591231014	0.08938058032856848	0.2689494709779129	0.292314588843239	0.17906789929420902	0.2927896733826443	0.2992781163998995	0.3077419490964781	0.2928370095536754	0.267958733657366	0.24555143938508356	0.2876346751727282	0.2593560366593324	0.060920315441468934	0.055257751053085225	0.23878480539612243	0.16444514589713777	0.11755315846228351	0.2693252165571133	0.20837637371397422	0.26668199428426514	0.29112776285753666	0.30505791724325193	0.33320604434800016	0.3377587395463815	0.3127345090141681	0.2947560184522945
