	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P11_GT85_I_D	0	0.056744952	0.246331809	0.264353603	0.207664172	0.253214415	0.260845456	0.268289276	0.299057096	0.226027363	0.29781882	0.330273021	0.206332537	0.284887952	0.306877173	0.31215283	0.079530585	0.068090929	0.075619491	0.281917653	0.302863013	0.1833085	0.292090353	0.293856967	0.313050991	0.297992911	0.269886475	0.238964862	0.288066507	0.258015564	0.041553518	0.042882978	0.236050632	0.174280076	0.108041174	0.264733526	0.202232923	0.265326127	0.291728814	0.308644299	0.337495761	0.345769668	0.307510436	0.299845239
P11_GT85_II_D	0.056744952	0	0.208954135	0.225766713	0.1845616	0.214200565	0.228635265	0.228472325	0.270594644	0.188130306	0.259074603	0.328591742	0.173830076	0.25811097	0.277062411	0.28949126	0.102953317	0.049413292	0.10878418	0.256613311	0.278471636	0.161358983	0.2635488	0.260948547	0.271901561	0.283676023	0.258122834	0.211571894	0.267077629	0.245442646	0.053638962	0.040803581	0.212003737	0.153122057	0.08359584	0.226847726	0.162185981	0.222741342	0.258000763	0.277393737	0.29793886	0.315203475	0.272013083	0.256908242
P11_GT85_III_D	0.246331809	0.208954135	0	0.155497496	0.148503951	0.150165207	0.152157884	0.187992596	0.187156801	0.15902485	0.094658566	0.278472353	0.083002044	0.217679428	0.176860408	0.283128546	0.285919335	0.226160372	0.297180117	0.202250478	0.262882557	0.167550486	0.076013219	0.082035256	0.233015989	0.345661637	0.327849813	0.203851109	0.153186138	0.270608596	0.244415884	0.229482091	0.17287564	0.209808059	0.173414328	0.200455557	0.140938017	0.228766917	0.1994475	0.248861671	0.111350549	0.170429216	0.07601893	0.219327285
P11_GT85_IV_D	0.264353603	0.225766713	0.155497496	0	0.161779573	0.180052232	0.176955328	0.142027161	0.199007535	0.128802267	0.186367612	0.304402266	0.151968205	0.23183739	0.151063741	0.297112484	0.299644304	0.248881636	0.317036265	0.258472512	0.296455583	0.190962024	0.193966678	0.19597365	0.184077233	0.34414418	0.332635566	0.224656433	0.218739372	0.233778048	0.266819033	0.250174994	0.201007625	0.196601213	0.200316642	0.197298276	0.148574755	0.213408775	0.215533894	0.222615935	0.206805881	0.181531591	0.205926833	0.156785104
P11_GT85_V_D	0.207664172	0.1845616	0.148503951	0.161779573	0	0.1521458	0.156651568	0.162588299	0.182930847	0.11996164	0.182398948	0.301408485	0.095502808	0.212819093	0.183420286	0.250159065	0.226003092	0.177798187	0.239630847	0.154053387	0.213552744	0.118151099	0.184458661	0.185268007	0.218519949	0.305174614	0.291221724	0.193493471	0.168581654	0.221092636	0.207272588	0.193069578	0.155402225	0.134562845	0.139415141	0.193770964	0.114298168	0.218547865	0.202726139	0.253283289	0.20745731	0.213497974	0.205549638	0.207462391
P17_BH58_I_D	0.253214415	0.214200565	0.150165207	0.180052232	0.1521458	0	0.04565858	0.177056548	0.125257543	0.153384788	0.149856479	0.192325956	0.109552031	0.11525368	0.185902395	0.243416854	0.283444302	0.225987265	0.29866824	0.213263689	0.255751076	0.151777558	0.178965542	0.163237075	0.231075079	0.323439533	0.30114763	0.146844057	0.181552529	0.260692829	0.251803767	0.236165421	0.167136646	0.199803424	0.159378121	0.185385158	0.14896155	0.194056133	0.101792548	0.169798088	0.218747826	0.240836307	0.192329189	0.224656185
P17_BH58_II_D	0.260845456	0.228635265	0.152157884	0.176955328	0.156651568	0.04565858	0	0.175586719	0.119002331	0.147624432	0.153153547	0.202235036	0.119399711	0.115066717	0.18316114	0.245735703	0.288748585	0.231740766	0.304100954	0.213668554	0.250800174	0.148476371	0.176037044	0.164074935	0.230157115	0.321023138	0.304633562	0.15074589	0.180595238	0.255965724	0.258870869	0.243005072	0.170248955	0.19839547	0.168994943	0.195302391	0.163105431	0.201088084	0.100042792	0.172111253	0.218339886	0.241680234	0.195758652	0.226674169
P17_BH58_III_D	0.268289276	0.228472325	0.187992596	0.142027161	0.162588299	0.177056548	0.175586719	0	0.163397211	0.089554366	0.176370042	0.311524991	0.160755704	0.195773534	0.159352551	0.246473176	0.299664529	0.248446405	0.317758462	0.268558665	0.285797984	0.166417859	0.198618497	0.186668437	0.113324403	0.307343065	0.296840044	0.181330769	0.203287524	0.224037578	0.268749937	0.251404596	0.17451617	0.18665717	0.187952012	0.163271929	0.169593259	0.176340021	0.182397561	0.195986599	0.210214493	0.196265259	0.207367026	0.11370208
P17_BH58_IV_D	0.299057096	0.270594644	0.187156801	0.199007535	0.182930847	0.125257543	0.119002331	0.163397211	0	0.163107901	0.105945367	0.260101734	0.161014915	0.09788386	0.156294642	0.183019078	0.326407376	0.275456703	0.345915252	0.262221468	0.292640023	0.177047184	0.156075549	0.117893637	0.206409702	0.259721536	0.252212834	0.105266739	0.126444259	0.225592113	0.29680337	0.28129863	0.104588213	0.220769642	0.216466007	0.136338416	0.193800006	0.191314403	0.080447522	0.167757476	0.20410626	0.223251966	0.159223708	0.217493229
P17_BH58_V_D	0.226027363	0.188130306	0.15902485	0.128802267	0.11996164	0.153384788	0.147624432	0.089554366	0.163107901	0	0.175452345	0.300350884	0.124691945	0.187002375	0.159697957	0.233687281	0.255693186	0.20106362	0.271302414	0.217630005	0.232979882	0.124823754	0.182749643	0.182719242	0.145169084	0.288894661	0.278317331	0.161450792	0.186333948	0.193627667	0.222976498	0.20701553	0.151832801	0.130428655	0.145172816	0.155226973	0.134929012	0.171571082	0.170123255	0.203699629	0.203291706	0.193444158	0.202155716	0.136481257
