	P17_BH58_I_D	P17_BH58_VI_D	P2_ZM87_I_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_VI_D
P17_BH58_I_D	0	0.149856479	0.283444302	0.151777558	0.178965542	0.146844057	0.181552529	0.236165421	0.167136646	0.194056133
P17_BH58_VI_D	0.149856479	0	0.329739601	0.180770731	0.074760172	0.134921518	0.101701723	0.279057359	0.125440707	0.201289789
P2_ZM87_I_D	0.283444302	0.329739601	0	0.194411095	0.327828441	0.271586857	0.303067441	0.080676467	0.264425292	0.295604089
P2_ZM87_VI_D	0.151777558	0.180770731	0.194411095	0	0.189279336	0.138649213	0.165848443	0.162056777	0.120624202	0.193786912
P30_KM73_I_D	0.178965542	0.074760172	0.327828441	0.189279336	0	0.174299809	0.12423304	0.275127231	0.142008946	0.242090162
P30_KM73_VI_D	0.146844057	0.134921518	0.271586857	0.138649213	0.174299809	0	0.143368567	0.220241583	0.069885205	0.191330748
P36_KJ78_I_D	0.181552529	0.101701723	0.303067441	0.165848443	0.12423304	0.143368567	0	0.269960617	0.097827966	0.230568887
P36_KJ78_VI_D	0.236165421	0.279057359	0.080676467	0.162056777	0.275127231	0.220241583	0.269960617	0	0.217371717	0.248611895
P37_SJ55_I_D	0.167136646	0.125440707	0.264425292	0.120624202	0.142008946	0.069885205	0.097827966	0.217371717	0	0.201048536
P37_SJ55_VI_D	0.194056133	0.201289789	0.295604089	0.193786912	0.242090162	0.191330748	0.230568887	0.248611895	0.201048536	0
