	11_GT_1	11_GT_2	11_GT_4	11_GT_5	11_GT_6	17_BH_1	17_BH_2	17_BH_3	17_BH_4	17_BH_5	17_BH_6	18_SJ_1	18_SJ_2	18_SJ_3	18_SJ_4	18_SJ_5	2_ZM_1	2_ZM_2	2_ZM_3	2_ZM_4	2_ZM_5	2_ZM_6	30_KM_2	30_KM_3	30_KM_4	30_KM_5	30_KM_6	35_AJ_1	35_AJ_2	35_AJ_3	36_KJ_1	36_KJ_2	36_KJ_3	36_KJ_4	36_KJ_5	36_KJ_6	37_SJ_1	37_SJ_2	37_SJ_3	37_SJ_4	37_SJ_5	37_SJ_6	43_BR_1	43_BR_2	43_BR_3	58_NJ_1	58_NJ_2	58_NJ_3	58_NJ_4	58_NJ_5	58_NJ_6	8_LV_1	8_LV_2	8_LV_3	8_LV_4	8_LV_5	8_LV_6	K10_1	K10_4	K11_1	K12_M78_1	K13_1	k14_1	K15_1	K15_4	K16_Z75_1	K17_1	K18_Z93_1	K19_1	K2_1	K2_4	K20_1	K21_1	K22_1	K23_1	K24_1	K25_1	K27_1	K3_M78_1	K30_M95_1	K31_1	K31_4	K32_1	K33_M78_1	K34_Z96_1	K35_M99_1	K36_1	K37_Z82_1	K38_1	K39_1	K4_Z79_1	K40_1	K41_1	K42_Z92_1	K43_1	K5_Z92_1	K6_M84_1	K7_Z80_1	K8_Z79_1	K9_1
11_GT_1	0.0	0.7845169430425378	0.8125450612833454	0.8721160778658976	0.964942321557318	0.9510634462869503	0.9560201874549387	0.681957462148522	0.9783705839942322	0.8457101658255227	0.8000180245133381	0.9334895457822638	0.992519826964672	0.9708002883922134	0.9831470800288392	0.9864816149963951	0.9744051910598414	0.8502162941600577	0.9641312184571017	0.9598954578226387	0.9494412400865176	0.9307858687815429	0.9854902667627974	0.9683669790915646	0.9819754866618601	0.9807137707281903	0.9799026676279741	0.9696286950252343	0.9428622927180966	0.82732516222062	0.9869322278298486	0.9857606344628695	0.9790014419610671	0.9855803893294881	0.9808940158615718	0.988914924297044	0.9447548666186013	0.94844989185292	0.9714311463590483	0.9538572458543619	0.915465032444124	0.9458363374188897	0.9857606344628695	0.9841384282624369	0.8895097332372026	0.9748558038932948	0.88788752703677	0.8868060562364816	0.9311463590483057	0.9433129055515501	0.9663842826243692	0.9702595529920692	0.9872025955299207	0.9726928622927181	0.984408795962509	0.9796322999279019	0.8321016582552271	0.992519826964672	0.9927000720980533	0.989185291997116	0.9994592645998558	0.9736842105263158	0.9877433309300648	0.9908074981975487	0.9843186733958184	0.9899062725306417	0.992519826964672	0.995493871665465	0.9876532083633742	0.9899062725306417	0.9687274693583273	0.9907173756308579	0.9969358327325162	0.9860310021629416	0.9786409516943042	0.9892754145638067	0.9311463590483057	0.988013698630137	0.992790194664744	0.9961247296322999	0.9936012977649603	0.9850396539293439	0.9961247296322999	0.9971160778658976	0.9851297764960346	0.9904470079307859	0.9883741888968998	0.9941420331651045	0.9855803893294881	0.982606344628695	0.9917087238644556	0.98711247296323	0.9776496034607065	0.976027397260274	0.9759372746935833	0.9941420331651045	0.985310021629416	0.9974765681326604	0.9947728911319395	0.9249279019466474
11_GT_2	0.7845169430425378	0.0	0.7762256669069935	0.5821917808219178	0.6827685652487383	0.9581831290555155	0.9451153568853641	0.9073540014419611	0.9645818312905552	0.9169069935111752	0.9288932948810382	0.9087058399423216	0.9464671953857245	0.9246575342465754	0.9329488103821196	0.9593547224224946	0.9609769286229272	0.9019466474405191	0.9026676279740447	0.9336697909156453	0.9330389329488104	0.9096070656092285	0.9759372746935833	0.9462869502523432	0.8983417447728911	0.9516943042537851	0.9441240086517664	0.9413302090843547	0.9316870944484499	0.8446286950252343	0.968817591925018	0.9361031002162942	0.9169069935111752	0.9098774333093006	0.8934751261715934	0.9831470800288392	0.9680064888248018	0.9500720980533526	0.9699891852919971	0.9315969718817592	0.9059120403749099	0.940338860850757	0.9726027397260274	0.9709805335255948	0.928352559480894	0.9790014419610671	0.9176279740447008	0.929253785147801	0.9149242970439798	0.9186193222782985	0.8969899062725306	0.9537671232876712	0.9782804614275414	0.9605263157894737	0.9740447007930786	0.9698990627253065	0.9080749819754866	0.9372746935832732	0.969718817591925	0.9744953136265321	0.9836878154289834	0.9571917808219178	0.9851297764960346	0.9842285508291276	0.9764780100937275	0.9458363374188897	0.9877433309300648	0.9902667627974044	0.9642213410237923	0.9927000720980533	0.9797224224945926	0.9766582552271089	0.9863914924297044	0.9671953857245854	0.9824260994953137	0.9816149963950973	0.9433129055515501	0.9585436193222783	0.980803893294881	0.9738644556596971	0.9734138428262437	0.9723323720259553	0.9917087238644556	0.9867519826964672	0.9479091564527757	0.9857606344628695	0.983507570295602	0.9792718096611391	0.9464671953857245	0.9735940879596251	0.9856705118961788	0.9635904830569575	0.9575522710886806	0.9562905551550108	0.9734138428262437	0.9625090122566691	0.9570115356885364	0.9851297764960346	0.9894556596971882	0.9129416005767844
11_GT_4	0.8125450612833454	0.7762256669069935	0.0	0.6119322278298486	0.7267483777937995	0.9644917087238645	0.9376351838500361	0.8945565969718817	0.9842285508291276	0.7567591925018025	0.9318673395818313	0.8258832011535688	0.9036589762076424	0.9257390050468637	0.8751802451333814	0.964041095890411	0.9725126171593367	0.9413302090843547	0.9750360490266763	0.9650324441240087	0.9571917808219178	0.8714852198990627	0.9854902667627974	0.9642213410237923	0.9824260994953137	0.9863013698630136	0.9841384282624369	0.9779199711607787	0.9777397260273972	0.8865356885364095	0.9815248738284066	0.935832732516222	0.9213229992790195	0.9485400144196107	0.9386265320836338	0.9961247296322999	0.976297764960346	0.9552992069214131	0.9735039653929344	0.9389870223503965	0.8765320836337419	0.9574621485219899	0.9788211968276856	0.9750360490266763	0.8966294160057678	0.9799026676279741	0.798576063446287	0.8043439077144917	0.9169069935111752	0.931056236481615	0.9463770728190339	0.9671052631578947	0.9851297764960346	0.9650324441240087	0.9800829127613554	0.9794520547945206	0.9477289113193944	0.9909877433309301	0.9929704397981255	0.9949531362653208	0.9951333813987022	0.9705299206921413	0.9784607065609229	0.9970259552992069	0.9912581110310021	0.9866618601297765	0.9937815428983418	0.9963049747656814	0.988914924297044	0.9954037490987744	0.9850396539293439	0.989816149963951	0.9955839942321557	0.9876532083633742	0.996395097332372	0.9873828406633021	0.9613374188896899	0.9811643835616438	0.9968457101658256	0.988013698630137	0.9905371304974766	0.9819754866618601	0.9929704397981255	0.9937815428983418	0.9792718096611391	0.9933309300648883	0.9844989185291997	0.993691420331651	0.9856705118961788	0.9847692862292718	0.9945025234318673	0.9813446286950253	0.9861211247296323	0.9858507570295602	0.9832372025955299	0.9947728911319395	0.9765681326604182	0.9953136265320837	0.9966654650324441	0.9170872386445565
11_GT_5	0.8721160778658976	0.5821917808219178	0.6119322278298486	0.0	0.49224945926459984	0.9730533525594809	0.9381759192501803	0.9139329488103821	0.964942321557318	0.8586878154289834	0.9385364095169431	0.8288572458543619	0.8983417447728911	0.9189798125450613	0.8609408795962509	0.9576423936553713	0.9677361211247296	0.9334895457822638	0.9192501802451334	0.9374549387166546	0.9565609228550829	0.8722963229992791	0.9744953136265321	0.9505227108868061	0.910057678442682	0.9571917808219178	0.9481795241528479	0.9596250901225667	0.9543979812545061	0.9545782263878875	0.9692682047584715	0.9240266762797404	0.9018565248738284	0.9050108147080029	0.8781542898341744	0.9781002162941601	0.9948630136986302	0.9879235760634463	0.9885544340302812	0.9798125450612833	0.9978370583994232	0.9758471521268925	0.9820656092285508	0.97422494592646	0.876802451333814	0.9837779379956741	0.8003785147801009	0.852829848594088	0.9041997116077866	0.9147440519105984	0.8958183129055516	0.9618781542898341	0.983507570295602	0.9616979091564528	0.9758471521268925	0.9753965392934391	0.9441240086517664	0.9387166546503244	0.9682768565248738	0.9766582552271089	0.981705118961788	0.9689077144917088	0.9848594087959625	0.9899062725306417	0.9786409516943042	0.9491708723864456	0.9863914924297044	0.9914383561643836	0.9841384282624369	0.9981074260994953	0.9883741888968998	0.9822458543619322	0.9879235760634463	0.9761175198269647	0.9849495313626532	0.9896359048305696	0.9660237923576064	0.9602559480894016	0.9846791636625811	0.9767483777937995	0.9766582552271089	0.981434751261716	0.993421052631579	0.988284066330209	0.9567411679884643	0.9918889689978371	0.982335976928623	0.980803893294881	0.9512436914203316	0.9804434030281183	0.9894556596971882	0.9684571016582553	0.9576423936553713	0.9627793799567411	0.9895457822638789	0.9670151405912041	0.9726027397260274	0.9885544340302812	0.9901766402307137	0.8876171593366979
11_GT_6	0.964942321557318	0.6827685652487383	0.7267483777937995	0.49224945926459984	0.0	0.9807137707281903	0.9603460706560922	0.9551189617880317	0.9659336697909157	0.9503424657534246	0.9716113914924297	0.8458904109589042	0.8795962509012256	0.9216834895457823	0.8740086517664023	0.9452956020187455	0.9554794520547946	0.9006849315068494	0.9117700072098054	0.9135724585436193	0.9717916366258111	0.8777937995674117	0.946917808219178	0.9535868781542899	0.9103280461427542	0.9635003604902668	0.9594448449891853	0.9570115356885364	0.9543979812545061	0.988013698630137	0.9731434751261716	0.9277217015140591	0.9133020908435472	0.9148341744772891	0.874098774333093	0.982335976928623	0.9929704397981255	0.9877433309300648	0.9874729632299928	0.9799026676279741	0.9947728911319395	0.9803532804614276	0.9718817591925017	0.952956020187455	0.9151946647440519	0.9846791636625811	0.8846431146359048	0.9370944484498919	0.9173576063446287	0.9294340302811824	0.8741888968997837	0.9588139870223504	0.9809841384282625	0.9565609228550829	0.9672855082912761	0.9644917087238645	0.9493511175198269	0.9362833453496756	0.9689077144917088	0.9567411679884643	0.9770187454938717	0.9733237202595529	0.9799026676279741	0.9867519826964672	0.9831470800288392	0.94844989185292	0.9910778658976208	0.9800829127613554	0.983507570295602	0.9899062725306417	0.9894556596971882	0.9834174477289113	0.9819754866618601	0.9746755587599135	0.9747656813266041	0.9776496034607065	0.9727829848594088	0.9545782263878875	0.9801730353280461	0.9746755587599135	0.9753064167267483	0.9824260994953137	0.9847692862292718	0.9858507570295602	0.9552090843547224	0.9848594087959625	0.97422494592646	0.9673756308579669	0.9505227108868061	0.9826964671953857	0.9906272530641672	0.9560201874549387	0.9548485940879596	0.9606164383561644	0.989185291997116	0.9619682768565249	0.9734138428262437	0.9812545061283345	0.9738644556596971	0.9410598413842827
17_BH_1	0.9510634462869503	0.9581831290555155	0.9644917087238645	0.9730533525594809	0.9807137707281903	0.0	0.6255407354001442	0.5355082912761355	0.9062725306416727	0.9361031002162942	0.5169430425378515	0.8505767844268205	0.8729271809661139	0.8289473684210527	0.8505767844268205	0.910688536409517	0.8703136265320837	0.9225847152126893	0.9757570295602018	0.9290735400144197	0.9279019466474405	0.908886085075703	0.8551730353280461	0.9042898341744773	0.9167267483777938	0.934661139149243	0.951423936553713	0.930155010814708	0.9062725306416727	0.9672855082912761	0.960436193222783	0.9614275414563807	0.9674657534246576	0.9713410237923576	0.9801730353280461	0.9194304253785148	0.9593547224224946	0.9231254506128335	0.9546683489545782	0.9508832011535688	0.9441240086517664	0.9354722422494592	0.9516041816870945	0.9156452775775054	0.9216834895457823	0.9743150684931506	0.9197909156452776	0.910057678442682	0.8697728911319395	0.8985219899062725	0.9058219178082192	0.902577505407354	0.9442141312184571	0.8982516222062005	0.915465032444124	0.8583273251622207	0.9042898341744773	0.9069935111751982	0.9647620764239365	0.9695385724585436	0.8911319394376351	0.9440338860850757	0.9053713049747657	0.9679163662581111	0.9528658976207642	0.9470980533525595	0.8628334534967556	0.9062725306416727	0.9418709444844989	0.952956020187455	0.9316870944484499	0.9491708723864456	0.9344808940158615	0.9550288392213411	0.9757570295602018	0.9471881759192502	0.8736481614996395	0.9367339581831291	0.9249279019466474	0.9460165825522711	0.8521088680605624	0.8458002883922134	0.9309661139149243	0.9515140591204038	0.8768925739005047	0.923846431146359	0.8891492429704398	0.9320475847152127	0.8798666186012978	0.963410237923576	0.9206921413121846	0.9069935111751982	0.9224945926459985	0.8914023071377073	0.8640050468637347	0.956831290555155	0.93943763518385	0.939167267483778	0.976027397260274	0.8840122566690699
17_BH_2	0.9560201874549387	0.9451153568853641	0.9376351838500361	0.9381759192501803	0.9603460706560922	0.6255407354001442	0.0	0.6923215573179524	0.9121304974765682	0.9282624369142033	0.6906993511175198	0.8802271088680605	0.8877072819033887	0.8821196827685652	0.8902307137707282	0.9364635904830569	0.8782444124008651	0.9473684210526315	0.9698089401586157	0.9108687815428983	0.8984318673395818	0.8784246575342466	0.9547584715212689	0.8678803172314348	0.8813987022350397	0.9152847873107426	0.9246575342465754	0.9467375630857967	0.9251982696467196	0.9725126171593367	0.9278118240807498	0.9589942321557318	0.9556596971881759	0.9714311463590483	0.9733237202595529	0.9287130497476568	0.9608868060562364	0.9194304253785148	0.9621485219899063	0.9472782984859409	0.9490807498197549	0.9270908435472243	0.8587779379956741	0.8838320115356886	0.8504866618601298	0.9501622206200433	0.8347152126892574	0.8054253785147801	0.7433309300648883	0.7627974044700793	0.791366258111031	0.8722062004325883	0.9389870223503965	0.8873467916366258	0.9177180966113915	0.8654470079307859	0.8836517664023071	0.8954578226387887	0.9416906993511175	0.9632299927901946	0.9713410237923576	0.9396178803172315	0.8611211247296323	0.9549387166546504	0.9493511175198269	0.9584534967555876	0.8634643114635905	0.9218637346791637	0.9382660418168709	0.9563806777217015	0.9146539293439078	0.9359228550829127	0.923576063446287	0.9494412400865176	0.9684571016582553	0.8530100937274694	0.8387707281903388	0.9379055515501081	0.9597152126892574	0.9440338860850757	0.8343547224224946	0.8666186012977649	0.9245674116798847	0.93556236481615	0.9193403028118241	0.9464671953857245	0.9442141312184571	0.9451153568853641	0.9521449170872387	0.9749459264599856	0.9343907714491708	0.908886085075703	0.931056236481615	0.9180785868781542	0.8885183850036049	0.9486301369863014	0.956831290555155	0.9381759192501803	0.9690879596250901	0.9320475847152127
17_BH_3	0.681957462148522	0.9073540014419611	0.8945565969718817	0.9139329488103821	0.9551189617880317	0.5355082912761355	0.6923215573179524	0.0	0.9352919971160779	0.8653568853640952	0.4166366258111031	0.8191240086517664	0.8486842105263158	0.8532804614275414	0.8588680605623649	0.9327685652487383	0.880677721701514	0.9315969718817592	0.9816149963950973	0.9515140591204038	0.9660237923576064	0.8930245133381399	0.9747656813266041	0.9354722422494592	0.9406092285508292	0.9689077144917088	0.9662040374909877	0.9563806777217015	0.9224945926459985	0.9794520547945206	0.9753064167267483	0.9821557317952415	0.9785508291276136	0.9860310021629416	0.981434751261716	0.9599855803893295	0.9662941600576784	0.9455659697188176	0.9781903388608507	0.9726027397260274	0.952956020187455	0.9426820475847152	0.9581831290555155	0.9470980533525595	0.8996935832732517	0.972422494592646	0.8791456380677721	0.8819394376351839	0.847422494592646	0.8866258111031002	0.9186193222782985	0.9130317231434751	0.9554794520547946	0.9116798846431147	0.9397981254506128	0.8856344628695025	0.8448089401586157	0.9645818312905552	0.97422494592646	0.9759372746935833	0.982335976928623	0.9610670511896179	0.923846431146359	0.9683669790915646	0.9553893294881038	0.9726928622927181	0.9838680605623649	0.9707101658255227	0.9512436914203316	0.9797224224945926	0.9564708002883923	0.9685472242249459	0.9416005767844268	0.9633201153568853	0.9801730353280461	0.9680064888248018	0.9069935111751982	0.9561103100216294	0.9797224224945926	0.9518745493871665	0.8667988464311464	0.8410237923576064	0.9470980533525595	0.9496214852198991	0.964311463590483	0.9768385003604902	0.951423936553713	0.9764780100937275	0.9608868060562364	0.9832372025955299	0.9630497476568133	0.9508832011535688	0.9449351117519827	0.9210526315789473	0.9215032444124008	0.9768385003604902	0.9726027397260274	0.9672855082912761	0.9899963950973324	0.9014059120403749
17_BH_4	0.9783705839942322	0.9645818312905552	0.9842285508291276	0.964942321557318	0.9659336697909157	0.9062725306416727	0.9121304974765682	0.9352919971160779	0.0	0.8885183850036049	0.9269105984138428	0.9096070656092285	0.9083453496755588	0.8891492429704398	0.912761355443403	0.9041997116077866	0.898071377072819	0.969448449891853	0.9534066330209084	0.8374188896899784	0.943042537851478	0.9477289113193944	0.8450793078586878	0.785688536409517	0.7945205479452054	0.773972602739726	0.7912761355443403	0.917267483777938	0.9096971881759193	0.9890951694304254	0.8297584715212689	0.8375991348233598	0.830930064888248	0.8476027397260274	0.8715753424657534	0.7989365537130497	0.9299747656813266	0.8741888968997837	0.8962689257390051	0.9141131939437636	0.9258291276135544	0.9108687815428983	0.9433129055515501	0.9133020908435472	0.9452054794520548	0.9799927901946648	0.9584534967555876	0.9545782263878875	0.9434030281182408	0.929253785147801	0.9243871665465032	0.9096971881759193	0.9251982696467196	0.9237563085796684	0.944844989185292	0.9206921413121846	0.9017664023071377	0.8571557317952415	0.8927541456380678	0.9237563085796684	0.9032984859408796	0.875901225666907	0.806056236481615	0.9246575342465754	0.8838320115356886	0.9314167267483778	0.8408435472242249	0.9141131939437636	0.885814708002884	0.9224044700793078	0.8773431867339582	0.9332191780821918	0.8910418168709445	0.9397981254506128	0.9156452775775054	0.9605263157894737	0.8647260273972602	0.8368781542898341	0.8958183129055516	0.9542177361211247	0.8385003604902668	0.8983417447728911	0.9161860129776496	0.8946467195385724	0.903478731074261	0.888788752703677	0.8063266041816871	0.8968096611391493	0.8605803893294881	0.9452054794520548	0.9423215573179524	0.8357065609228551	0.919069935111752	0.7826243691420331	0.8283165104542177	0.8976207642393655	0.9066330209084354	0.8975306416726748	0.9334895457822638	0.8976207642393655
17_BH_5	0.8457101658255227	0.9169069935111752	0.7567591925018025	0.8586878154289834	0.9503424657534246	0.9361031002162942	0.9282624369142033	0.8653568853640952	0.8885183850036049	0.0	0.8825702956020187	0.7415284787310743	0.7983958183129055	0.8607606344628695	0.8325522710886806	0.9142033165104542	0.9195205479452054	0.9352018745493872	0.9464671953857245	0.9036589762076424	0.9538572458543619	0.9365537130497477	0.9200612833453496	0.8950072098053352	0.8985219899062725	0.9254686373467916	0.9233056957462149	0.9441240086517664	0.9368240807498197	0.9598053352559481	0.9279019466474405	0.9324080749819755	0.9252883922134102	0.9329488103821196	0.9326784426820476	0.9016762797404471	0.9445746214852199	0.92655010814708	0.9456560922855083	0.9269105984138428	0.9530461427541457	0.9251982696467196	0.8668889689978371	0.8791456380677721	0.7591925018024513	0.9594448449891853	0.785057678442682	0.7783886085075703	0.8931146359048305	0.9032083633741889	0.9209625090122566	0.9380857966834896	0.9461968276856525	0.9390771449170873	0.956831290555155	0.910688536409517	0.9011355443403029	0.9500720980533526	0.9376351838500361	0.9607065609228551	0.957732516222062	0.9575522710886806	0.9031182408074983	0.9704397981254506	0.9545782263878875	0.9717015140591204	0.9418709444844989	0.9619682768565249	0.9531362653208363	0.9710706560922855	0.9620583994232156	0.975126171593367	0.9401586157173756	0.971521268925739	0.9552992069214131	0.9737743330930065	0.9173576063446287	0.959534967555876	0.9051910598413843	0.981705118961788	0.9373648161499639	0.9221341023792358	0.9423215573179524	0.951423936553713	0.9708904109589042	0.9639509733237203	0.9101478010093728	0.9616077865897621	0.9304253785147801	0.9731434751261716	0.9486301369863014	0.9461067051189618	0.9524152847873107	0.9119502523431867	0.9170872386445565	0.9472782984859409	0.9738644556596971	0.963410237923576	0.930155010814708	0.8787851478010094
