	11_GT_1	11_GT_2	11_GT_4	11_GT_5	11_GT_6	17_BH_1	17_BH_2	17_BH_3	17_BH_4	17_BH_5	17_BH_6	18_SJ_1	18_SJ_2	18_SJ_3	18_SJ_4	18_SJ_5	2_ZM_1	2_ZM_2	2_ZM_3	2_ZM_4	2_ZM_5	2_ZM_6	30_KM_2	30_KM_3	30_KM_4	30_KM_5	30_KM_6	35_AJ_1	35_AJ_2	35_AJ_3	36_KJ_1	36_KJ_2	36_KJ_3	36_KJ_4	36_KJ_5	36_KJ_6	37_SJ_1	37_SJ_2	37_SJ_3	37_SJ_4	37_SJ_5	37_SJ_6	43_BR_1	43_BR_2	43_BR_3	58_NJ_1	58_NJ_2	58_NJ_3	58_NJ_4	58_NJ_5	58_NJ_6	8_LV_1	8_LV_2	8_LV_3	8_LV_4	8_LV_5	8_LV_6	K10_1	K10_4	K11_1	K12_M78_1	K13_1	k14_1	K15_1	K15_4	K16_Z75_1	K17_1	K18_Z93_1	K19_1	K2_1	K2_4	K20_1	K21_1	K22_1	K23_1	K24_1	K25_1	K27_1	K3_M78_1	K30_M95_1	K31_1	K31_4	K32_1	K33_M78_1	K34_Z96_1	K35_M99_1	K36_1	K37_Z82_1	K38_1	K39_1	K4_Z79_1	K40_1	K41_1	K42_Z92_1	K43_1	K5_Z92_1	K6_M84_1	K7_Z80_1	K8_Z79_1	K9_1
11_GT_1	0.0	0.7953667953667953	0.8111587982832618	0.9605263157894737	0.9351535836177475	0.9116022099447514	0.9398496240601504	0.8859934853420195	0.9627192982456141	0.9148936170212766	0.9085365853658537	0.9355742296918768	0.9801136363636364	0.9559471365638766	0.9705159705159705	0.9617834394904459	0.9570405727923628	0.8768328445747801	0.93993993993994	0.9491525423728814	0.9353233830845771	0.9122401847575058	0.9696132596685083	0.9541062801932367	0.973621103117506	0.9659367396593674	0.9657894736842105	0.967741935483871	0.9333333333333333	0.8095238095238095	0.9614243323442137	0.9545454545454546	0.9551569506726457	0.9561128526645768	0.9544159544159544	0.9735294117647059	0.9413793103448276	0.9416342412451362	0.9566395663956639	0.9498680738786279	0.9026128266033254	0.9425587467362925	0.9785276073619632	0.9772079772079773	0.9375	0.9315068493150684	0.956953642384106	0.9555555555555556	0.9554896142433235	0.9601226993865031	0.9643835616438357	0.9624060150375939	0.9623655913978495	0.9566395663956639	0.9669117647058824	0.9648711943793911	0.851963746223565	0.9848024316109423	0.9778481012658228	0.9760956175298805	0.9954441913439636	0.9438775510204082	0.9750479846449136	0.9738372093023255	0.9635416666666666	0.9831932773109243	0.991869918699187	0.9814241486068112	0.9772727272727273	0.9715909090909091	0.9601769911504425	0.9751552795031055	0.9881889763779528	0.9883720930232558	0.9780701754385965	0.9877551020408163	0.9363636363636364	0.9812646370023419	0.9858657243816255	0.9874476987447699	0.9821882951653944	0.9721706864564007	0.9863013698630136	0.9927184466019418	0.9846625766871165	0.9809523809523809	0.9715762273901809	0.9876543209876543	0.9794721407624634	0.9647887323943662	0.9808917197452229	0.9758713136729222	0.9600997506234414	0.9631728045325779	0.9636963696369637	0.9836956521739131	0.9804560260586319	0.9926470588235294	0.9891304347826086	0.9645669291338582
11_GT_2	0.7953667953667953	0.0	0.7436974789915967	0.7753623188405797	0.7443609022556391	0.9250645994832042	0.927710843373494	0.9036144578313253	0.9534883720930233	0.9245901639344263	0.9235127478753541	0.9421052631578948	0.9532967032967034	0.9356223175965666	0.9399038461538461	0.954954954954955	0.9423963133640553	0.9083557951482479	0.8496932515337423	0.8958837772397095	0.9077669902912622	0.918859649122807	0.9577836411609498	0.9243498817966903	0.8888888888888888	0.9070904645476773	0.9050131926121372	0.9562289562289562	0.9136490250696379	0.8834586466165414	0.9401709401709402	0.9216710182767625	0.8883826879271071	0.8585209003215434	0.8422619047619048	0.9722991689750693	0.9588607594936709	0.9518518518518518	0.9670050761421319	0.9473684210526315	0.9432314410480349	0.9534313725490197	0.9589442815249267	0.9561643835616438	0.9413407821229051	0.9377593360995851	0.9267515923566879	0.9427710843373494	0.9159420289855073	0.9159159159159159	0.8538681948424068	0.9313725490196079	0.9484536082474226	0.9455958549222798	0.9515570934256056	0.954954954954955	0.8833333333333333	0.9384615384615385	0.9608433734939759	0.9817518248175182	0.9824175824175824	0.9313725490196079	0.966542750929368	0.9669421487603306	0.9705882352941176	0.9452054794520548	0.973384030418251	0.9884726224783862	0.9685990338164251	0.9814323607427056	0.975	0.9737609329446064	0.9817518248175182	0.985663082437276	0.98	0.9772727272727273	0.9416846652267818	0.9421296296296297	0.9868852459016394	0.96875	0.9580246913580247	0.9584086799276673	0.9741935483870968	0.9789719626168224	0.9587020648967551	0.9841986455981941	0.9731051344743277	0.9855072463768116	0.9367816091954023	0.974025974025974	0.9821428571428571	0.9479166666666666	0.9421686746987952	0.9398907103825137	0.9661538461538461	0.9523809523809523	0.9755351681957186	0.9787735849056604	0.9933110367892977	0.948339483394834
11_GT_4	0.8111587982832618	0.7436974789915967	0.0	0.8301158301158301	0.8087649402390438	0.9357541899441341	0.9095744680851063	0.9033333333333333	0.963963963963964	0.9422382671480144	0.9318885448916409	0.9142011834319527	0.9386503067484663	0.9617117117117117	0.9454545454545454	0.9531772575250836	0.9582309582309583	0.9428571428571428	0.9538461538461539	0.9475	0.957286432160804	0.8829268292682927	0.9684813753581661	0.9367088607594937	0.9676616915422885	0.9595959595959596	0.9617486338797814	0.9700374531835206	0.9710144927536232	0.8991596638655462	0.9501557632398754	0.9352112676056338	0.9341176470588235	0.9403973509933775	0.9464285714285714	0.9818181818181818	0.9647887323943662	0.9485148514851485	0.9608938547486033	0.9566395663956639	0.9410377358490566	0.9602122015915119	0.961038961038961	0.9578313253012049	0.9544072948328267	0.9323671497584541	0.9057971014492754	0.9501661129568106	0.9272151898734177	0.9240924092409241	0.9264705882352942	0.9447368421052632	0.943342776203966	0.9340974212034384	0.9407114624505929	0.9536585365853658	0.9269005847953217	0.9797507788161994	0.9666666666666667	0.9790794979079498	0.9833729216152018	0.9278074866310161	0.9517102615694165	0.9880952380952381	0.9814814814814815	0.9795918367346939	0.9870689655172413	0.9871794871794872	0.9818181818181818	0.97953216374269	0.9753363228699552	0.9774193548387097	0.9790794979079498	0.991869918699187	0.9861751152073732	0.9826839826839827	0.9588100686498856	0.9707317073170731	0.9851851851851852	0.9776785714285714	0.9815789473684211	0.9616122840690979	0.9783393501805054	0.9822784810126582	0.9807692307692307	0.9828431372549019	0.9787798408488063	0.9805825242718447	0.9786585365853658	0.9744525547445255	0.9867986798679867	0.9692737430167597	0.9693877551020408	0.9678362573099415	0.9584775086505191	0.9830985915492958	0.9795918367346939	0.9872773536895675	0.9847328244274809	0.9539748953974896
11_GT_5	0.9605263157894737	0.7753623188405797	0.8301158301158301	0.0	0.6692913385826772	0.9603960396039604	0.8802992518703242	0.9425287356321839	0.9604166666666667	0.9625	0.945054945054945	0.9427083333333334	0.9275766016713092	0.9517819706498952	0.9354066985645934	0.9616519174041298	0.9572072072072072	0.9093333333333333	0.8885630498533724	0.909952606635071	0.9138755980861244	0.8441860465116279	0.9554973821989529	0.9325581395348838	0.9060240963855422	0.9210526315789473	0.9116883116883117	0.9671052631578947	0.9380053908355795	0.9584775086505191	0.9378531073446328	0.9416243654822335	0.9066666666666666	0.856687898089172	0.8608695652173913	0.9697802197802198	0.9878419452887538	0.978494623655914	0.9776119402985075	0.9733656174334141	0.9938144329896907	0.9786729857819905	0.9713467048710601	0.9650537634408602	0.9241573033707865	0.9558232931726908	0.8241379310344827	0.9465875370919882	0.8947368421052632	0.8939393939393939	0.8424068767908309	0.9548693586698337	0.9569620253164557	0.9434447300771208	0.95578231292517	0.9623059866962306	0.9343832020997376	0.9452887537993921	0.9643916913946587	0.9783393501805054	0.9758771929824561	0.957345971563981	0.9762340036563071	0.9866310160427807	0.9733656174334141	0.9543010752688172	0.9776119402985075	0.9857142857142858	0.9810874704491725	0.9869451697127938	0.9836065573770492	0.9770114942528736	0.985663082437276	0.9894366197183099	0.9803149606299213	0.988929889298893	0.9533898305084746	0.9450800915331807	0.9903225806451613	0.9731800766283525	0.9609756097560975	0.966131907308378	0.9874213836477987	0.9815242494226328	0.9682080924855492	0.9911111111111112	0.9832134292565947	0.9827586206896551	0.9464788732394366	0.9776357827476039	0.9883040935672515	0.9538461538461539	0.9452380952380952	0.9490616621983914	0.9910979228486647	0.9664082687338501	0.9850299401197605	0.9837209302325581	0.9933993399339934	0.9452554744525548
11_GT_6	0.9351535836177475	0.7443609022556391	0.8087649402390438	0.6692913385826772	0.0	0.9651741293532339	0.9119804400977995	0.9449275362318841	0.9578947368421052	0.9385113268608414	0.967391304347826	0.928	0.8956521739130435	0.9513742071881607	0.9373493975903614	0.9357798165137615	0.9399538106235565	0.9171122994652406	0.8738738738738738	0.9090909090909091	0.933649289099526	0.8871331828442438	0.9466666666666667	0.9418604651162791	0.8943488943488943	0.9176755447941889	0.9276485788113695	0.9632107023411371	0.9459459459459459	0.96875	0.9431818181818182	0.9328165374677002	0.9107142857142857	0.865814696485623	0.8283132530120482	0.9722991689750693	0.9845679012345679	0.976491862567812	0.9748110831234257	0.975609756097561	0.9895615866388309	0.9809069212410502	0.9619883040935673	0.9475138121546961	0.9014492753623189	0.959349593495935	0.8339100346020761	0.9427710843373494	0.8869047619047619	0.899390243902439	0.8165680473372781	0.941747572815534	0.9511568123393316	0.9204244031830239	0.9405594405594405	0.9454545454545454	0.9251336898395722	0.9368258859784283	0.9608433734939759	0.9628252788104089	0.9711111111111111	0.9619047619047619	0.966542750929368	0.9809782608695652	0.9781021897810219	0.9509536784741145	0.9887640449438202	0.9796511627906976	0.9833333333333333	0.9814323607427056	0.979253112033195	0.9826589595375722	0.9817518248175182	0.9783393501805054	0.9717741935483871	0.9849624060150376	0.9662447257383966	0.9445727482678984	0.9801980198019802	0.96875	0.9631449631449631	0.9714285714285714	0.9807692307692307	0.9789719626168224	0.9678362573099415	0.9819004524886877	0.9731051344743277	0.9705882352941176	0.9518413597733711	0.9773462783171522	0.9881656804733728	0.9396325459317585	0.9421686746987952	0.948509485094851	0.9940119760479041	0.9551451187335093	0.9848484848484849	0.9763593380614657	0.9831081081081081	0.9522058823529411
17_BH_1	0.9116022099447514	0.9250645994832042	0.9357541899441341	0.9603960396039604	0.9651741293532339	0.0	0.7146341463414634	0.7034883720930233	0.898854961832061	0.8978494623655914	0.68	0.9024943310657596	0.9182242990654206	0.9032258064516129	0.9126819126819127	0.9223057644110275	0.8981670061099797	0.8881278538812786	0.9518348623853211	0.8952772073921971	0.9030927835051547	0.8725490196078431	0.9009216589861752	0.8789144050104384	0.8893528183716075	0.9024896265560166	0.9195652173913044	0.9260273972602739	0.9174311926605505	0.9323943661971831	0.9466357308584686	0.9400428265524625	0.9522058823529411	0.9570405727923628	0.9602649006622517	0.8842364532019704	0.9296875	0.89419795221843	0.9276315789473685	0.929637526652452	0.9136276391554703	0.9030172413793104	0.9444444444444444	0.9080188679245284	0.9127358490566038	0.94375	0.8944591029023746	0.8811369509043928	0.8712871287128713	0.8784810126582279	0.897025171624714	0.8787878787878788	0.8914027149321267	0.8861047835990888	0.9	0.8765432098765432	0.8796296296296297	0.9080622347949081	0.9404466501240695	0.9596541786743515	0.9334637964774951	0.9208333333333333	0.9	0.9470046082949308	0.9319148936170213	0.952914798206278	0.9333333333333333	0.9175	0.9329140461215933	0.9311926605504587	0.9169811320754717	0.928395061728395	0.9596541786743515	0.9630681818181818	0.963076923076923	0.9554896142433235	0.8806262230919765	0.9262948207171314	0.9346049046321526	0.9483282674772037	0.9367088607594937	0.9265905383360522	0.9501312335958005	0.9493927125506073	0.9259259259259259	0.9317269076305221	0.9157667386609071	0.9333333333333333	0.9082125603864735	0.9442970822281167	0.942643391521197	0.9175946547884187	0.8843683083511777	0.9018691588785047	0.8702702702702703	0.930648769574944	0.9389312977099237	0.9270833333333334	0.967654986522911	0.9077380952380952
17_BH_2	0.9398496240601504	0.927710843373494	0.9095744680851063	0.8802992518703242	0.9119804400977995	0.7146341463414634	0.0	0.7433862433862434	0.9061371841155235	0.8914141414141414	0.7474489795918368	0.9154334038054969	0.9017857142857143	0.9332161687170475	0.9281553398058252	0.9325581395348838	0.8932038834951457	0.9404517453798767	0.9503239740820735	0.8727634194831014	0.8666666666666667	0.8384615384615385	0.9480249480249481	0.8634538152610441	0.878	0.9037328094302554	0.9154639175257732	0.9501246882793017	0.9430379746835443	0.9670886075949368	0.9454148471615721	0.9477911646586346	0.9454225352112676	0.952808988764045	0.9583333333333334	0.9168539325842696	0.9423076923076923	0.900974025974026	0.9428571428571428	0.9272727272727272	0.9469026548672567	0.9065040650406504	0.9287356321839081	0.9210526315789473	0.9277899343544858	0.9237536656891495	0.8053333333333333	0.8704156479217604	0.8424821002386634	0.8402948402948403	0.8412698412698413	0.8627858627858628	0.8933901918976546	0.8763557483731019	0.9105263157894737	0.8613861386138614	0.8549107142857143	0.9190283400809717	0.9345794392523364	0.9655172413793104	0.9676258992805755	0.9146825396825397	0.8694915254237288	0.9295154185022027	0.9401197604790419	0.9666666666666667	0.9590163934426229	0.9594594594594594	0.9430255402750491	0.9308855291576674	0.8833333333333333	0.9207459207459208	0.9655172413793104	0.9766233766233766	0.9747899159663865	0.9532967032967034	0.8849721706864564	0.9402985074626866	0.9603960396039604	0.9376770538243626	0.9144602851323829	0.9215070643642073	0.9485294117647058	0.9501915708812261	0.954954954954955	0.9572490706319703	0.9464285714285714	0.9498861047835991	0.9451754385964912	0.9585365853658536	0.956221198156682	0.9065817409766455	0.9	0.9175704989154013	0.9097560975609756	0.9371069182389937	0.9675925925925926	0.9416342412451362	0.9801980198019802	0.9297297297297298
17_BH_3	0.8859934853420195	0.9036144578313253	0.9033333333333333	0.9425287356321839	0.9449275362318841	0.7034883720930233	0.7433862433862434	0.0	0.9241803278688525	0.8847352024922118	0.6644951140065146	0.9090909090909091	0.9240837696335078	0.9287169042769857	0.9221967963386728	0.9352112676056338	0.9084821428571429	0.9125	0.9507772020725389	0.9271523178807947	0.9285714285714286	0.8505494505494505	0.948019801980198	0.9174107142857143	0.918918918918919	0.94	0.9328537170263789	0.9341692789968652	0.9175257731958762	0.9313725490196079	0.9393139841688655	0.9551886792452831	0.949290060851927	0.9594594594594594	0.9602977667493796	0.9278074866310161	0.9441176470588235	0.9124087591240876	0.9444444444444444	0.9461358313817331	0.9156118143459916	0.9066985645933014	0.9452054794520548	0.9407216494845361	0.9458762886597938	0.924812030075188	0.8878787878787879	0.9051724137931034	0.8901098901098901	0.901685393258427	0.9030612244897959	0.9162790697674419	0.913151364764268	0.9236453201970444	0.9223300970873787	0.9118942731277533	0.8837209302325582	0.9565217391304348	0.9554317548746518	0.9595959595959596	0.9729166666666667	0.9384965831435079	0.9345454545454546	0.948051948051948	0.9485981308411215	0.9598997493734336	0.9795918367346939	0.9561643835616438	0.9347319347319347	0.9624060150375939	0.930327868852459	0.9534246575342465	0.956081081081081	0.9703947368421053	0.9636363636363636	0.9690721649484536	0.8959660297239915	0.941304347826087	0.9537037037037037	0.9424460431654677	0.951276102088167	0.9424083769633508	0.9518072289156626	0.9434389140271493	0.9564032697547684	0.9632829373650108	0.9411764705882353	0.9645776566757494	0.9473684210526315	0.9671641791044776	0.9550561797752809	0.9414634146341463	0.9193548387096774	0.9114583333333334	0.913946587537092	0.9533169533169533	0.9601139601139601	0.9477272727272728	0.9815384615384616	0.9285714285714286
17_BH_4	0.9627192982456141	0.9534883720930233	0.963963963963964	0.9604166666666667	0.9578947368421052	0.898854961832061	0.9061371841155235	0.9241803278688525	0.0	0.8961625282167043	0.9114688128772636	0.9089147286821705	0.8961303462321792	0.8976510067114094	0.9269162210338681	0.9170212765957447	0.8828828828828829	0.9671532846715328	0.9490196078431372	0.8467289719626169	0.9204946996466431	0.9172185430463576	0.903353057199211	0.8507462686567164	0.8726937269372693	0.8419047619047619	0.863905325443787	0.9197247706422018	0.9280155642023347	0.9753914988814317	0.9166666666666666	0.908745247148289	0.9092436974789916	0.9227557411273486	0.9215686274509803	0.9008264462809917	0.9393939393939394	0.867601246105919	0.8774703557312253	0.8933333333333333	0.9067796610169492	0.9029850746268657	0.9426229508196722	0.9181636726546906	0.9534883720930233	0.9678217821782178	0.9449152542372882	0.9443298969072165	0.93	0.9281314168377823	0.9252873563218391	0.8923933209647495	0.9078694817658349	0.9013539651837524	0.9209302325581395	0.8918439716312057	0.8895463510848126	0.8653333333333333	0.9094827586206896	0.9423076923076923	0.9241379310344827	0.8778195488721805	0.8148760330578513	0.9365079365079365	0.9017013232514177	0.935672514619883	0.9251870324189526	0.9175475687103594	0.9111111111111111	0.9056224899598394	0.8799313893653516	0.93125	0.9320388349514563	0.9528301886792453	0.9387755102040817	0.9639423076923077	0.8833619210977701	0.8491620111731844	0.929384965831435	0.9506172839506173	0.8635477582846004	0.8900602409638554	0.9426048565121413	0.9205776173285198	0.9110169491525424	0.8971119133574007	0.8762088974854932	0.9309623430962343	0.89375	0.9423503325942351	0.9498956158663883	0.8562753036437247	0.9130434782608695	0.85625	0.8678815489749431	0.9099804305283757	0.9264069264069265	0.9100917431192661	0.9403669724770642	0.9200968523002422
17_BH_5	0.9148936170212766	0.9245901639344263	0.9422382671480144	0.9625	0.9385113268608414	0.8978494623655914	0.8914141414141414	0.8847352024922118	0.8961625282167043	0.0	0.8768768768768769	0.8421052631578947	0.9161849710982659	0.9439655172413793	0.9205955334987593	0.9245283018867925	0.9136690647482014	0.9416445623342176	0.911504424778761	0.9156626506024096	0.9453681710213777	0.9273127753303965	0.9224376731301939	0.8940886699507389	0.9037037037037037	0.9373493975903614	0.926509186351706	0.9295774647887324	0.9421487603305785	0.9418181818181818	0.9298245614035088	0.9261213720316622	0.9383259911894273	0.9261538461538461	0.9331476323119777	0.9136904761904762	0.9233333333333333	0.9168278529980658	0.8983516483516484	0.9018567639257294	0.9448123620309051	0.9036458333333334	0.939209726443769	0.9316239316239316	0.9188405797101449	0.9130434782608695	0.9039735099337748	0.8942307692307693	0.8814589665653495	0.8871473354231975	0.896358543417367	0.925	0.9222520107238605	0.9278074866310161	0.927797833935018	0.9248826291079812	0.9090909090909091	0.9460708782742681	0.9203821656050956	0.9540229885057471	0.9518348623853211	0.9330024813895782	0.92578125	0.9634831460674157	0.9465648854961832	0.9644808743169399	0.944	0.941717791411043	0.9630541871921182	0.947075208913649	0.9503239740820735	0.9546827794561934	0.9459459459459459	0.9664179104477612	0.9449152542372882	0.9647058823529412	0.9244444444444444	0.9413145539906104	0.9405594405594405	0.968	0.9194805194805195	0.9365671641791045	0.9315068493150684	0.9639423076923077	0.9672619047619048	0.950354609929078	0.9105263157894737	0.9480122324159022	0.9418604651162791	0.9666666666666667	0.9532710280373832	0.9358288770053476	0.9334975369458128	0.9054441260744985	0.9285714285714286	0.9487870619946092	0.9588607594936709	0.9534313725490197	0.9612676056338029	0.926923076923077
