Sample ID	Label	shannon_entropy
#q2:types	categoric	numeric
11_GT_1	11_GT_1	6.07578636583497
11_GT_2	11_GT_2	6.6684931538146
11_GT_4	11_GT_4	5.68826233916046
11_GT_5	11_GT_5	6.55279394028708
11_GT_6	11_GT_6	6.61437812625838
17_BH_1	17_BH_1	6.95823410575495
17_BH_2	17_BH_2	7.26013187402505
17_BH_3	17_BH_3	6.26205426331581
17_BH_4	17_BH_4	7.79698938588757
17_BH_5	17_BH_5	6.24066164008473
17_BH_6	17_BH_6	6.49694520504468
18_SJ_1	18_SJ_1	7.15617952430986
18_SJ_2	18_SJ_2	6.87668145434898
18_SJ_3	18_SJ_3	7.64942667810099
18_SJ_4	18_SJ_4	7.2271404423256
18_SJ_5	18_SJ_5	7.07505715087583
2_ZM_1	2_ZM_1	7.62523994001469
2_ZM_2	2_ZM_2	7.31912165277125
2_ZM_3	2_ZM_3	6.8969218478017
2_ZM_4	2_ZM_4	7.52896665882141
2_ZM_5	2_ZM_5	7.4117389242458
2_ZM_6	2_ZM_6	7.39793796520235
30_KM_2	30_KM_2	7.18196596523007
30_KM_3	30_KM_3	7.57810476217285
30_KM_4	30_KM_4	7.64627681227041
30_KM_5	30_KM_5	7.58987486899663
30_KM_6	30_KM_6	7.3413808144404
35_AJ_1	35_AJ_1	6.62536581175237
35_AJ_2	35_AJ_2	7.30784691714311
35_AJ_3	35_AJ_3	6.53096207055822
36_KJ_1	36_KJ_1	6.92536991074357
36_KJ_2	36_KJ_2	6.94964140560331
36_KJ_3	36_KJ_3	7.15639213615142
36_KJ_4	36_KJ_4	6.73653739230551
36_KJ_5	36_KJ_5	6.96426907644613
36_KJ_6	36_KJ_6	7.10419674080263
37_SJ_1	37_SJ_1	6.81328155111654
37_SJ_2	37_SJ_2	8.13790267245228
37_SJ_3	37_SJ_3	7.25771001704685
37_SJ_4	37_SJ_4	7.43320356877128
37_SJ_5	37_SJ_5	7.59586784671711
37_SJ_6	37_SJ_6	7.44206561975305
43_BR_1	43_BR_1	6.97985384139786
43_BR_2	43_BR_2	7.20668855826627
43_BR_3	43_BR_3	6.9279166717493
58_NJ_1	58_NJ_1	3.83271331501693
58_NJ_2	58_NJ_2	6.64031520511795
58_NJ_3	58_NJ_3	6.54123323075402
58_NJ_4	58_NJ_4	6.8932174742058
58_NJ_5	58_NJ_5	6.73376618509166
58_NJ_6	58_NJ_6	7.12861171195739
8_LV_1	8_LV_1	6.45072023419533
8_LV_2	8_LV_2	6.67090671736858
8_LV_3	8_LV_3	6.75136253488982
8_LV_4	8_LV_4	6.18004025424914
8_LV_5	8_LV_5	6.79526525535991
8_LV_6	8_LV_6	7.24115376832
K10_1	K10_1	8.58945563624132
K11_1	K11_1	6.22092763717457
K12_M78_1	K12_1	7.61720425810639
K13_1	K13_1	7.63296177486308
k14_1	k14_1	7.99976036879194
K15_1	K15_1	7.27017800014272
K16_Z75_1	K16_1	7.24045520079588
K17_1	K17_1	6.27378214466586
K18_Z93_1	K18_1	6.87432667673614
K19_1	K19_1	7.66148382372621
K2_1	K2_1	7.03813787340933
K20_1	K20_1	7.0179071819635
K21_1	K21_1	6.30233634778914
K22_1	K22_1	6.22734458227544
K23_1	K23_1	5.75688790762809
K24_1	K24_1	6.1131831251936
K25_1	K25_1	7.87279552677635
K27_1	K27_1	7.72771432070975
K3_M78_1	K3_1	6.61557034782078
K30_M95_1	K30_1	4.6981133807058
K31_1	K31_1	7.44755136552532
K32_1	K32_1	6.8186209696515
K33_M78_1	K33_1	7.63618549593515
K34_Z96_1	K34_1	6.97864513549475
K35_M99_1	K35_1	7.52224618406955
K36_1	K36_1	7.50277356493276
K37_Z82_1	K37_1	6.82730715541744
K38_1	K38_1	7.25965162910996
K39_1	K39_1	6.7322908742725
K4_Z79_1	K4_1	6.98682760049034
K40_1	K40_1	7.39141631261628
K41_1	K41_1	7.48142500741088
K42_Z92_1	K42_1	7.22974562701059
K43_1	K43_1	6.97423510328338
K5_Z92_1	K5_1	7.30314672585132
K6_M84_1	K6_1	6.82648095285593
K7_Z80_1	K7_1	7.47499991779736
K8_Z79_1	K8_1	6.58392835456709
K9_1	K9_1	6.45086726463779
