	11_GT_1	11_GT_2	11_GT_4	11_GT_5	11_GT_6	17_BH_1	17_BH_2	17_BH_3	17_BH_4	17_BH_5	17_BH_6	18_SJ_1	18_SJ_2	18_SJ_3	18_SJ_4	18_SJ_5	2_ZM_1	2_ZM_2	2_ZM_3	2_ZM_4	2_ZM_5	2_ZM_6	30_KM_2	30_KM_3	30_KM_4	30_KM_5	30_KM_6	35_AJ_1	35_AJ_2	35_AJ_3	36_KJ_1	36_KJ_2	36_KJ_3	36_KJ_4	36_KJ_5	36_KJ_6	37_SJ_1	37_SJ_2	37_SJ_3	37_SJ_4	37_SJ_5	37_SJ_6	43_BR_1	43_BR_2	43_BR_3	58_NJ_1	58_NJ_2	58_NJ_3	58_NJ_4	58_NJ_5	58_NJ_6	8_LV_1	8_LV_2	8_LV_3	8_LV_4	8_LV_5	8_LV_6	K10_1	K10_4	K11_1	K12_M78_1	K13_1	k14_1	K15_1	K15_4	K16_Z75_1	K17_1	K18_Z93_1	K19_1	K2_1	K2_4	K20_1	K21_1	K22_1	K23_1	K24_1	K25_1	K27_1	K3_M78_1	K30_M95_1	K31_1	K31_4	K32_1	K33_M78_1	K34_Z96_1	K35_M99_1	K36_1	K37_Z82_1	K38_1	K39_1	K4_Z79_1	K40_1	K41_1	K42_Z92_1	K43_1	K5_Z92_1	K6_M84_1	K7_Z80_1	K8_Z79_1	K9_1
11_GT_1	0.0	0.2973440528425126	0.46804978311074963	0.3212296315020997	0.3273710939892528	0.4493123481697415	0.4737530197087388	0.48743155347846034	0.48179626908565654	0.5034651576965533	0.3504851169398666	0.44619287012731523	0.5047256664055139	0.4869901656344869	0.5017105067002762	0.43412690905866247	0.48658928066824564	0.5174895040782457	0.4111825288450133	0.4132573478050912	0.3696442144834406	0.5371406668792481	0.5571368890701218	0.5303370781956757	0.5334244980910069	0.4810773573196839	0.5181235545371619	0.4629425263550886	0.5659755494031624	0.32822999094080274	0.3745605141185729	0.4121999207728178	0.3659406741803354	0.42005972121171303	0.37448795407471314	0.5642723281320533	0.5055670089628168	0.6129796599750801	0.47751175453134553	0.5224756106304146	0.4343942784648801	0.46272303254202224	0.4837749826776685	0.5188369469049477	0.41951698353320843	0.4394501751270254	0.4234986722138425	0.5670370091072304	0.5117302214056745	0.43866292692512837	0.45768842944411164	0.4356975576515865	0.44610480402293096	0.4137593907466316	0.4681290885566839	0.45116634414520945	0.3639851385440688	0.5926665790722885	0.4933584677561444	0.5067879488251414	0.6568320779036242	0.5229587104391887	0.5519313857725262	0.5033569260696117	0.5176121989968074	0.5615172609172291	0.586550964364418	0.680585474177534	0.55605079260909	0.5607711399008815	0.5358121891428766	0.5761265852773456	0.6075641953357652	0.5914858744375707	0.4661797694854521	0.540774393203418	0.5385204223918393	0.6030358020955529	0.5817385188426438	0.5291073904387373	0.5149955658423546	0.5781938529499431	0.6016411150753826	0.6063047582448958	0.6640231861770313	0.7016789349928708	0.5680128030214073	0.6440719375808858	0.561373816953918	0.5039133938198486	0.667253821451698	0.5800830000998111	0.5303401513846435	0.6321184120242439	0.5468178143319748	0.5759205475705502	0.5385266838793107	0.6156047187923193	0.5236733124848043	0.49907994032911407
11_GT_2	0.2973440528425126	0.0	0.41669154506640244	0.2865949180938213	0.3212936131332327	0.4145598363881477	0.44136445474904296	0.477005498099663	0.435825445387488	0.5035940747724486	0.3122749204695656	0.46128265290076836	0.5112694252617255	0.47471502489647516	0.4611469111369396	0.4187427444459249	0.48741114864372764	0.5392161332319592	0.37978414362859875	0.440190810784962	0.4129229922758318	0.49920230752290407	0.5390974593576189	0.49183582922398955	0.5041400383156508	0.46761491360224133	0.5004320407766343	0.4506628842353807	0.5861478924244081	0.4116885713920794	0.3944078664726753	0.3694769195184019	0.3720348710595173	0.40307606926781253	0.37564347245750523	0.5590225679487452	0.45314800578347986	0.6068806312087722	0.4262372223222775	0.4827954468099945	0.4554529392152358	0.4637059715515579	0.42696818052070984	0.4668085667199665	0.4472195088690688	0.37257222294939163	0.38191422648225815	0.5446018812050647	0.46764825032535867	0.3737845327558583	0.37909294542133387	0.4181945808770319	0.41941063614438223	0.38477599642782073	0.43057516886821756	0.40175833096296704	0.466266530162615	0.6026443888959995	0.5126300744293938	0.4983205002625795	0.6560740018036518	0.5133243461632943	0.532562664272734	0.49275765210182254	0.5142740499345684	0.5458626143225651	0.610121333580188	0.674146655082507	0.5661920891704959	0.5784887998981377	0.5548130631524691	0.6018794017242115	0.5638467488827039	0.6164930987860164	0.4940669551969036	0.5687162371491125	0.5445427505368509	0.5918329793973874	0.6163010178059618	0.5095663096301984	0.48807162102926005	0.5894781294834796	0.5769875770551843	0.605561581217142	0.673077987010368	0.7237741877877502	0.5731564567313615	0.622300657478227	0.5466395106573297	0.5209109153431839	0.6712996766489082	0.5356799211396714	0.548726211737912	0.6409036766056027	0.5193021601061769	0.6020324815494142	0.5613380457895439	0.6163408941588638	0.5464608689745301	0.5044117445047563
11_GT_4	0.46804978311074963	0.41669154506640244	0.0	0.459339843567825	0.47493227162108975	0.5284295477413078	0.5322214110183174	0.5548689916664834	0.5739341980913726	0.3622524316174916	0.4875105706811036	0.5415132167285769	0.5902277852323431	0.5727118207944778	0.5497434133715615	0.5438708802552071	0.5871516409834149	0.550534860786979	0.5362096489175011	0.5645675360004885	0.5205197851645718	0.5894739631273247	0.633509026471547	0.5851474833158898	0.5876825902360009	0.5656534539152784	0.5934727008004147	0.5641103570717487	0.6063323335315184	0.5385411371411651	0.5297933929795244	0.5191208859700526	0.4736120872251402	0.5190007256963344	0.522000562894373	0.6254968105548246	0.5684111649895025	0.6036205368667955	0.5219731399638526	0.5651955203678792	0.5655141775556354	0.5648064259081838	0.5560239734848127	0.5733074823598626	0.5592564629341241	0.5216796002838471	0.5316325235868608	0.620188071826549	0.5710192794576184	0.5209549467673346	0.5015748373390009	0.5343188173351304	0.48562342493388905	0.49111495406267686	0.5669487253960442	0.5421863727145343	0.5392506345536118	0.6731489295060612	0.6111204315840131	0.590184014745547	0.6699358781804758	0.6165120625396278	0.6070370712016734	0.5729531148602943	0.6020498225415115	0.634240120500868	0.6790940933280896	0.682485639107191	0.6423393787784335	0.6542187221230666	0.6434345261076087	0.6766010246846241	0.645878352409074	0.6694991869511256	0.5807016799803604	0.6541416755368367	0.6344775008030367	0.6706239773663756	0.6829353728703937	0.5863611719221882	0.594736324970618	0.6612623930239999	0.6670503245861792	0.666282203863721	0.6814069013588665	0.7021260696951708	0.6467288674855004	0.68003722399962	0.6156473903429108	0.6259032817627518	0.6726790228971902	0.6294392378415713	0.6122188790710636	0.6437363061364048	0.5887230060856302	0.6668860590276279	0.6291844198934579	0.663188644985241	0.6418049560300356	0.603076101433356
11_GT_5	0.3212296315020997	0.2865949180938213	0.459339843567825	0.0	0.26686035545020265	0.40738095830638205	0.41877596918871546	0.4759855223283014	0.46761078164889597	0.5056690004913342	0.36916651473938566	0.4513669833379483	0.44988756004956487	0.4397649062064429	0.4437212858452438	0.39141047742480073	0.4541584177204652	0.496224391211359	0.3365065193893314	0.39728804509117976	0.37678879651443276	0.4728669065307242	0.5020114332158968	0.47884783065398473	0.46860592851414745	0.4296793707886174	0.49634236220565	0.43040019475990593	0.576590912168784	0.4260443022031846	0.3941173343739806	0.4006416952442974	0.4008159977519511	0.38164470337073625	0.3830009916541272	0.5226970417274596	0.46175533430770743	0.6172290231900465	0.4530258963165157	0.5101986724226076	0.46923495456895536	0.4905783274337233	0.4312245683015003	0.47233653052228985	0.3736265612228583	0.3824479820913147	0.3269071983040909	0.4976632549366898	0.4310515131745454	0.3441186338160598	0.3674421299041279	0.3841116349826686	0.40271016223382256	0.347340650892734	0.39732729550046164	0.3788843923877801	0.4334736444354833	0.5944396615905487	0.4907896083062401	0.4683390725841035	0.6429904625662464	0.5377456677931657	0.5583239089781021	0.46391607656427924	0.48164822486981873	0.5270232514221607	0.5565851163689659	0.6569824854178581	0.5612228314216551	0.5573001113397498	0.5518161689408523	0.5690554210513786	0.5594083366496703	0.5710463534241946	0.47738228784394426	0.5273482860116429	0.5264463204252936	0.5527722348910256	0.565119867883837	0.46685313712259774	0.46510686717169797	0.5668924238266696	0.5571380858110629	0.5978890632360009	0.659772371250643	0.7031891107003929	0.5722560037137687	0.6113190328608546	0.5179280794928734	0.512211621556115	0.6597307091702775	0.5113979563043356	0.5381597348962712	0.6383398997812092	0.4967762626256149	0.5704475634443645	0.5354168468525322	0.5811304698566285	0.5193201301682645	0.49880615976892456
11_GT_6	0.3273710939892528	0.3212936131332327	0.47493227162108975	0.26686035545020265	0.0	0.4252237290396115	0.45441816659704914	0.49857182674216893	0.4989508416352088	0.5204375207343293	0.39348015399875713	0.4949566692813118	0.4798613704598	0.47598216525939796	0.4487893894273687	0.42098367534589953	0.5241569290043644	0.5151790854796265	0.43866549886101625	0.44355468637391526	0.4125227514249651	0.4961055417142505	0.5469172038619909	0.47475555974538675	0.48541407613123105	0.4894317210788443	0.5439228404838171	0.43139899587780317	0.5910769009378182	0.43439664357404967	0.38078126987108807	0.4359490279783047	0.39479191691409943	0.36899432921609326	0.3557338012668876	0.5544587470277498	0.5250641746672532	0.6483178934105236	0.520296098844185	0.5632674162489573	0.48451685944242806	0.5324130333904508	0.44622960982773985	0.4510005234016284	0.3900059426169464	0.4014727348486208	0.3366082129837421	0.5263529872648576	0.4320520142462582	0.3487281102423416	0.39484109319785626	0.35021173956465146	0.41114835816092127	0.3403196847385779	0.4511480096056604	0.40676864875060487	0.47403973817718564	0.5979180273855979	0.5196105457055417	0.5500970992165067	0.6601807589064375	0.5618920507759494	0.5508196486441074	0.5268166608945295	0.5287238176065582	0.5504112575613114	0.5895352789860893	0.6677536101177792	0.5926965266638731	0.5883919186626478	0.5794241900985746	0.5917826965246336	0.6111318343810667	0.6290460795181013	0.48111393999072927	0.5545483726189524	0.5534324764979685	0.6084287122202536	0.5911269905219967	0.5220785252177318	0.531109113895143	0.5997909731585337	0.5786909712278723	0.6093276411703556	0.6865122188505799	0.7228512420342394	0.5920669746653016	0.6249307171100845	0.5375454972095347	0.5316992574476612	0.6779058061208741	0.5068512608198835	0.5584095223770484	0.6418891562783416	0.5303177995351044	0.5957041991538145	0.5601244491670608	0.6032735916225962	0.5514591078050933	0.4988754750285953
17_BH_1	0.4493123481697415	0.4145598363881477	0.5284295477413078	0.40738095830638205	0.4252237290396115	0.0	0.3233526307215524	0.47009111334943376	0.4495634015497123	0.5469341384205482	0.37322712605053165	0.47819679702711554	0.4816161108506421	0.3636013562228231	0.429342969521656	0.38118224740680096	0.4696209939685386	0.5203376090802195	0.41863008367856175	0.3635539222369877	0.3921583476580516	0.38042931529160995	0.4585286123080454	0.3984941984176488	0.4386828257624974	0.432822520388232	0.46851597770177866	0.4043749225477641	0.5300093936898547	0.5262588956343249	0.5211066513449668	0.46396657364968036	0.444905793555067	0.5185749835173429	0.47174421615429674	0.4180871928959114	0.4183729545169274	0.5492233524422253	0.4031071870114087	0.45945919699350835	0.40412749838065204	0.43193599946585887	0.3613315374553491	0.3936017612728487	0.38145663165766786	0.3723781897633009	0.3569168492777456	0.4960528743935626	0.3594338257781174	0.32917572903048187	0.3640252835919355	0.4219158067306606	0.4375804686496247	0.42372857249765866	0.4976594323412293	0.4346278656970485	0.4930722578081896	0.4693778907263402	0.3936645446388395	0.44101787634611966	0.5817664395650074	0.4891550974308864	0.48096773235879586	0.42682643111688956	0.4566646761311125	0.45275053611551436	0.5158756471208008	0.577213718279323	0.5219152539704603	0.4986126734374188	0.5093731916216555	0.538859755075519	0.5213860565024702	0.552935453212584	0.42183221276852295	0.4911815524621141	0.47390928633729257	0.5181263199508556	0.5069007418189443	0.4495446654743854	0.4375586417050654	0.4837641134727671	0.48383432528677794	0.5106388638685323	0.6005687299448934	0.6448168037601811	0.48187805834379244	0.5087996681347713	0.48203610989750617	0.4806687487358103	0.5839953697006816	0.4464153951803495	0.41231356170152295	0.5574226884053519	0.4060289513469905	0.4993496103318622	0.4494198117359683	0.4998860548473775	0.4791033535974595	0.4692374009497064
17_BH_2	0.4737530197087388	0.44136445474904296	0.5322214110183174	0.41877596918871546	0.45441816659704914	0.3233526307215524	0.0	0.4904397680988698	0.49030462824727616	0.5519204263725833	0.3270195470444946	0.49628804182005637	0.48107255636250523	0.4602390811556739	0.46716542604875305	0.45412045110585053	0.5267413185456854	0.5913859585184621	0.4954966242275992	0.44002731722322064	0.44613829706488156	0.48601199501769854	0.5454125622935113	0.48866416308945515	0.4996606439411531	0.48198823481843794	0.501483323703252	0.5180984587051163	0.6276814562844923	0.5326597310891483	0.5151855729928494	0.5408320804011112	0.504501870591158	0.5177002346310232	0.4651345400973618	0.5282772761930394	0.45398907134376265	0.5979616593558328	0.4594241471295881	0.4949720075807939	0.49713076844906073	0.4923745943519059	0.42820621540203563	0.4845381483005108	0.4596589661700643	0.44571348036639385	0.40063693322218186	0.5385345035790935	0.4565758379167203	0.37611293556268577	0.41339662397408455	0.4547684152662048	0.443101853851362	0.4769066369076383	0.5242019201758757	0.5002940950335996	0.5201498991937558	0.574507969478743	0.4921049582809948	0.49445480932454683	0.6402189242532765	0.5339811209009271	0.5487589445693462	0.4711843813273395	0.5422084530070761	0.5643721196248639	0.5849296198764878	0.6519122890539647	0.5747593818227262	0.5823547823261237	0.5837164663335535	0.5784366747254933	0.5536480722076202	0.6083813879882077	0.5197443646935547	0.5439708639100453	0.5636434208595004	0.5688053085939312	0.5799640842314141	0.47951713256870426	0.47501900001655956	0.569331700131479	0.5561145130868453	0.5855900862708376	0.667693068021994	0.7025565186673337	0.574291792298827	0.5892306193393833	0.5721830406502935	0.5731107008988799	0.6459976535693034	0.5284779033208529	0.5374746025015584	0.6413319109356247	0.492874073760761	0.5750982560008717	0.5327138615774382	0.5768281627977105	0.5716420884304221	0.5365688028508091
17_BH_3	0.48743155347846034	0.477005498099663	0.5548689916664834	0.4759855223283014	0.49857182674216893	0.47009111334943376	0.4904397680988698	0.0	0.5636916782759835	0.5951286571749885	0.4113883480664608	0.5725274626823335	0.5674420693190108	0.5702316202687185	0.5470543746128979	0.5263766258840487	0.5642575173755524	0.6255370507271609	0.5275192680623731	0.5117095666571134	0.5079540565249988	0.39447596169736515	0.598631767546295	0.5916112622569303	0.5996143982674936	0.5665730680455356	0.6007977534426502	0.5485189603029539	0.6398701757364744	0.5504157973439956	0.508193522512729	0.5322620069520746	0.551488855756402	0.5304299539834868	0.5189723090826033	0.6064372220505962	0.5431048233485732	0.6480822526498969	0.544528212592592	0.5726287867228161	0.5630595619304469	0.5551041358791983	0.5551708628118501	0.5782329030374885	0.5638981590567196	0.5152241469683784	0.49649514719851134	0.4184606856912643	0.5815437456313757	0.5103460086363527	0.5154685339094494	0.506618811369846	0.5027007722172223	0.5179056217668944	0.5540653627239136	0.5358079176258528	0.5715588158397948	0.6760615997679043	0.6218666557797617	0.5696850858712569	0.7063410477518648	0.6441216162746123	0.6646516892618749	0.5720858264555695	0.5842509706258932	0.6201610156164845	0.6754182941449727	0.7073585522586109	0.6504169768284497	0.6353534052819094	0.6403394793273548	0.6676423552850634	0.6338752450305283	0.6667798504571586	0.5452237678232251	0.6183205041372623	0.6345062978623295	0.6677442495167573	0.6486672965853565	0.5720452681458427	0.5917311591908124	0.6450700764336783	0.6459554366564175	0.6535399550220543	0.7096442132927789	0.7280404221956792	0.6335245893417408	0.6486883300885741	0.6021051670360914	0.6209028010840647	0.6934990515141448	0.6414992007860492	0.6084698346115939	0.6841331830533777	0.5613740999105669	0.6397522732908886	0.6171985648267807	0.6334370747756898	0.6336670299720254	0.600785726987591
17_BH_4	0.48179626908565654	0.435825445387488	0.5739341980913726	0.46761078164889597	0.4989508416352088	0.4495634015497123	0.49030462824727616	0.5636916782759835	0.0	0.5574170868212516	0.4638174456404827	0.44535435917322186	0.4544259124650886	0.4778768903240829	0.4756938954667167	0.4081391751075307	0.45568112857853527	0.5963456601530505	0.49886774878973605	0.43991353740512346	0.4670363397007893	0.5288768198590782	0.5030285618338515	0.45989191829254206	0.4677764953164211	0.4144640848261736	0.4584472184282028	0.42475697131556744	0.5717753127650276	0.5904191179629258	0.45835751797744506	0.4577179438795042	0.4651847954608943	0.4987086178302557	0.4847441040609539	0.48003294269098085	0.45717219305663576	0.5711575490864171	0.4232751034266086	0.4100012151590225	0.4504343208221607	0.4303798649606552	0.3929994945534954	0.37848898796776004	0.4970362578375343	0.4141036737107273	0.46616050732978653	0.5624917094032541	0.4816562271506479	0.4448038603663227	0.43693479042343863	0.4938262363440876	0.4437296893173961	0.5034380846495401	0.52151294756552	0.5136256501577718	0.5609818317508848	0.5339838525338595	0.43380057850643683	0.43068586462902314	0.5557097308870499	0.46897104767590947	0.44981710601617353	0.4078376213559644	0.4488576223134313	0.46958122324743873	0.5194562408983623	0.5944809475209935	0.48728337319272574	0.4885221431726227	0.5053930407230717	0.5298810625248298	0.4827613292198492	0.5557947677167372	0.4558107704331131	0.4829933357468486	0.4844305317393751	0.4542128870387306	0.5424538764312489	0.41140688019761157	0.3670234281646895	0.4938038548451304	0.4761271088965091	0.4924087558037464	0.6103574010640062	0.6513971858714914	0.5021179360887396	0.5173113980030773	0.47750680973824006	0.4917278713385634	0.606067120502198	0.4482778928419666	0.4904968037922083	0.5721431525869408	0.4371883912986594	0.5039474713559946	0.47063754893678983	0.487647413334844	0.46827929509987826	0.4368167025376338
17_BH_5	0.5034651576965533	0.5035940747724486	0.3622524316174916	0.5056690004913342	0.5204375207343293	0.5469341384205482	0.5519204263725833	0.5951286571749885	0.5574170868212516	0.0	0.5120410609133391	0.5008000203440185	0.5821518394049868	0.5733542099617515	0.5788356434306494	0.5342654833934699	0.5842543709957909	0.5760627113424125	0.547636615503887	0.5492528896848565	0.5246569143251015	0.5947594017807613	0.6188624485300382	0.5792314182325049	0.5871047052498619	0.5736432318634106	0.6049292230184008	0.5468769676108454	0.5823806848942613	0.5948825091166565	0.5327167389630499	0.5406706402256716	0.5293900635692802	0.59082311298237	0.5647036673428321	0.6221463123068351	0.5284281669305809	0.5963039768898273	0.5586041893148441	0.530420241206093	0.5754334970943302	0.5529089281691917	0.5403421948286101	0.5471170373109426	0.5685823493639507	0.512224474193895	0.49649038892164715	0.6113382017577684	0.5266289437909196	0.5096691027223331	0.5019616246915453	0.5405386407591863	0.5622208713107516	0.5500966068859209	0.5643196193371963	0.5660209619092504	0.61889957977047	0.673330522219617	0.5981972773731015	0.6079371946844048	0.6536904511420752	0.6174763340754583	0.6289053827061734	0.5767986489003879	0.5997108342215994	0.6464368022790785	0.6667868922985432	0.6584576260956119	0.6399321764310401	0.6413645492147201	0.6171198786133875	0.6449963733875166	0.6307659263926474	0.6672380673338351	0.5593364992911155	0.6159679213948295	0.6288858375853923	0.6499351863698971	0.6493986389253831	0.5575037515694539	0.5618539577016175	0.6367874771687067	0.6440444441494281	0.6525543701106764	0.6715618279092167	0.7067834337384786	0.6266046712573922	0.6676257049588687	0.5997062573804401	0.6231782623135882	0.668857549891178	0.6234670127307783	0.6413405417380089	0.6252484312212494	0.5980312068646545	0.6432412934676387	0.6174586738353002	0.6495805712425521	0.6348954261935594	0.5745129767942001
