	11_GT_1	11_GT_2	11_GT_4	11_GT_5	11_GT_6	17_BH_1	17_BH_2	17_BH_3	17_BH_4	17_BH_5	17_BH_6	18_SJ_1	18_SJ_2	18_SJ_3	18_SJ_4	18_SJ_5	2_ZM_1	2_ZM_2	2_ZM_3	2_ZM_4	2_ZM_5	2_ZM_6	30_KM_2	30_KM_3	30_KM_4	30_KM_5	30_KM_6	35_AJ_1	35_AJ_2	35_AJ_3	36_KJ_1	36_KJ_2	36_KJ_3	36_KJ_4	36_KJ_5	36_KJ_6	37_SJ_1	37_SJ_2	37_SJ_3	37_SJ_4	37_SJ_5	37_SJ_6	43_BR_1	43_BR_2	43_BR_3	58_NJ_1	58_NJ_2	58_NJ_3	58_NJ_4	58_NJ_5	58_NJ_6	8_LV_1	8_LV_2	8_LV_3	8_LV_4	8_LV_5	8_LV_6	K10_1	K10_4	K11_1	K12_M78_1	K13_1	k14_1	K15_1	K15_4	K16_Z75_1	K17_1	K18_Z93_1	K19_1	K2_1	K2_4	K20_1	K21_1	K22_1	K23_1	K24_1	K25_1	K27_1	K3_M78_1	K30_M95_1	K31_1	K31_4	K32_1	K33_M78_1	K34_Z96_1	K35_M99_1	K36_1	K37_Z82_1	K38_1	K39_1	K4_Z79_1	K40_1	K41_1	K42_Z92_1	K43_1	K5_Z92_1	K6_M84_1	K7_Z80_1	K8_Z79_1	K9_1
11_GT_1	0.0	0.37701704663176233	0.2726845139071995	0.37805859134311054	0.4935968983712059	0.5595367728291925	0.5945805113911857	0.45537905522935124	0.579504494918626	0.5501060775686993	0.5680945298300737	0.58681231303553	0.6544695112515497	0.5762540464422833	0.5787226666008891	0.5471630678351452	0.5880923640510052	0.3606324659289818	0.6962362114749328	0.6207689953780916	0.6181554471073428	0.5633168788235157	0.6816667767574904	0.6116663238701999	0.577531081804863	0.6109497220721665	0.620364215541538	0.5095086256008092	0.4918056126525522	0.24871142911877997	0.609497622388256	0.533800157656172	0.5216897539405474	0.5141931689456212	0.45410436248854585	0.6344590451288974	0.6314778247501589	0.5715783904003897	0.6477389056516628	0.5807021870164933	0.5231713619313767	0.5703474910332594	0.6989981393186343	0.6341598101707402	0.5845253681441726	0.49833513044690686	0.5080833540348026	0.6071803406787718	0.6643956677538061	0.6715274499208943	0.5778134451671836	0.4623698375259445	0.6421654132871688	0.5205889934422253	0.6331810553358697	0.4188887100828148	0.5785160695207655	0.49471899727044766	0.5598433462399027	0.647463257408696	0.5310826377124332	0.5276853559971212	0.5755147918874748	0.6074953852702595	0.6209176117028424	0.574341658351647	0.6182155368755692	0.5196659236165139	0.5598228750893827	0.8038560148433224	0.6920099313049138	0.5018492228716261	0.6526530998761046	0.5863723144877976	0.6574151871372259	0.6954284985094431	0.5581751039153676	0.5227095296568847	0.5713668129624829	0.7421086380996784	0.602322698343887	0.6267221147382167	0.5626118398871179	0.531330915690718	0.5037337387883088	0.6135906872449683	0.577501759467919	0.5062394672124422	0.5475999696594099	0.608920434759926	0.5502879905716012	0.5203436579933614	0.5111085252569422	0.5239292722084251	0.532707980416277	0.6235469258470234	0.5181322376879504	0.6439130847521709	0.5419541985531628	0.5193741581928444
11_GT_2	0.37701704663176233	0.0	0.34033882751163413	0.2657888891078854	0.4691616912039994	0.6025130951715614	0.6375187460695477	0.5989875903371926	0.6175440870748184	0.6145043382099935	0.646738036172064	0.6565006651200594	0.7142650166073854	0.6238388857695549	0.6500048013045161	0.5806060767102335	0.6637042481281722	0.3829801895922997	0.7658690746652056	0.6882786884740131	0.6841940609275732	0.642319285339517	0.7164664354590561	0.647492706639117	0.5952205520851773	0.6513673234026275	0.6590079255336656	0.5564307039019067	0.5585919188615357	0.36702626854731885	0.6791753039068193	0.5933666165053757	0.5741424265958925	0.5583327129735802	0.46286340019474825	0.6776182321365034	0.7019690918279513	0.6132533508189653	0.6874309422786368	0.6171415397990857	0.6254424148598705	0.6348337216153407	0.7417757581879633	0.6789002713996006	0.6620677049679793	0.5139854146178268	0.5610101515997767	0.685260858348285	0.7128704709669379	0.7151081947144132	0.6163080584209595	0.37627952869650516	0.7066022620286034	0.521920524581821	0.6659233192668708	0.3726232691281572	0.5250084521866887	0.5403095328454754	0.6065892747499492	0.6922817636344722	0.5752230801672987	0.5633201244296526	0.61731872754	0.6570095150046602	0.6630666684980683	0.5931497614084458	0.6585455314169786	0.5506000156606388	0.5995566751485922	0.8508441130543859	0.7373629427618231	0.5449585523258897	0.6924113687328902	0.6289578030891484	0.70899953365473	0.7438004456988182	0.6181321965375446	0.5587969247158292	0.6166568146764186	0.7461309904503957	0.6408674201203495	0.6729727237736659	0.6033919653603839	0.5757554361099539	0.533369343689425	0.6593048207981804	0.6225674386603047	0.5351459336387387	0.5826836907317476	0.6580186538294406	0.5925280470152176	0.545609025968254	0.5349497684604829	0.5607139688548375	0.575407654072313	0.6665797027970032	0.5523082637214262	0.6868283293822344	0.5912667751581157	0.4968644253437938
11_GT_4	0.2726845139071995	0.34033882751163413	0.0	0.2915040059829689	0.4451364997754439	0.5535941865563428	0.5843070222261839	0.5040348842599596	0.5965609637739338	0.5092968508706757	0.5635313069603703	0.5564479109304648	0.6345021600525949	0.5623023307727975	0.5583601309300614	0.5642955499016418	0.5590209448846203	0.3562169307020815	0.6618915680120563	0.5980452556475074	0.6208080626432507	0.5192677270811711	0.6678923547461538	0.6035219052859191	0.589739871012611	0.6163808477216663	0.6266687609973249	0.5364620308104938	0.5345591210771863	0.24311342352041523	0.5889818365252325	0.46942083862785516	0.4618745423874271	0.4671294338795883	0.3742588736010795	0.6375281762882619	0.6284651617584888	0.5643258449829788	0.649133595272738	0.5896179354224728	0.5343948715149973	0.5844874082455547	0.6886700691379227	0.6270624300708356	0.590758917096017	0.4609026011870766	0.46102215744199687	0.5872459864451783	0.6413815060380665	0.6513411477509461	0.5790198204973381	0.36602112551379984	0.6377083808024848	0.488524838075819	0.5892883941317933	0.3867881047797236	0.6027876394953556	0.5103204173573592	0.5623757813668109	0.6693932527533076	0.5323454709478217	0.5133806337578601	0.5507907769575956	0.6069282660990103	0.6212240261003322	0.5890552160727147	0.6020856324365527	0.509413670629079	0.5587382062876454	0.8097948382079833	0.7030656469834629	0.5039135130654676	0.6636783129588809	0.6062590393050942	0.67547968750467	0.6905044701050435	0.5678674747516993	0.5415042930452594	0.5633947475820105	0.7646625222428305	0.6104095259759101	0.6430155171783547	0.551584830396017	0.54121543864234	0.5251855444187856	0.6120411827695229	0.5869393622747915	0.5264189599687012	0.5415479721288076	0.6046395563706606	0.5311810741831089	0.5364358116924443	0.5157250309728567	0.5414533683508601	0.5439838551813502	0.6367743577564059	0.5291599856777022	0.6458432545971596	0.5520300502526105	0.5411262909948553
11_GT_5	0.37805859134311054	0.2657888891078854	0.2915040059829689	0.0	0.32851966223703183	0.5446299362651507	0.5832567709587997	0.5732324444176387	0.5532072408826392	0.5762923138111749	0.6253578993894375	0.556422300362361	0.6268698715712737	0.5486551650794277	0.5343569190111473	0.5208792280329981	0.5448322166660116	0.34379169613239663	0.6473679138635571	0.5927551341655156	0.5899490432584329	0.5306262851919149	0.6530819881356559	0.5847400482166414	0.5289999204200907	0.5908637934999421	0.6005569171821118	0.49375224994493494	0.5013168070347851	0.32203577396492133	0.6150978279913929	0.5282773635251768	0.5236173223228858	0.5106751102018209	0.42858235030733166	0.6275739939660746	0.6197982887659781	0.5541438042874736	0.6132612331335668	0.5781791624604992	0.5939341724859748	0.5656108369164898	0.6777999391566529	0.6151715884554749	0.5867265037303339	0.45670425513293605	0.4602823145038941	0.5880959610379958	0.6311898643140538	0.6376435952247974	0.5454793112076448	0.36247137101192695	0.6197665264923425	0.49060020773557184	0.6188955851944017	0.4547110745475319	0.5106300005877845	0.4632965921382245	0.5307463042075545	0.6438844637966704	0.507242884386878	0.44839376858475527	0.5084901964289406	0.5560972858137369	0.5949515306004735	0.5191642717253753	0.5883645794006409	0.4808130685539895	0.5167049633874025	0.7878066717159025	0.675027331300585	0.4677905866140918	0.624605873530186	0.5695423997800133	0.6428570114575614	0.6768414003227718	0.5673481357068769	0.4915012881158213	0.5652082376563934	0.6813262743169475	0.5801319263159376	0.6166746239808613	0.5405745591146167	0.5144155839930179	0.472003313732315	0.5946605471718241	0.5603689459603358	0.4755002494033401	0.5071489037093235	0.5740734482628648	0.5181706791655343	0.48648788092143874	0.43525920834666615	0.5062476037139677	0.5221067790333902	0.6124704735334947	0.4771618364386717	0.6174119068773921	0.5358416112686202	0.42794106361082834
11_GT_6	0.4935968983712059	0.4691616912039994	0.4451364997754439	0.32851966223703183	0.0	0.38264238183320315	0.3739235043636264	0.38170599687723916	0.322960303854012	0.3838423910537072	0.39472369235391747	0.3268202267362544	0.391784082798692	0.3339049537559968	0.31435546951251403	0.3801278536285297	0.31602113149587197	0.47703724671901915	0.43244926056808974	0.3439722376094496	0.35132077466932643	0.2624484264849234	0.417068438171224	0.3487550597324264	0.3184191407278454	0.3861965406395043	0.3690511328871784	0.33908192081214567	0.33221230175906347	0.43217813578359726	0.3868916796971548	0.34104233324902483	0.3225646298117252	0.3141350513974812	0.3525633881440825	0.37330979696204103	0.37640110643952274	0.3197561968880278	0.3733727786309367	0.3159760552571081	0.3335403427102529	0.30904492789939314	0.4267651442443176	0.3658975777968705	0.3556498995552183	0.5942499973618711	0.33497885096222707	0.36975902043069336	0.39918988651504633	0.39767785217596185	0.3051193302864728	0.36693564049886096	0.4134766289123835	0.3541125176581156	0.43958752185973093	0.3637139924275045	0.3458625735662559	0.42901230752198727	0.4033261863306634	0.4020614971564719	0.4376883729751616	0.38417882999053127	0.35474204524636704	0.34039310566601716	0.3753518584875925	0.37062010143691076	0.43742429728536736	0.4980941496097713	0.36060238438218023	0.5612968831979077	0.4412964416408886	0.4705861633145419	0.40240385373602316	0.3936427006356201	0.41341005076103543	0.4474259005116324	0.3250794336733617	0.38911369052990546	0.35454935843742486	0.4567942333579018	0.34233711552950513	0.3799430494742876	0.43074054859723554	0.43234878160330736	0.43210518148450217	0.40592720520920283	0.3731944777397259	0.43177814204494397	0.3863535918574548	0.38058470385844084	0.4290980166260692	0.37556075494548385	0.35689863508439257	0.3363891198559391	0.3751701148698666	0.3714655989838556	0.3660293748054809	0.41347727857990135	0.38408658199428913	0.38673363342196826
17_BH_1	0.5595367728291925	0.6025130951715614	0.5535941865563428	0.5446299362651507	0.38264238183320315	0.0	0.20359271559872447	0.2029856038737158	0.2825804820204375	0.34614572148206446	0.23443795995611846	0.31182700427550913	0.3623832469309156	0.2643485285774426	0.2978685447407834	0.30843705683925554	0.3566091003825706	0.5079050195847417	0.5058452025914469	0.3949664151188841	0.4347609382847817	0.35822561397778396	0.3016454339966208	0.27362207303217545	0.2880884832879796	0.2922872089677543	0.3023841875806505	0.25602775247671494	0.24874729560369466	0.5287626915759941	0.39976860228217725	0.3955856781806089	0.3856720071256614	0.38191365885811257	0.3977690777245322	0.2966027925285504	0.38122912900525696	0.3126117835158889	0.38875207915284743	0.3573305979633377	0.40211337933850566	0.3735376919437365	0.3529808759133439	0.28046328783696206	0.3188335754959823	0.5330500508591722	0.29483471231003877	0.3402603194317968	0.34004728454529715	0.3430053814789557	0.29710494203325427	0.463750924194422	0.5113369011056215	0.42995943929351954	0.5215500215744561	0.42178109889781895	0.4564522251720672	0.3293472970384462	0.30380953004375977	0.384294619190532	0.27166650720121377	0.35793659699131436	0.2913665523314978	0.37988605737750064	0.3372985521318135	0.32354417069194535	0.2642550751119685	0.3893457311112444	0.348493554657323	0.49715202484042664	0.38811036702383517	0.41685495007102363	0.3621536140816267	0.31569544938717103	0.35882706368786066	0.40072217440632757	0.2696247608147392	0.3040885503057227	0.2646978995540592	0.4810626314797672	0.2676268664069214	0.3135124688867229	0.29374221229497244	0.329673174212441	0.3026027832342421	0.3203283281460159	0.2578410235048341	0.3582182972467956	0.2778435009395378	0.3887772183190592	0.2885078845516609	0.28046311884782194	0.34056085121145896	0.24658173414633688	0.2531246071752346	0.34473046903264376	0.30889284775671133	0.3552504714348651	0.2778858386581126	0.299638674789969
17_BH_2	0.5945805113911857	0.6375187460695477	0.5843070222261839	0.5832567709587997	0.3739235043636264	0.20359271559872447	0.0	0.23845860274307623	0.28422533057366056	0.33941628343241803	0.2684565041227878	0.3059494472684784	0.3458612333984637	0.2856005457749229	0.3052598678267668	0.28696014962486377	0.35292567607209985	0.5574146735468427	0.48262894464550776	0.3518162688163628	0.40584791710209445	0.33736121173615047	0.38181737967813967	0.2510717181723042	0.270736112711925	0.21276436414085906	0.21440799569966754	0.2799662614902071	0.2786792656455365	0.5616697540604056	0.3226159501619975	0.3029736121989183	0.30463618702345147	0.3174938565737811	0.38470654135241417	0.3012749817676401	0.3667780299427183	0.3044231733233743	0.3919831246819545	0.333114334751616	0.39124980454090386	0.3602610483554505	0.28872917798088577	0.2559396708901711	0.22855780645265286	0.5590742985713735	0.28475084275649426	0.27367065299465215	0.2369262281566309	0.25305125934791933	0.2431488020772619	0.49396822435948695	0.41681070425796923	0.3831453176297387	0.4612596881927861	0.43495602450723164	0.44368502029658363	0.37006374593331337	0.3385027844327989	0.3660347484344285	0.37667146676998503	0.3976947198033816	0.31256914663974544	0.3610927206971623	0.3268283652489455	0.3406520301735605	0.2760576510739267	0.4170464921423487	0.3722343874550272	0.47097032771367947	0.3373594567676626	0.36471499655709144	0.3290474230795703	0.28398268977436086	0.3514843117258258	0.3148928592047889	0.25077705142405904	0.31389951720021864	0.26784432336126585	0.4748706313664802	0.23033934317672758	0.2913979869319761	0.31576526335623356	0.34219559986075093	0.390157410726484	0.33547286097309637	0.29510979593384296	0.30157147788244276	0.34375569487959745	0.3728825579551744	0.3343658848205188	0.2934316709911098	0.38616163538335985	0.2804909948975061	0.298487812719727	0.3110704285076661	0.3473227851699445	0.2820612979384167	0.2975165357904459	0.35801410028737674
17_BH_3	0.45537905522935124	0.5989875903371926	0.5040348842599596	0.5732324444176387	0.38170599687723916	0.2029856038737158	0.23845860274307623	0.0	0.30883598460649025	0.31397692000420224	0.16972701954615	0.30821580641946905	0.3513394260638193	0.3039548169170871	0.32844180056788574	0.34709224727368876	0.363987991887699	0.5376806946156568	0.47924494189113037	0.37284669284284433	0.44409604429089405	0.34878380984153884	0.42900460814170654	0.34809837571816704	0.37157353026810064	0.3387364789241645	0.34526964872152877	0.29507050031722065	0.28209972989576654	0.4950612542694467	0.38389468598126847	0.38724954791883914	0.3772716935414835	0.3798799274689615	0.43239988237658405	0.3227290604762466	0.41325654224362435	0.35204258566580865	0.4089095154195296	0.35852415838252233	0.3337523113332314	0.3801863147670238	0.3540006820400151	0.3188510211929647	0.29623687989025826	0.5448007428690553	0.3404164071383788	0.3876804573956983	0.3478287008904381	0.3658532055061574	0.35210389093011574	0.5181814599658638	0.5175641842477997	0.4654755885080721	0.5469095160839246	0.430230391725076	0.4573626853162317	0.4314931097629955	0.36318057805271975	0.38046112050162195	0.39910670318381936	0.4238286112695856	0.35673942288724036	0.4147764492376813	0.38018693397234055	0.36657352416062755	0.3972559948595496	0.4907060744709543	0.3956117482212542	0.5067633200407978	0.4321588368816573	0.48057332459041097	0.3818254890228445	0.3449548499591641	0.3857779168449325	0.4211167508844003	0.29677037271764867	0.36332221883184007	0.2916357481476829	0.4954159857155168	0.3057213298385608	0.3187897191194389	0.34244739859855455	0.3695999828385096	0.4272755384640961	0.3425312771402475	0.32368864431858935	0.41697331518376185	0.36679894951786723	0.43380359030963017	0.36787286423504245	0.38663054473541786	0.42185753131034653	0.29209421391569623	0.31173817238720114	0.36897312835031576	0.36185366200147556	0.37940282803152847	0.3059886035300497	0.40696385400992946
17_BH_4	0.579504494918626	0.6175440870748184	0.5965609637739338	0.5532072408826392	0.322960303854012	0.2825804820204375	0.28422533057366056	0.30883598460649025	0.0	0.32995382266409623	0.31584273164984605	0.2376585293348181	0.28946870196418967	0.1664970862372061	0.24192655486391898	0.21717870685856683	0.24679068382446115	0.4662158551682587	0.42399664622921446	0.2916955221705872	0.34892023878428063	0.32389399189732393	0.2667729643497496	0.15244918133070695	0.1820878687056596	0.1886423631900919	0.1586002516522229	0.14808110777261882	0.15598605959015593	0.5515303620048654	0.34270546548903325	0.3349459890510234	0.3189603892058266	0.30393599485812495	0.39129535383915937	0.16635658261307928	0.27544943216032375	0.2014110714014012	0.2360274253428689	0.1914580585822787	0.2774149155983073	0.22140048564931536	0.29104346095827927	0.19687975573359967	0.2877759955232177	0.5652469621327274	0.32171268638293216	0.3413204156182143	0.311286096851613	0.3227367955683019	0.2518901868776025	0.4422634447486931	0.4244894203152383	0.3816403906502042	0.45802191358990996	0.4095867768714301	0.40374048356304165	0.2426858815973793	0.19438164028422092	0.2441586019583157	0.26729394882948304	0.25708136274130944	0.21058675047779493	0.22955664062695888	0.1836632455540234	0.19266026051127982	0.2610297284685366	0.3465251962591074	0.2249356696587524	0.3941746804059973	0.258064256122992	0.34883609491453565	0.20051888910962182	0.16602972818614664	0.25422249856976614	0.2744709078517343	0.16521520493777606	0.18338502669108014	0.1798159106697865	0.3691195995784039	0.11687727404437605	0.1568956879957311	0.217087986673446	0.20437693631525483	0.26334484450562634	0.20170739597740098	0.14930384968675361	0.27778874165648704	0.204463559731338	0.2873353772352429	0.2133307615643528	0.21706834669326222	0.24686729032982088	0.14488661910193762	0.13262628799692988	0.1860595048526182	0.1825874635429957	0.21488498741118112	0.17319335212636738	0.25450193257502063
17_BH_5	0.5501060775686993	0.6145043382099935	0.5092968508706757	0.5762923138111749	0.3838423910537072	0.34614572148206446	0.33941628343241803	0.31397692000420224	0.32995382266409623	0.0	0.32727378081495234	0.2714214364840729	0.32302999159691137	0.32887220982100757	0.275584563371803	0.40530471750829855	0.3808153608020841	0.5805612904298377	0.4528529919909137	0.38301094290968535	0.40369956720602884	0.3317335330548973	0.36883852388350635	0.2993708082095414	0.3353782556634163	0.34872317775763884	0.3288318736188704	0.3403917764852313	0.3519703420271551	0.5105947452791342	0.36432054886580195	0.42190410754783086	0.3942242204348391	0.3909221643338795	0.4883559172548307	0.3003434191494974	0.370286185238862	0.3697525270733927	0.3812247047183636	0.3626970922042274	0.3804309240515471	0.38679407444609276	0.3396943229820386	0.2921719182016241	0.28316194490520885	0.4677417131633882	0.2546236563029656	0.2837956853504932	0.30912987788566426	0.3405254441240258	0.2912468092769161	0.5439808216989043	0.4734200065467592	0.48087739856080225	0.5005408326365381	0.4586382969357464	0.40520981231137837	0.44933107868568584	0.39790157005637933	0.3940496441577296	0.42395717259225846	0.4659780424100339	0.3884167245230122	0.4303691373197528	0.3901924132769001	0.40306416598031164	0.40709941334454464	0.49335995196954935	0.43963206644212005	0.4873778503215641	0.38209893063146677	0.5134433816943488	0.3857976968957024	0.38603354475315665	0.3609661820747074	0.3880609320728295	0.32189764413913713	0.4083113831923616	0.3353924178638318	0.4840443317456024	0.2990676484585391	0.28650158854182545	0.3947780606961191	0.4251928884991043	0.438609909758784	0.38910139212986217	0.3580233390171925	0.4689916507218975	0.41426242855345996	0.44292690274389507	0.4049508201598106	0.4108027139907609	0.4550614927633643	0.3497619806439093	0.37963571996543694	0.3732935992245881	0.41153334676092235	0.40471453543643543	0.3780824929462388	0.40932162504560055
