#																																																																																				
#OTU ID	K11_JV87_I_D	K11_JV87_IV_D	K12_KJ78_I_D	K12_KJ78_IV_D	K16_PP75_I_D	K16_PP75_IV_D	K17_SS75_I_D	K17_SS75_IV_D	K2_NL71_I_D	K2_NL71_IV_D	K20_HO76_I_D	K20_HO76_IV_D	K21_KT86_I_D	K23_JM85_I_D	K27_BA81_II_D	K28_KZ83_I_D	K3_KM78_I_D	K3_KM78_IV_D	K30_SF95_I_D	K31_MM80_I_D	K31_MM80_IV_D	K32_KS89_I_D	K34_BI96_I_D	K34_BI96_IV_D	K39_DS96_I_D	K4_RR79_I_D	K40_WV86_I_D	K40_WV86_IV_D	K41_NE90_I_D	K41_NE90_IV_D	K43_KZ94_I_D	K5_JZ92_I_D	K5_JZ92_IV_D	K8_KP79_I_D	K9_KM80_I_D	K9_KM80_IV_D	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P11_GT85_VI_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_V_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_II_D	P43_BR63_III_D	P8_LV78_I_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
Unassigned;__;__;__;__;__;__	0.034410932	0.029706635	0.141093901	0.054768802	0.04131512	0.015638492	0.027467445	0.017435192	0.04240983	0.02057036	0.035669886	0.037109494	0.088415434	0.01712658	0.13305704	0.017220045	0.012588454	0.025211726	0.001137938	0.022942863	0.015863454	0.072677672	0.121477937	0.034216815	0.031488342	0.167395176	0.61412688	0.083903446	0.060112209	0.117996385	0.010267194	0.171864686	0.126836028	0.120992428	0.03263685	0.014470907	0.016817907	0.008898776	0.011516315	0.015280136	0.027925062	0.001723544	0.007411631	0.010766615	0.008481646	0.019607843	0.013065025	0.017715124	0.027697136	0.013757643	0.014121801	0.036540947	0.060447339	0.043691923	0.030074328	0.041166641	0.094352617	0.108048162	0.031715675	0.013028839	0.015007776	0.041671685	0.079206151	0.065986433	0.010743802	0.033699634	0.055288462	0.022788088	0.008403361	0.014241245	0.022201963	0.049735344	0.011116938	0.004292582	0.005976252	0.007763222	0.01314007	0	0.002551834	0.335285505	0.009423503	0.021201977	0.006680731	0.068890104
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__Bryocella;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000998702	0	0	0	0	0	0	0	0	0	0	0	0.017085839
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;__	0	0	0	0.009441047	0	0.000767533	0	0	0	0	0.001338816	0	0.012862018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013978229	0	0	0	0	0	0	0	0	0.003056027	0	0	0	0	0.00083426	0.00240096	0	0.001126395	0	0	0.005236834	0.00281988	0.004813137	0	0	0	0	0	0.005657821	0	0	0	0	0	0	0.0003663	0.000424208	0	0	0	0	0	0	0.00103022	0	0.000646935	0	0	0.000637959	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__uncultured_bacterium	0	0	0	0	0	0.001343183	0	0	0	0	0	0	0.00507481	0	0	0.001856053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021400297	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00820356	0.00070028	0	0	0	0	0	0	0	0.000178699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001897533	0	0	0	0.001940805	0.000609591	0	0.000797448	0	0.004711752	0.007173601	0	0.002733734
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus_curtisii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000283126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011321365	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000258164	0	0	0	0	0	0	0	0	0	0	0	0.028726655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002146291	0.002752221	0.001617338	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014397284	0	0	0	0	0	0	0.000750863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000404727	0	0.001807151	0	0	0	0	0	0	0	0	0	0	0.002079335	0	0.002651113	0	0	0	0.007508343	0	0.00225259	0	0	0	0	0	0	0	0	0	0	0.000316857	0	0	0	0.01577743	0.001430359	0.00016819	0.000508582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001108647	0	0	0.002186987
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;__	0	0	0.015307357	0.024031756	0.006004196	0.0253286	0.000498114	0.001376462	0	0	0	0	0.008749672	0	0.000872505	0.000412456	0.000372439	0	0.000742133	0	0	0	0	0	0	0	0	0	0.012556773	0.009036922	0.002597724	0	0	0	0	0	0	0	0	0	0.003534818	0.012064805	0	0.001538088	0.023081201	0.012605042	0	0.004812779	0	0	0.021888791	0.016566796	0.159258211	0	0	0.000455719	0.000590319	0	0	0	0	0.001927014	0	0	0	0.010714286	0.024745475	0	0	0.000233463	0.001662466	0.009188056	0	0.007383242	0.008649839	0.015688177	0.00203197	0.007788162	0.022966507	0	0	0	0	0.003143794
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_imitans	0	0.000339328	0	0.000429139	0	0	0	0	0	0	0	0	0.009493394	0.000142425	0	0	0	0	0.002572729	0	0	0	0.000930356	0	0	0	0	0	0.005610473	0	0	0	0	0	0	0.002311325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038827839	0.067024887	0	0.020168067	0.002957198	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006697649
