#																																																
#OTU ID	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P11_GT85_VI_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_V_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_II_D	P43_BR63_III_D	P8_LV78_I_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
Unassigned;__;__;__;__;__;__	0.016817907	0.008898776	0.011516315	0.015280136	0.027925062	0.001723544	0.007411631	0.010766615	0.008481646	0.019607843	0.013065025	0.017715124	0.027697136	0.013757643	0.014121801	0.036540947	0.060447339	0.043691923	0.030074328	0.041166641	0.094352617	0.108048162	0.031715675	0.013028839	0.015007776	0.041671685	0.079206151	0.065986433	0.010743802	0.033699634	0.055288462	0.022788088	0.008403361	0.014241245	0.022201963	0.049735344	0.011116938	0.004292582	0.005976252	0.007763222	0.01314007	0	0.002551834	0.335285505	0.009423503	0.021201977	0.006680731	0.068890104
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__Bryocella;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000998702	0	0	0	0	0	0	0	0	0	0	0	0.017085839
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus_curtisii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000283126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011321365	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__	0	0	0	0.028726655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002146291	0.002752221	0.001617338	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	0	0	0	0.014397284	0	0	0	0	0	0	0.000750863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	0	0	0.002079335	0	0.002651113	0	0	0	0.007508343	0	0.00225259	0	0	0	0	0	0	0	0	0	0	0.000316857	0	0	0	0.01577743	0.001430359	0.00016819	0.000508582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001108647	0	0	0.002186987
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;__	0	0	0	0	0.003534818	0.012064805	0	0.001538088	0.023081201	0.012605042	0	0.004812779	0	0	0.021888791	0.016566796	0.159258211	0	0	0.000455719	0.000590319	0	0	0	0	0.001927014	0	0	0	0.010714286	0.024745475	0	0	0.000233463	0.001662466	0.009188056	0	0.007383242	0.008649839	0.015688177	0.00203197	0.007788162	0.022966507	0	0	0	0	0.003143794
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_imitans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038827839	0.067024887	0	0.020168067	0.002957198	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006697649
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__uncultured_bacterium	0.012220206	0.00945495	0.027831094	0.021935484	0.050547897	0.036194416	0.061573546	0.094875739	0.095939933	0.339535814	0.116383841	0.26951565	0.005413888	0.038632574	0.361400412	0.124427212	0.363391846	0.009917798	0.009262436	0.031900349	0.048996458	0.145278834	0.224480038	0.257209779	0.316562986	0.09309888	0.684069372	0.732802601	0.590781945	0.358241758	0.301894796	0.004574881	0.046722689	0.007937743	0.530487478	0.105263158	0.002517042	0.467805632	0.059683888	0.1785541	0.391086426	0.033229491	0.062998405	0.071742313	0.029101996	0.020564323	0.227144866	0.064242756
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella;s__uncultured_bacterium	0	0.003893215	0	0.003056027	0	0	0.008694413	0.00647616	0.007647386	0	0.002552936	0	0	0.002223457	0	0	0	0.038464975	0.00102916	0.01678566	0.004230618	0.021546261	0	0	0	0.001565699	0.000625782	0.000840949	0	0	0.001838235	0.000776867	0.002352941	0	0	0.002197144	0.000524384	0	0.002909491	0.008895358	0	0	0	0	0	0	0	0.00123018
