	K11_JV87_I_D	K11_JV87_IV_D	K12_KJ78_I_D	K12_KJ78_IV_D	K16_PP75_I_D	K16_PP75_IV_D	K17_SS75_I_D	K17_SS75_IV_D	K2_NL71_I_D	K2_NL71_IV_D	K20_HO76_I_D	K20_HO76_IV_D	K21_KT86_I_D	K23_JM85_I_D	K27_BA81_II_D	K28_KZ83_I_D	K3_KM78_I_D	K3_KM78_IV_D	K30_SF95_I_D	K32_KS89_I_D	K34_BI96_I_D	K34_BI96_IV_D	K39_DS96_I_D	K4_RR79_I_D	K40_WV86_IV_D	K41_NE90_I_D	K41_NE90_IV_D	K43_KZ94_I_D	K5_JZ92_I_D	K5_JZ92_IV_D	K8_KP79_I_D	K9_KM80_I_D	K9_KM80_IV_D	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
K11_JV87_I_D	0.0	0.7941430196066217	0.8746032629901561	0.832809781899641	0.8170365232831281	0.8578707811441176	0.799766985673842	0.8716751464081807	0.6916019508789123	0.7003754821400886	0.7214205289907162	0.8367950563871683	0.9593540605348531	0.8689552285487454	0.8552158079224548	0.7949508028626175	0.8269200157998872	0.8358648182628	0.8407382193252639	0.926658067327707	0.863192008397512	0.8010772530461095	0.6906147911744469	0.9095023208493545	0.8501180649513327	0.8547455714194385	0.956118170363251	0.8255292555119609	0.862351703356215	0.8734891834602364	0.8531400501811764	0.8092280937431116	0.7653532009952562	0.8198051379321033	0.7994085677046716	0.8624843263349211	0.8488378223227375	0.7964157399452009	0.8815869599407685	0.8690338327381713	0.8411882008324717	0.8558799365644159	0.8747892569718653	0.8610122505159631	0.9207629853089463	0.826374198033719	0.8800488475656432	0.8927759183065612	0.9161723471479761	0.85457094198362	0.8123719271956859	0.871206925574518	0.8137727247481168	0.8778873941988954	0.8033612536956568	0.8980873836510406	0.852217467863254	0.9062829828668897	0.92825823239177	0.9290455988882362	0.8821295845265014	0.9212627540605515	0.8776573548123852	0.85112854061729	0.8231380182965901	0.8969491273285061	0.9069069132663049	0.8411293997303841	0.8662195459646717	0.8040095769350802	0.8642797724362402	0.8656980156148493	0.8670936802757463	0.8609079723350591	0.931104449543286	0.8585755477142012	0.9098611691848271
K11_JV87_IV_D	0.7941430196066217	0.0	0.8463459189112751	0.8117983965724834	0.8406612709513237	0.9202753185543707	0.8625657283038933	0.7967440573935343	0.842311030012866	0.8214874945041603	0.8040217380677468	0.8408928946649611	0.9330729559525317	0.8790927221020814	0.8694813473128344	0.8707793369448544	0.888145486140005	0.8811803173679971	0.9202179684938337	0.9355548111909646	0.8988659655454488	0.8690139267030521	0.8694345516176265	0.8183053158504596	0.8587667945102284	0.8615273148492076	0.9237986460525708	0.8750830864425152	0.885992017233943	0.8742496689194998	0.8553730503798769	0.831299500558449	0.7899973107765683	0.8927719644887697	0.9076211071215199	0.9329191688772928	0.915655762037436	0.8653328637400853	0.9145664772335302	0.9020385456036254	0.8974546570307158	0.9213066986924346	0.8617764591584213	0.9206685193335461	0.9089245455948698	0.8831195422900819	0.9220020295488351	0.9113029640811696	0.9237462662665289	0.8814065939688476	0.8720137705839072	0.873696279501131	0.8257048609860697	0.8454159851403249	0.858058248410042	0.8999380373333119	0.929128396069017	0.9145670569188546	0.925012141418943	0.9440791931691107	0.9315919719245883	0.9351883159714018	0.8770450786686096	0.8415499523284803	0.9115801345178788	0.9330467996900572	0.8330947451416902	0.918257057019552	0.9254842599402142	0.8777182483779572	0.9198471088789238	0.9188685660707224	0.9155884376375368	0.9236737681132392	0.9042477706306162	0.9254453440511812	0.9113948442590923
K12_KJ78_I_D	0.8746032629901561	0.8463459189112751	0.0	0.7371711179564315	0.7614819173953323	0.9461857148265431	0.8523673367022463	0.9250424691951825	0.891764525717207	0.8914084060653453	0.846545277586963	0.860829182379389	0.9226506780458208	0.9573443250651654	0.8087814765013757	0.8556812898539105	0.8694392751393348	0.9045025732492608	0.9583203337867126	0.90372962598314	0.8226794270315747	0.8609334928561927	0.8838922144185983	0.8877729272741599	0.8285225783062786	0.8726200239054068	0.9345020241584032	0.9120709697249385	0.838882964743509	0.7620577604647597	0.7718466922182371	0.8856525865305084	0.8899017154764204	0.8903130043106481	0.9355215089716785	0.9437385183311437	0.9177509609710249	0.8877111503329231	0.9429813126495876	0.9598863673921646	0.9434172290881255	0.9550438618900698	0.942222649980686	0.9588470468911882	0.898225639233193	0.8904834141998849	0.9512039007987864	0.9255874868829769	0.9321824955821972	0.8682172953499033	0.8995681916982113	0.8764568982184807	0.892490094099088	0.8654100176416265	0.9038781263785036	0.9115029034869038	0.9499797290599837	0.9343063048391945	0.9340292842689768	0.9302254503105317	0.9491071481755009	0.9509993663922104	0.8847110584350231	0.8548883262403087	0.8960267679241921	0.9371184140579213	0.873347178972093	0.9224518177037354	0.9465089902273036	0.8963083687035692	0.9599146839015257	0.9532518965368516	0.9504958623905432	0.9443751352794733	0.9087518265687433	0.9615480252233198	0.9239439158325101
K12_KJ78_IV_D	0.832809781899641	0.8117983965724834	0.7371711179564315	0.0	0.7121518391681985	0.9026264993270003	0.7033705809115713	0.8491765594179206	0.8228524411428851	0.8249662951846719	0.8034190898973805	0.8734558901807908	0.9439501413075582	0.9242678602078113	0.8247825671171138	0.8096575582570507	0.8289288396219244	0.8573642836900532	0.9167339907194186	0.8722218129122078	0.7907810173986882	0.8393114965377293	0.8055439423161755	0.8684370047094258	0.7593982756051021	0.857452588198842	0.93468577014899	0.857566496932157	0.8050263856048685	0.8357113195915719	0.7573852626110438	0.8602066557513639	0.8044560822465486	0.8597922595872647	0.8969999808985257	0.939104810018543	0.8884681671869361	0.8392552222369368	0.9034254888289691	0.9308805548757664	0.8899306194373278	0.911268727478627	0.895351346508467	0.9186570917169659	0.883420947546716	0.8563762951438756	0.92097822631464	0.8959800391661604	0.9315956897899231	0.8496382583448145	0.8775300336853415	0.8133733990362169	0.8610823464640258	0.8694357081358927	0.8603984452442042	0.8824790871747669	0.9265095359241629	0.9029149165019836	0.9178662040353479	0.9203367164112527	0.9349924650097583	0.9367044303526029	0.8648172255890237	0.8319844278014379	0.8641250737610408	0.9242363319139807	0.8577160538186024	0.8888619389350177	0.9158860785095804	0.8496145620944764	0.9203938566949923	0.9186044470498703	0.920535925242437	0.9224013584185509	0.8813606001729083	0.9287907052768011	0.9139399857881806
K16_PP75_I_D	0.8170365232831281	0.8406612709513237	0.7614819173953323	0.7121518391681985	0.0	0.8981458746320728	0.8263978240844302	0.8768123736252715	0.8112361920088504	0.8303478802847963	0.825319892324029	0.8862201943077039	0.9299232710731051	0.9125579544884015	0.8066769710222528	0.7795502211813912	0.814598107436627	0.8587429854247063	0.9175199215266967	0.8818170430749147	0.7995904087588929	0.834931306737692	0.7865009504669492	0.895582476683171	0.6916212875839143	0.8496849739575101	0.9351936960451667	0.8670892486178735	0.8598476353019224	0.8286148935490839	0.8035330537293538	0.8450293237357686	0.7845401142534998	0.8277684020649588	0.8844468311584576	0.9298259226522345	0.8726842013080914	0.829806934815885	0.9161681941147444	0.9313778453457264	0.8827897782857759	0.9082855394460908	0.9011376074328177	0.9134233230804454	0.8911232844698903	0.8662218826205784	0.9124134679032864	0.8878572637596489	0.9284440313906397	0.8348143398971722	0.8936494672464732	0.8249277669707659	0.8863070688170782	0.8776223810775263	0.8504509305152501	0.909350698908983	0.9129009736891559	0.9014280267670544	0.9040878871698671	0.9261308651176849	0.9184043574508014	0.9449320055408309	0.8620348215504325	0.7972089081708672	0.8502535477090992	0.9025750194647273	0.8691530729459551	0.8631144335004166	0.9105392134141452	0.8534068920577272	0.9334004934449244	0.909554815669319	0.9256439393561826	0.9241307252426691	0.8708444578758868	0.9103320523034859	0.9229699024883249
K16_PP75_IV_D	0.8578707811441176	0.9202753185543707	0.9461857148265431	0.9026264993270003	0.8981458746320728	0.0	0.8972907562334165	0.8325347246808276	0.8751350253081828	0.8114798652413181	0.8675529572852115	0.9475607472952968	0.9688608430314121	0.739283910431941	0.9393314114585235	0.7416927701125071	0.8236680071933343	0.8647524646083168	0.6270815378026866	0.9468373027266284	0.894542566355551	0.9177249167901627	0.8256326836180532	0.9411793264098695	0.8870250453736651	0.9071725134936642	0.9634482128525464	0.7933474323228522	0.9533434433665043	0.9590541124695962	0.9465934010605729	0.8592685908594564	0.7578153940142113	0.8564072278925258	0.7360652211600739	0.770093495884729	0.7519890724143079	0.8520450770682759	0.7397146071400601	0.6719431460213866	0.7151907752013524	0.6785758351347343	0.7436235500079575	0.6688799181984237	0.9476116372865702	0.8416228938421748	0.8022526417589834	0.8849258076131347	0.8769784950557715	0.9300558215340535	0.8770158980539421	0.9354350629605527	0.9253659599629132	0.9474158181672281	0.8751402779440451	0.8749860152709903	0.7648274052446219	0.8523238790689857	0.9295553787010518	0.9416067198562583	0.8196841170353801	0.9144645851111509	0.9198663423491282	0.8761964782396455	0.8624282147086475	0.8565962231260846	0.9026748117226839	0.8686304061367173	0.7773746123706811	0.7555671736265753	0.6329880816448102	0.7145628812758662	0.6884870869861253	0.756121106115773	0.9133808514305235	0.6457125910762204	0.8456869548366867
K17_SS75_I_D	0.799766985673842	0.8625657283038933	0.8523673367022463	0.7033705809115713	0.8263978240844302	0.8972907562334165	0.0	0.8278182353208579	0.8339674115430343	0.8756472418500864	0.8308259132631954	0.8764236914695417	0.9571407840449084	0.905957810864332	0.8980141798218394	0.794292548968041	0.7872614697721116	0.7520369591058598	0.9119931327250962	0.8851974152562119	0.809286149558046	0.776109199743418	0.7232289118628529	0.8864032975939975	0.8335577364943036	0.8096786447984167	0.9421938743925445	0.8470659703540099	0.8512854311659219	0.8766138574855354	0.8224052827024656	0.8207742024531672	0.7565005400311958	0.8288628209666695	0.8289030916428933	0.8999622211980282	0.8862521875932213	0.8735189841026497	0.9124694270854882	0.8894584192641436	0.8763909041107693	0.9092391213712678	0.8815267733486183	0.909954803843713	0.9105508230435646	0.8471483320970983	0.9134899990907475	0.9048049701801824	0.9219577576902546	0.8246183472621929	0.8711783057098522	0.7648275538849558	0.8937368793288853	0.9140231655950161	0.8129264841566016	0.9222307628471494	0.9084885707852897	0.9048933891824279	0.8978264319506664	0.932122138114858	0.8903243198036938	0.9276531020809182	0.878742018612919	0.8220450822842291	0.8003782760725212	0.9091649476768059	0.8509748181013636	0.8277726584860441	0.9098363407712139	0.8251698670113052	0.9073430093860018	0.9101449226159621	0.9087584161374104	0.918012171967086	0.9284126115429908	0.8959792980920154	0.910080688069056
K17_SS75_IV_D	0.8716751464081807	0.7967440573935343	0.9250424691951825	0.8491765594179206	0.8768123736252715	0.8325347246808276	0.8278182353208579	0.0	0.8656374755299633	0.8314309985966613	0.8653958085779978	0.8927528819447924	0.9544928420430526	0.8265830781308866	0.8979208639571167	0.8221624124077247	0.8337339863169505	0.8040310891961993	0.8186292292044496	0.9305627324423482	0.8590455546174833	0.8282486952254579	0.7772187726811103	0.8005352066283997	0.8581914974439642	0.835452415119984	0.9395933175286066	0.8095757522763389	0.9052933053734448	0.8915975821690898	0.8724753840610325	0.7806218474498173	0.7233963039020063	0.8364943042517272	0.7459082101657968	0.8880721507655217	0.8592859635114406	0.8667246478056926	0.7815367844353259	0.8031917483263931	0.8191228571776628	0.8488982487380815	0.7834768554049596	0.8520250994654474	0.9128336482573541	0.8183557808435368	0.8733203953451473	0.9058891073839598	0.9022870755653564	0.8735253803948976	0.8446762985240941	0.8295824594634899	0.8680852949651353	0.8281823164591657	0.8182475987341915	0.9187100020480394	0.864653962678635	0.8675465825421116	0.9208511240830431	0.9327114999448598	0.8896846112012498	0.917469555366573	0.870582479795664	0.842950677145208	0.8260191740135457	0.8978278806935338	0.8052131559592537	0.8182872673367008	0.8689405089048142	0.7761035972782291	0.8405595787977985	0.8513169551698231	0.8437316320274253	0.8712113396651645	0.9061482612083709	0.8460061934624968	0.8929863844042882
K2_NL71_I_D	0.6916019508789123	0.842311030012866	0.891764525717207	0.8228524411428851	0.8112361920088504	0.8751350253081828	0.8339674115430343	0.8656374755299633	0.0	0.6827168852452001	0.7734056169196639	0.8739132011053482	0.9438223819711006	0.886103734735361	0.8037738343956632	0.8122044268468546	0.8345914212167449	0.7739188941932075	0.8582531929979539	0.9061364569137328	0.8677507744451783	0.7355629998290637	0.7278916862951549	0.829952952236582	0.8214274436076432	0.840796668534478	0.9440989815100015	0.8610296463879251	0.8476058209516992	0.8284312583734077	0.8291027576617033	0.8373027529127538	0.7712448969528013	0.9138489766731247	0.8639118433789077	0.8826519033077498	0.8710861955764204	0.8503750260053041	0.8976294450481226	0.8838708341104157	0.8808496503815972	0.8782218580152659	0.8415276151533654	0.8889816118948185	0.9359974595037045	0.8962443396620148	0.8815506228718364	0.911924083802359	0.9162558175191927	0.8855954828015886	0.8841789371833193	0.826430630137205	0.8092997384574692	0.8302735677440464	0.8459040323102717	0.9065509920707154	0.8778318197650978	0.9055190966292912	0.9280617861351919	0.9210220995976607	0.8986885073499512	0.9285155693093484	0.9173909014140869	0.8800176610511261	0.8808027637298489	0.8975694959900207	0.9061268465402863	0.8939575959732686	0.8823958695847068	0.8358470086246785	0.888559675288603	0.8855676437391753	0.8751585930494192	0.8917417701814363	0.917208722555418	0.8797319396000627	0.8980667058600228
K2_NL71_IV_D	0.7003754821400886	0.8214874945041603	0.8914084060653453	0.8249662951846719	0.8303478802847963	0.8114798652413181	0.8756472418500864	0.8314309985966613	0.6827168852452001	0.0	0.8117198251121861	0.864639332968425	0.969259499638164	0.8531534102637133	0.8739199276044584	0.8378077695592503	0.782463435837489	0.8348717199681007	0.7996024324206875	0.9393298930459842	0.9139929308489548	0.8854480265754242	0.7538538931371664	0.9068812854967477	0.8463965765867352	0.8310004334814374	0.9584104396732168	0.8840817558694677	0.8746403233125366	0.9037243914373172	0.8932689616768776	0.8572679574988168	0.7904595384381208	0.8067052951556637	0.8104084872955659	0.8655613362159358	0.7844839781271706	0.789476308118308	0.8658887171823524	0.8498223624416142	0.7987144937340211	0.8421057082305811	0.8169286994837708	0.8330870173492096	0.910486794614873	0.8238737336280836	0.8677096873703986	0.8906738350549823	0.9001286703253948	0.8674918377910705	0.7119204539012584	0.8224389224105514	0.7716319764241176	0.8407465044810128	0.8409337586773759	0.886676819837851	0.8533604375636007	0.8917533674176319	0.9223816489088329	0.9240930935481773	0.868196439550222	0.9052360149457663	0.8986013754516398	0.8418808068680631	0.7586990214186792	0.884004856122564	0.8591707484257974	0.7724392213436724	0.8546964475139902	0.7996829623361212	0.8307455832996443	0.8388798616242915	0.8342575994277893	0.8581015032625373	0.9277512305282292	0.8125418956182879	0.9050959604527482
